set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
respiration,OG_01163,FUN_004783-T1,Peve_00037741,Pocillopora_meandrina_HIv1___RNAseq.g8518.t1,Q95KV7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic-interferon-induced mortality 19 protein) (GRIM-19) (NADH-ubiquinone oxidoreductase B16.6 subunit),5.7e-33,GO+curated,GO:0008137(NADH dehydrogenase (ubiquinone) activity),Complex I (NADH:ubiquinone oxidoreductase),ETC complex I,high,Core subunit of respiratory complex I.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_03756,FUN_015065-T1,Peve_00022386,Pocillopora_meandrina_HIv1___RNAseq.g21282.t1,Q8K3J1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)",7.5e-59,GO+curated,"GO:0006120(mito ET, NADH to ubiquinone); GO:0008137(NADH dehydrogenase (ubiquinone) activity); GO:0009060(aerobic respiration)",Complex I (NADH:ubiquinone oxidoreductase),ETC complex I,high,Core subunit of respiratory complex I.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_06210,FUN_028149-T1,Peve_00042831,Pocillopora_meandrina_HIv1___RNAseq.g15550.t1,Q641Y2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",3.2e-206,GO+curated,"GO:0006120(mito ET, NADH to ubiquinone); GO:0008137(NADH dehydrogenase (ubiquinone) activity); GO:0042775(mito ATP synth coupled ET)",Complex I (NADH:ubiquinone oxidoreductase),ETC complex I,high,Core subunit of respiratory complex I.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_09153,FUN_039808-T1,Peve_00020313,Pocillopora_meandrina_HIv1___RNAseq.g7486.t1,P42026,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)",2.1000000000000002e-81,GO+curated,"GO:0006120(mito ET, NADH to ubiquinone); GO:0008137(NADH dehydrogenase (ubiquinone) activity); GO:0009060(aerobic respiration)",Complex I (NADH:ubiquinone oxidoreductase),ETC complex I,high,Core subunit of respiratory complex I.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_09307,FUN_040204-T1,Peve_00038097,Pocillopora_meandrina_HIv1___RNAseq.g7737.t1,Q9CXZ1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)",4.699999999999999e-43,GO+curated,GO:0006099(tricarboxylic acid cycle); GO:0008137(NADH dehydrogenase (ubiquinone) activity); GO:0009060(aerobic respiration); GO:0022904(respiratory electron transport chain),Complex I (NADH:ubiquinone oxidoreductase),ETC complex I,high,Core subunit of respiratory complex I.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_07709,FUN_034854-T1,Peve_00008081,Pocillopora_meandrina_HIv1___RNAseq.g12153.t1,P08574,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",1.2e-76,GO+curated,"GO:0006122(mito ET, ubiquinol to cyt c); GO:0045333(cellular respiration)",Complex III (cytochrome bc1),ETC complex III,high,Cytochrome bc1 subunit of the respiratory chain.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_01142,FUN_004722-T1,Peve_00005069,Pocillopora_meandrina_HIv1___RNAseq.g8838.t1,B0VYY5,"Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)",1.1e-34,GO+curated,"GO:0006123(mito ET, cyt c to oxygen)",Complex IV (cytochrome c oxidase),ETC complex IV,high,Terminal oxidase reducing O2 to water.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_02598,FUN_010719-T1,Peve_00029906,Pocillopora_meandrina_HIv1___RNAseq.g20952.t1,P10606,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",2.1e-13,GO+curated,"GO:0004129(cytochrome-c oxidase activity); GO:0006123(mito ET, cyt c to oxygen); GO:0045333(cellular respiration)",Complex IV (cytochrome c oxidase),ETC complex IV,high,Terminal oxidase reducing O2 to water.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_00579,FUN_001648-T2,Peve_00020140,Pocillopora_meandrina_HIv1___RNAseq.g29417.t1,P24539,"ATP synthase peripheral stalk subunit b, mitochondrial (ATP synthase F(0) complex subunit B1, mitochondrial) (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)",3.6000000000000003e-28,curated,,ATP synthase (complex V),ETC complex V,high,F1Fo-ATP synthase subunit; synthesises ATP from the proton-motive force.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_05823,FUN_025840-T1,Peve_00028313,Pocillopora_meandrina_HIv1___RNAseq.g10336.t1,Q5ZLC5,"ATP synthase F(1) complex catalytic subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",4.6e-241,GO+curated,GO:0046933(proton-transporting ATP synthase activity),ATP synthase (complex V),ETC complex V,high,F1Fo-ATP synthase subunit; synthesises ATP from the proton-motive force.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_06546,FUN_029418-T1,Peve_00018039,Pocillopora_meandrina_HIv1___RNAseq.g17183.t1,P05630,"ATP synthase F(1) complex subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)",8.999999999999999e-31,GO+curated,GO:0009060(aerobic respiration); GO:0046933(proton-transporting ATP synthase activity),ATP synthase (complex V),ETC complex V,high,F1Fo-ATP synthase subunit; synthesises ATP from the proton-motive force.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
