set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
symbiosis,OG_00403,FUN_001290-T1,Peve_00037014,Pocillopora_meandrina_HIv1___TS.g4708.t1b,P10860,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3) (Memory-related gene 2 protein) (MRG-2)",6.2e-198,curated,,Glutamate dehydrogenase,N assimilation,high,GDH interconverts glutamate/2-oxoglutarate+ammonium in symbiotic N recycling.,"Cui et al. 2019, PLoS Genet 15:e1008189 (host nitrogen assimilation/recycling controls symbionts)"
symbiosis,OG_02872,FUN_011922-T1,Peve_00002208,Pocillopora_meandrina_HIv1___TS.g16203.t1,Q9C102,Glutamate synthase [NADH] (EC 1.4.1.14) (Glutamine-oxoglutarate aminotransferase) (GOGAT),0.0,curated,,Glutamate synthase (GOGAT),N assimilation,high,GOGAT completes the GS/GOGAT ammonium-assimilation cycle.,"Cui et al. 2019, PLoS Genet 15:e1008189 (host nitrogen assimilation/recycling controls symbionts)"
symbiosis,OG_00858,FUN_004121-T2,Peve_00029608,Pocillopora_meandrina_HIv1___RNAseq.g11680.t2,Q6DCG4,Ammonium transporter Rh type B-B (Rhesus blood group family type B glycoprotein B) (Rh family type B glycoprotein B) (Rh type B glycoprotein B),2e-110,GO+curated,GO:0072488(ammonium transmembrane transport),Ammonium transporter / Rhesus,N exchange,high,Host ammonium/Rh transporters mediate symbiotic nitrogen exchange.,"Pernice et al. 2012, ISME J 6:1314-1324 (ammonium assimilation in the symbiosis)"
symbiosis,OG_04635,FUN_022357-T1,Peve_00021682,Pocillopora_meandrina_HIv1___RNAseq.g4585.t1,P55011,Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (BSC2) (Na-K-2Cl cotransporter 1) (hNKCC1),4e-238,GO,GO:0072488(ammonium transmembrane transport),GO:ammonium transmembrane transport,ammonium transmembrane transport,high,Annotated with GO:0072488(ammonium transmembrane transport).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
symbiosis,OG_05914,FUN_026106-T1,Peve_00044187,Pocillopora_meandrina_HIv1___RNAseq.g10323.t1,Q9UL51,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 (Brain cyclic nucleotide-gated channel 2) (BCNG-2),1.8e-72,GO,GO:0072488(ammonium transmembrane transport),GO:ammonium transmembrane transport,ammonium transmembrane transport,high,Annotated with GO:0072488(ammonium transmembrane transport).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
symbiosis,OG_02403,FUN_009044-T1,Peve_00002709,Pocillopora_meandrina_HIv1___RNAseq.g14411.t2,O35604,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),1.3e-312,curated,,NPC1/NPC2 sterol transporter,sterol transfer,high,Niemann-Pick C proteins mediate host-symbiont sterol transfer.,"Hambleton et al. 2019, eLife 8:e43923 (NPC2 sterol transfer in symbiosis)"
symbiosis,OG_04243,FUN_017765-T1,Peve_00003282,Pocillopora_meandrina_HIv1___RNAseq.g446.t1,Q5RD44,Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Solute carrier family 4 member 2),1.9e-207,curated,,Bicarbonate / anion transporter,DIC supply / CCM,moderate,Bicarbonate transporters (SLC4 family) deliver DIC to the symbiont.,"Zoccola et al. 2015, Sci Rep 5:9983 (bicarbonate transporters supply DIC in coral symbiosis)"
symbiosis,OG_07641,FUN_034420-T1,Peve_00021291,Pocillopora_meandrina_HIv1___RNAseq.g28575.t1,Q32LP4,Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10),1.6000000000000002e-273,curated,,Bicarbonate / anion transporter,DIC supply / CCM,moderate,Bicarbonate transporters (SLC4 family) deliver DIC to the symbiont.,"Zoccola et al. 2015, Sci Rep 5:9983 (bicarbonate transporters supply DIC in coral symbiosis)"
symbiosis,OG_00314,FUN_001118-T1,Peve_00029370,Pocillopora_meandrina_HIv1___RNAseq.g22341.t1,P00918,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),3.7e-63,curated,,Carbonic anhydrase,DIC supply / CCM,moderate,Interconverts CO2/HCO3- to supply inorganic carbon for symbiont photosynthesis (overlaps biomin).,"Bertucci et al. 2013, Bioorg Med Chem 21:1437-1450 (carbonic anhydrases; DIC supply / CCM)"
symbiosis,OG_01767,FUN_007124-T1,Peve_00043808,Pocillopora_meandrina_HIv1___RNAseq.g19007.t1,P35218,"Carbonic anhydrase 5A, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VA) (Carbonic anhydrase VA) (CA-VA)",1.4e-38,curated,,Carbonic anhydrase,DIC supply / CCM,moderate,Interconverts CO2/HCO3- to supply inorganic carbon for symbiont photosynthesis (overlaps biomin).,"Bertucci et al. 2013, Bioorg Med Chem 21:1437-1450 (carbonic anhydrases; DIC supply / CCM)"
