interaction_id,feature_type_1,feature_id_1,feature_type_2,feature_id_2,feature_type_3,feature_id_3,interaction_score,p_value,CpG_count,lncRNA_count,miRNA_count
INT_0201,miRNA,feature_201_1,CpG,feature_201_2,lncRNA,feature_201_3,0.919,0.009,1,1,1
INT_0202,CpG,feature_202_1,lncRNA,feature_202_2,miRNA,feature_202_3,0.74,0.0213,1,1,1
INT_0203,lncRNA,feature_203_1,miRNA,feature_203_2,CpG,feature_203_3,0.734,0.0487,1,1,1
INT_0204,miRNA,feature_204_1,CpG,feature_204_2,lncRNA,feature_204_3,0.918,0.0396,1,1,1
INT_0205,miRNA,feature_205_1,lncRNA,feature_205_2,CpG,feature_205_3,0.765,0.0043,1,1,1
INT_0206,miRNA,feature_206_1,CpG,feature_206_2,lncRNA,feature_206_3,0.833,0.0021,1,1,1
INT_0207,CpG,feature_207_1,lncRNA,feature_207_2,miRNA,feature_207_3,0.77,0.0343,1,1,1
INT_0208,lncRNA,feature_208_1,miRNA,feature_208_2,CpG,feature_208_3,0.731,0.0139,1,1,1
INT_0209,miRNA,feature_209_1,CpG,feature_209_2,lncRNA,feature_209_3,0.76,0.0393,1,1,1
INT_0210,miRNA,feature_210_1,lncRNA,feature_210_2,CpG,feature_210_3,0.736,0.0183,1,1,1
INT_0211,miRNA,feature_211_1,CpG,feature_211_2,lncRNA,feature_211_3,0.762,0.0051,1,1,1
INT_0212,CpG,feature_212_1,lncRNA,feature_212_2,miRNA,feature_212_3,0.941,0.0155,1,1,1
INT_0213,lncRNA,feature_213_1,miRNA,feature_213_2,CpG,feature_213_3,0.883,0.0425,1,1,1
INT_0214,miRNA,feature_214_1,CpG,feature_214_2,lncRNA,feature_214_3,0.744,0.0271,1,1,1
INT_0215,miRNA,feature_215_1,lncRNA,feature_215_2,CpG,feature_215_3,0.842,0.0162,1,1,1
INT_0216,miRNA,feature_216_1,CpG,feature_216_2,lncRNA,feature_216_3,0.75,0.0104,1,1,1
INT_0217,CpG,feature_217_1,lncRNA,feature_217_2,miRNA,feature_217_3,0.731,0.0222,1,1,1
INT_0218,lncRNA,feature_218_1,miRNA,feature_218_2,CpG,feature_218_3,0.961,0.0054,1,1,1
INT_0219,miRNA,feature_219_1,CpG,feature_219_2,lncRNA,feature_219_3,0.722,0.042,1,1,1
INT_0220,miRNA,feature_220_1,lncRNA,feature_220_2,CpG,feature_220_3,0.884,0.01,1,1,1
INT_0221,miRNA,feature_221_1,CpG,feature_221_2,lncRNA,feature_221_3,0.712,0.0467,1,1,1
INT_0222,CpG,feature_222_1,lncRNA,feature_222_2,miRNA,feature_222_3,0.91,0.028,1,1,1
INT_0223,lncRNA,feature_223_1,miRNA,feature_223_2,CpG,feature_223_3,0.824,0.0089,1,1,1
INT_0224,miRNA,feature_224_1,CpG,feature_224_2,lncRNA,feature_224_3,0.937,0.0196,1,1,1
INT_0225,miRNA,feature_225_1,lncRNA,feature_225_2,CpG,feature_225_3,0.865,0.0347,1,1,1
