gene	module	V1	V3	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
FUN_002428	ME7	NA	NA	NA	NA	NA	NA
FUN_002432	ME7	ntLink_8:1515747-1536955	Q7LHG5	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008233; GO:0008270; GO:0015074; GO:0032197
FUN_002473	ME7	NA	NA	NA	NA	NA	NA
FUN_002636	ME7	NA	NA	NA	NA	NA	NA
FUN_002637	ME7	NA	NA	NA	NA	NA	NA
FUN_002582	ME7	NA	NA	NA	NA	NA	NA
FUN_002667	ME7	ntLink_8:5062709-5063867	Q5I0S8	Leukocyte elastase inhibitor (Serpin B1)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	negative regulation of peptidase activity [GO:0010466]	GO:0004867; GO:0005615; GO:0005737; GO:0010466
FUN_002698	ME7	NA	NA	NA	NA	NA	NA
FUN_002690	ME7	NA	NA	NA	NA	NA	NA
FUN_002670	ME7	NA	NA	NA	NA	NA	NA
FUN_002715	ME7	NA	NA	NA	NA	NA	NA
FUN_002735	ME7	NA	NA	NA	NA	NA	NA
FUN_002810	ME7	ntLink_8:6468108-6502316	Q9V5N8	Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)	Drosophila melanogaster (Fruit fly)	axon guidance [GO:0007411]; axonogenesis [GO:0007409]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell surface receptor signaling pathway [GO:0007166]; cell-cell adhesion [GO:0098609]; dendrite development [GO:0016358]; dendrite morphogenesis [GO:0048813]; dendrite self-avoidance [GO:0070593]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; morphogenesis of a polarized epithelium [GO:0001738]; mushroom body development [GO:0016319]; ommatidial rotation [GO:0016318]; positive regulation of axon extension [GO:0045773]; positive regulation of axon guidance [GO:1902669]; R3/R4 development [GO:0048057]; regulation of axonogenesis [GO:0050770]; regulation of synapse assembly [GO:0051963]; regulation of tube length, open tracheal system [GO:0035159]; segment polarity determination [GO:0007367]	GO:0001736; GO:0001737; GO:0001738; GO:0004888; GO:0004930; GO:0005509; GO:0005886; GO:0005911; GO:0007156; GO:0007166; GO:0007367; GO:0007409; GO:0007411; GO:0016020; GO:0016318; GO:0016319; GO:0016324; GO:0016339; GO:0016358; GO:0035159; GO:0042067; GO:0045773; GO:0048057; GO:0048813; GO:0050770; GO:0050839; GO:0051963; GO:0070593; GO:0098609; GO:1902669
FUN_002868	ME7	ntLink_8:7143332-7159431	P0C6B8	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	Rattus norvegicus (Rat)	cell adhesion [GO:0007155]; epidermis development [GO:0008544]; gene expression [GO:0010467]; lymph circulation [GO:0003017]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; Tie signaling pathway [GO:0048014]; tight junction organization [GO:0120193]	GO:0001945; GO:0003017; GO:0003682; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0007155; GO:0008544; GO:0010467; GO:0016020; GO:0031012; GO:0036303; GO:0048014; GO:0120193
FUN_002856	ME7	NA	NA	NA	NA	NA	NA
FUN_003613	ME7	NA	NA	NA	NA	NA	NA
FUN_003853	ME7	NA	NA	NA	NA	NA	NA
FUN_003862	ME7	NA	NA	NA	NA	NA	NA
FUN_003876	ME7	ntLink_8:16411282-16412641	A0A0C2SRU0	Decarboxylase iboD (EC 4.1.1.-) (Ibotenic acid biosynthesis cluster protein D)	Amanita muscaria (strain Koide BX008)	phospholipid biosynthetic process [GO:0008654]	GO:0004609; GO:0008654
FUN_003979	ME7	NA	NA	NA	NA	NA	NA
FUN_004080	ME7	NA	NA	NA	NA	NA	NA
FUN_004112	ME7	NA	NA	NA	NA	NA	NA
