"gene","module","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"FUN_002433","ME2","ntLink_8:1537514-1543906","F1LU71","Methylglutaconyl-CoA hydratase, mitochondrial (3-MG-CoA hydratase) (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding enoyl-CoA hydratase) (Itaconyl-CoA hydratase) (EC 4.2.1.56)","Rattus norvegicus (Rat)","fatty acid beta-oxidation [GO:0006635]; leucine catabolic process [GO:0006552]","GO:0003723; GO:0003730; GO:0004300; GO:0004490; GO:0005739; GO:0006552; GO:0006635; GO:0050011"
"FUN_002697","ME2","ntLink_8:5525321-5527191","Q3KPT7","Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1)","Xenopus laevis (African clawed frog)","heme metabolic process [GO:0042168]; iron ion homeostasis [GO:0055072]; lipid metabolic process [GO:0006629]; siderophore biosynthetic process [GO:0019290]","GO:0003858; GO:0005737; GO:0006629; GO:0016617; GO:0016628; GO:0019290; GO:0042168; GO:0055072"
"FUN_003852","ME4","ntLink_8:16120514-16126968","Q9BRB3","Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q (N-acetylglucosamyl transferase component GPI1) (Phosphatidylinositol-glycan biosynthesis class Q protein) (PIG-Q)","Homo sapiens (Human)","carbohydrate metabolic process [GO:0005975]; GPI anchor biosynthetic process [GO:0006506]","GO:0000506; GO:0005783; GO:0005789; GO:0005975; GO:0006506"
"FUN_004083","ME2","ntLink_8:18989336-18999141","Q9ET22","Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)","Mus musculus (Mouse)","lysosomal protein catabolic process [GO:1905146]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]","GO:0004177; GO:0005576; GO:0005764; GO:0005794; GO:0005829; GO:0006508; GO:0008236; GO:0008239; GO:0030163; GO:0031410; GO:0031982; GO:0043231; GO:1905146"
"FUN_004100","ME8","ntLink_8:19281646-19295845","Q32NH8","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)","Xenopus laevis (African clawed frog)","intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]","GO:0004435; GO:0005509; GO:0005634; GO:0005783; GO:0016020; GO:0016042; GO:0035556"
"FUN_004114","ME33","ntLink_8:19388816-19423938","P93804","Phosphoglucomutase, cytoplasmic 1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)","Zea mays (Maize)","carbohydrate metabolic process [GO:0005975]; glucose metabolic process [GO:0006006]","GO:0000287; GO:0004614; GO:0005829; GO:0005975; GO:0006006"
"FUN_004270","ME13","ntLink_8:21410696-21416488","O35459","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)","Mus musculus (Mouse)","fatty acid beta-oxidation [GO:0006635]","GO:0005739; GO:0005777; GO:0006635; GO:0051750"
"FUN_004568","ME6","ntLink_8:24404768-24414859","O76031","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial","Homo sapiens (Human)","ATP metabolic process [GO:0046034]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]","GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005759; GO:0005829; GO:0006508; GO:0008270; GO:0009368; GO:0009841; GO:0016504; GO:0016887; GO:0042645; GO:0046034; GO:0046983; GO:0051082; GO:0051603; GO:0140662"
"FUN_004633","ME3","ntLink_8:25131512-25134384","O95395","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (hC2GnT-M) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT)","Homo sapiens (Human)","carbohydrate metabolic process [GO:0005975]; intestinal absorption [GO:0050892]; kidney morphogenesis [GO:0060993]; O-glycan processing [GO:0016266]; protein O-linked glycosylation [GO:0006493]; tissue morphogenesis [GO:0048729]","GO:0000139; GO:0003829; GO:0005975; GO:0006493; GO:0008109; GO:0008375; GO:0016020; GO:0016266; GO:0048729; GO:0050892; GO:0060993; GO:0070062; GO:0106325; GO:0106326"
"FUN_004634","ME1","ntLink_8:25157771-25170643","O95395","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (hC2GnT-M) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT)","Homo sapiens (Human)","carbohydrate metabolic process [GO:0005975]; intestinal absorption [GO:0050892]; kidney morphogenesis [GO:0060993]; O-glycan processing [GO:0016266]; protein O-linked glycosylation [GO:0006493]; tissue morphogenesis [GO:0048729]","GO:0000139; GO:0003829; GO:0005975; GO:0006493; GO:0008109; GO:0008375; GO:0016020; GO:0016266; GO:0048729; GO:0050892; GO:0060993; GO:0070062; GO:0106325; GO:0106326"
"FUN_004898","ME1","ntLink_8:28492341-28494837","O95394","Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)","Homo sapiens (Human)","carbohydrate metabolic process [GO:0005975]; glucosamine metabolic process [GO:0006041]; hemopoiesis [GO:0030097]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; spermatogenesis [GO:0007283]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]","GO:0000287; GO:0004610; GO:0005829; GO:0005975; GO:0006041; GO:0006048; GO:0006487; GO:0006493; GO:0007283; GO:0030097"
"FUN_004921","ME7","ntLink_8:28775003-28780971","Q9BS34","Zinc finger protein 670","Homo sapiens (Human)","cellular lipid metabolic process [GO:0044255]; lipid metabolic process [GO:0006629]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0006629; GO:0044255; GO:0046872"
"FUN_005177","ME13","ntLink_8:32200567-32227875","A6H8H2","DENN domain-containing protein 4C","Mus musculus (Mouse)","cellular response to insulin stimulus [GO:0032869]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; regulation of Rab protein signal transduction [GO:0032483]","GO:0005085; GO:0005794; GO:0005829; GO:0005886; GO:0015031; GO:0030659; GO:0030904; GO:0031410; GO:0032483; GO:0032593; GO:0032869; GO:0043231; GO:0072659"
"FUN_005200","ME15","ntLink_8:32700053-32701205","Q6P3P5","Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase (EC 2.4.1.206) (Lactotriaosylceramide synthase) (Lc(3)Cer synthase) (Lc3 synthase) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5) (BGnT-5) (Beta-1,3-Gn-T5) (Beta-1,3-N-acetylglucosaminyltransferase 5) (Beta3Gn-T5)","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","lipid metabolic process [GO:0006629]; protein glycosylation [GO:0006486]","GO:0000139; GO:0006486; GO:0006629; GO:0008457; GO:0047256"
