"gene","module","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"FUN_000960","ME2","ntLink_6:6459817-6479715","P28271","Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)","Mus musculus (Mouse)","cellular iron ion homeostasis [GO:0006879]; citrate metabolic process [GO:0006101]; intestinal absorption [GO:0050892]; post-embryonic development [GO:0009791]; regulation of gene expression [GO:0010468]; regulation of translation [GO:0006417]; response to iron(II) ion [GO:0010040]; tricarboxylic acid cycle [GO:0006099]","GO:0003723; GO:0003994; GO:0005737; GO:0005739; GO:0005783; GO:0005794; GO:0005829; GO:0006099; GO:0006101; GO:0006417; GO:0006879; GO:0009791; GO:0010040; GO:0010468; GO:0030350; GO:0043231; GO:0046872; GO:0047780; GO:0048027; GO:0050892; GO:0051536; GO:0051538; GO:0051539"
"FUN_007016","ME2","ptg000001l:19337954-19348318","Q68FX0","Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)","Rattus norvegicus (Rat)","2-oxoglutarate metabolic process [GO:0006103]; isocitrate metabolic process [GO:0006102]; NADH metabolic process [GO:0006734]; tricarboxylic acid cycle [GO:0006099]","GO:0000287; GO:0004449; GO:0005739; GO:0005962; GO:0006099; GO:0006102; GO:0006103; GO:0006734; GO:0051287"
"FUN_009532","ME0","ptg000004l:8124143-8148796","D3ZQD3","2-oxoglutarate dehydrogenase-like, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1-like) (OGDC-E1-like) (Alpha-ketoglutarate dehydrogenase-like)","Rattus norvegicus (Rat)","2-oxoglutarate metabolic process [GO:0006103]; glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]","GO:0004591; GO:0005739; GO:0005759; GO:0006096; GO:0006099; GO:0006103; GO:0030976; GO:0045252; GO:0046872"
"FUN_014563","ME13","ptg000009l:1184306-1186616","Q9K9H0","Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)","Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)","glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]","GO:0004451; GO:0006097; GO:0006099; GO:0046872"
"FUN_014564","ME13","ptg000009l:1193405-1194769","P28344","Malate synthase, glyoxysomal (EC 2.3.3.9)","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)","acetate catabolic process [GO:0045733]; carbon utilization [GO:0015976]; fatty acid catabolic process [GO:0009062]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]","GO:0004474; GO:0005737; GO:0005777; GO:0005782; GO:0006097; GO:0006099; GO:0009062; GO:0009514; GO:0015976; GO:0045733"
"FUN_014565","ME6","ptg000009l:1195136-1196331","Q9ZH77","Malate synthase (EC 2.3.3.9)","Streptomyces clavuligerus","glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]","GO:0004474; GO:0005737; GO:0006097; GO:0006099"
"FUN_015065","ME5","ptg000009l:5731387-5733212","Q8K3J1","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)","Mus musculus (Mouse)","aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to oxidative stress [GO:0006979]","GO:0003954; GO:0005739; GO:0005747; GO:0006120; GO:0006979; GO:0008137; GO:0009060; GO:0032981; GO:0042776; GO:0046872; GO:0051539"
"FUN_025367","ME2","ptg000019l:1947727-1959194","Q5R6Y1","Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)","canonical glycolysis [GO:0061621]","GO:0000015; GO:0000287; GO:0004634; GO:0005886; GO:0061621"
"FUN_025823","ME13","ptg000020l:1001303-1026455","P53396","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)","Homo sapiens (Human)","acetyl-CoA biosynthetic process [GO:0006085]; cholesterol biosynthetic process [GO:0006695]; citrate metabolic process [GO:0006101]; coenzyme A metabolic process [GO:0015936]; fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]","GO:0003878; GO:0005524; GO:0005576; GO:0005654; GO:0005829; GO:0006085; GO:0006099; GO:0006101; GO:0006107; GO:0006633; GO:0006695; GO:0008610; GO:0015936; GO:0016020; GO:0035578; GO:0046872; GO:0070062; GO:1904813"
"FUN_025802","ME2","ptg000020l:784433-791031","Q16P20","Probable citrate synthase 2, mitochondrial (EC 2.3.3.16)","Aedes aegypti (Yellowfever mosquito) (Culex aegypti)","carbohydrate metabolic process [GO:0005975]; citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]","GO:0004108; GO:0005759; GO:0005975; GO:0006099; GO:0006101"
