gene	module	V1	V3	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
FUN_002351	ME1	ntLink_8:416026-432037	Q95SX7	Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)	Drosophila melanogaster (Fruit fly)	transposition, DNA-mediated [GO:0006313]	GO:0003964; GO:0006313
FUN_002352	ME9	NA	NA	NA	NA	NA	NA
FUN_002350	ME6	NA	NA	NA	NA	NA	NA
FUN_002354	ME9	NA	NA	NA	NA	NA	NA
FUN_002355	ME1	NA	NA	NA	NA	NA	NA
FUN_002356	ME6	NA	NA	NA	NA	NA	NA
FUN_002357	ME2	NA	NA	NA	NA	NA	NA
FUN_002327	ME17	ntLink_8:40396-46759	Q96AY4	Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)	Homo sapiens (Human)	cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_002342	ME6	NA	NA	NA	NA	NA	NA
FUN_002363	ME30	NA	NA	NA	NA	NA	NA
FUN_002358	ME2	NA	NA	NA	NA	NA	NA
FUN_002359	ME19	NA	NA	NA	NA	NA	NA
FUN_002425	ME8	NA	NA	NA	NA	NA	NA
FUN_002411	ME30	NA	NA	NA	NA	NA	NA
FUN_002413	ME30	NA	NA	NA	NA	NA	NA
FUN_002415	ME30	NA	NA	NA	NA	NA	NA
FUN_002416	ME30	NA	NA	NA	NA	NA	NA
FUN_002417	ME8	NA	NA	NA	NA	NA	NA
FUN_002418	ME30	NA	NA	NA	NA	NA	NA
FUN_002419	ME30	NA	NA	NA	NA	NA	NA
FUN_002409	ME30	NA	NA	NA	NA	NA	NA
FUN_002410	ME4	NA	NA	NA	NA	NA	NA
FUN_002424	ME8	ntLink_8:1340182-1442700	Q09575	Uncharacterized protein K02A2.6	Caenorhabditis elegans	DNA integration [GO:0015074]	GO:0003676; GO:0003887; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575
FUN_002375	ME4	NA	NA	NA	NA	NA	NA
FUN_002388	ME25	NA	NA	NA	NA	NA	NA
FUN_002402	ME8	NA	NA	NA	NA	NA	NA
FUN_002405	ME4	ntLink_8:1153236-1157693	O57525	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)	Rana dybowskii (Dybovsky's frog) (Korean brown frog)	steroid biosynthetic process [GO:0006694]	GO:0004508; GO:0005506; GO:0006694; GO:0016020; GO:0020037; GO:0047442
FUN_002376	ME42	NA	NA	NA	NA	NA	NA
FUN_002378	ME9	NA	NA	NA	NA	NA	NA
FUN_002379	ME9	NA	NA	NA	NA	NA	NA
FUN_002380	ME23	NA	NA	NA	NA	NA	NA
FUN_002382	ME6	NA	NA	NA	NA	NA	NA
FUN_002406	ME1	NA	NA	NA	NA	NA	NA
FUN_002451	ME1	NA	NA	NA	NA	NA	NA
FUN_002437	ME30	NA	NA	NA	NA	NA	NA
FUN_002429	ME9	NA	NA	NA	NA	NA	NA
FUN_002431	ME1	NA	NA	NA	NA	NA	NA
