"gene","module","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"FUN_002395","ME12",NA,NA,NA,NA,NA,NA
"FUN_002535","ME12",NA,NA,NA,NA,NA,NA
"FUN_002536","ME12",NA,NA,NA,NA,NA,NA
"FUN_002549","ME12",NA,NA,NA,NA,NA,NA
"FUN_002639","ME12",NA,NA,NA,NA,NA,NA
"FUN_002675","ME12","ntLink_8:5185664-5197204","B3EWZ3","Coadhesin","Acropora millepora (Staghorn coral) (Heteropora millepora)","","GO:0016020"
"FUN_002863","ME12","ntLink_8:7088891-7097128","P14381","Transposon TX1 uncharacterized 149 kDa protein (ORF 2)","Xenopus laevis (African clawed frog)","","GO:0003824"
"FUN_002902","ME12",NA,NA,NA,NA,NA,NA
"FUN_003526","ME12",NA,NA,NA,NA,NA,NA
"FUN_003462","ME12",NA,NA,NA,NA,NA,NA
"FUN_003467","ME12",NA,NA,NA,NA,NA,NA
"FUN_003625","ME12","ntLink_8:13667611-13669268","P19477","Fibrinogen-like protein A (FREP-A)","Apostichopus parvimensis (Warty sea cucumber) (Stichopus parvimensis)","",""
"FUN_003629","ME12","ntLink_8:13749031-13749346","Q15485","Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)","Homo sapiens (Human)","cell surface pattern recognition receptor signaling pathway [GO:0002752]; complement activation, lectin pathway [GO:0001867]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; opsonization [GO:0008228]; positive regulation of opsonization [GO:1903028]; proteolysis [GO:0006508]; recognition of apoptotic cell [GO:0043654]","GO:0001867; GO:0002752; GO:0003823; GO:0005102; GO:0005576; GO:0005581; GO:0005615; GO:0006508; GO:0008228; GO:0009897; GO:0042802; GO:0043394; GO:0043654; GO:0046872; GO:0048306; GO:0050829; GO:0050830; GO:0062023; GO:0070062; GO:0072562; GO:0097367; GO:1903028; GO:1905370; GO:2001065"
"FUN_003799","ME12","ntLink_8:15478047-15481106","P19477","Fibrinogen-like protein A (FREP-A)","Apostichopus parvimensis (Warty sea cucumber) (Stichopus parvimensis)","",""
"FUN_003842","ME46",NA,NA,NA,NA,NA,NA
"FUN_003832","ME12",NA,NA,NA,NA,NA,NA
"FUN_003889","ME12","ntLink_8:16535144-16536028","B8VIU6","Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)","Acropora millepora (Staghorn coral) (Heteropora millepora)","","GO:0005576"
"FUN_003954","ME12",NA,NA,NA,NA,NA,NA
"FUN_003953","ME12",NA,NA,NA,NA,NA,NA
"FUN_003996","ME46",NA,NA,NA,NA,NA,NA
