"gene","module","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"FUN_002351","ME1","ntLink_8:416026-432037","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)","Drosophila melanogaster (Fruit fly)","transposition, DNA-mediated [GO:0006313]","GO:0003964; GO:0006313"
"FUN_002350","ME6",NA,NA,NA,NA,NA,NA
"FUN_002355","ME1",NA,NA,NA,NA,NA,NA
"FUN_002356","ME6",NA,NA,NA,NA,NA,NA
"FUN_002357","ME2",NA,NA,NA,NA,NA,NA
"FUN_002342","ME6",NA,NA,NA,NA,NA,NA
"FUN_002358","ME2",NA,NA,NA,NA,NA,NA
"FUN_002359","ME19",NA,NA,NA,NA,NA,NA
"FUN_002425","ME8",NA,NA,NA,NA,NA,NA
"FUN_002428","ME7",NA,NA,NA,NA,NA,NA
"FUN_002417","ME8",NA,NA,NA,NA,NA,NA
"FUN_002424","ME8","ntLink_8:1340182-1442700","Q09575","Uncharacterized protein K02A2.6","Caenorhabditis elegans","DNA integration [GO:0015074]","GO:0003676; GO:0003887; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575"
"FUN_002402","ME8",NA,NA,NA,NA,NA,NA
"FUN_002376","ME42",NA,NA,NA,NA,NA,NA
"FUN_002381","ME15",NA,NA,NA,NA,NA,NA
"FUN_002382","ME6",NA,NA,NA,NA,NA,NA
"FUN_002406","ME1",NA,NA,NA,NA,NA,NA
"FUN_002451","ME1",NA,NA,NA,NA,NA,NA
"FUN_002431","ME1",NA,NA,NA,NA,NA,NA
"FUN_002432","ME7","ntLink_8:1515747-1536955","Q7LHG5","Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)","DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]","GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008233; GO:0008270; GO:0015074; GO:0032197"
"FUN_002433","ME2","ntLink_8:1537514-1543906","F1LU71","Methylglutaconyl-CoA hydratase, mitochondrial (3-MG-CoA hydratase) (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding enoyl-CoA hydratase) (Itaconyl-CoA hydratase) (EC 4.2.1.56)","Rattus norvegicus (Rat)","fatty acid beta-oxidation [GO:0006635]; leucine catabolic process [GO:0006552]","GO:0003723; GO:0003730; GO:0004300; GO:0004490; GO:0005739; GO:0006552; GO:0006635; GO:0050011"
"FUN_002435","ME2","ntLink_8:1556142-1558468","P69005","Actin, cytoskeletal 2B (EC 3.6.4.-) (Actin, cytoskeletal IIB)","Strongylocentrotus purpuratus (Purple sea urchin)","","GO:0005524; GO:0005737; GO:0005856; GO:0016787"
"FUN_002457","ME1","ntLink_8:1803380-1819565","Q3UHK1","Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13)","Mus musculus (Mouse)","myo-inositol transport [GO:0015798]; positive regulation of amyloid-beta formation [GO:1902004]; transmembrane transport [GO:0055085]","GO:0002020; GO:0005365; GO:0005366; GO:0005737; GO:0005886; GO:0015798; GO:0016020; GO:0016324; GO:0022857; GO:0030426; GO:0031090; GO:0042995; GO:0043231; GO:0044297; GO:0051117; GO:0055085; GO:0071944; GO:0097450; GO:1902004"
"FUN_002468","ME2",NA,NA,NA,NA,NA,NA
"FUN_002453","ME2",NA,NA,NA,NA,NA,NA
"FUN_002472","ME15",NA,NA,NA,NA,NA,NA
"FUN_002473","ME7",NA,NA,NA,NA,NA,NA
"FUN_002577","ME1",NA,NA,NA,NA,NA,NA
"FUN_002648","ME19",NA,NA,NA,NA,NA,NA
"FUN_002656","ME2",NA,NA,NA,NA,NA,NA
"FUN_002502","ME1",NA,NA,NA,NA,NA,NA
"FUN_002566","ME19",NA,NA,NA,NA,NA,NA
"FUN_002569","ME1",NA,NA,NA,NA,NA,NA
"FUN_002484","ME1",NA,NA,NA,NA,NA,NA
"FUN_002497","ME34",NA,NA,NA,NA,NA,NA
"FUN_002500","ME1",NA,NA,NA,NA,NA,NA
"FUN_002505","ME15",NA,NA,NA,NA,NA,NA
"FUN_002513","ME34",NA,NA,NA,NA,NA,NA
"FUN_002539","ME1",NA,NA,NA,NA,NA,NA
"FUN_002554","ME1",NA,NA,NA,NA,NA,NA
"FUN_002559","ME8",NA,NA,NA,NA,NA,NA
"FUN_002561","ME1",NA,NA,NA,NA,NA,NA
"FUN_002570","ME34",NA,NA,NA,NA,NA,NA
"FUN_002573","ME1",NA,NA,NA,NA,NA,NA
"FUN_002595","ME1",NA,NA,NA,NA,NA,NA
"FUN_002596","ME1",NA,NA,NA,NA,NA,NA
"FUN_002626","ME1",NA,NA,NA,NA,NA,NA
"FUN_002636","ME7",NA,NA,NA,NA,NA,NA
"FUN_002637","ME7",NA,NA,NA,NA,NA,NA
"FUN_002580","ME8","ntLink_8:3977316-3990226","A8MY62","Putative beta-lactamase-like 1","Homo sapiens (Human)","",""
"FUN_002582","ME7",NA,NA,NA,NA,NA,NA
"FUN_002593","ME1",NA,NA,NA,NA,NA,NA
"FUN_002606","ME8",NA,NA,NA,NA,NA,NA
"FUN_002620","ME8",NA,NA,NA,NA,NA,NA
"FUN_002624","ME1",NA,NA,NA,NA,NA,NA
"FUN_002638","ME8",NA,NA,NA,NA,NA,NA
"FUN_002667","ME7","ntLink_8:5062709-5063867","Q5I0S8","Leukocyte elastase inhibitor (Serpin B1)","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","negative regulation of peptidase activity [GO:0010466]","GO:0004867; GO:0005615; GO:0005737; GO:0010466"
"FUN_002660","ME2",NA,NA,NA,NA,NA,NA
"FUN_002662","ME6",NA,NA,NA,NA,NA,NA
"FUN_002697","ME2","ntLink_8:5525321-5527191","Q3KPT7","Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1)","Xenopus laevis (African clawed frog)","heme metabolic process [GO:0042168]; iron ion homeostasis [GO:0055072]; lipid metabolic process [GO:0006629]; siderophore biosynthetic process [GO:0019290]","GO:0003858; GO:0005737; GO:0006629; GO:0016617; GO:0016628; GO:0019290; GO:0042168; GO:0055072"
"FUN_002698","ME7",NA,NA,NA,NA,NA,NA
"FUN_002704","ME8",NA,NA,NA,NA,NA,NA
"FUN_002699","ME2",NA,NA,NA,NA,NA,NA
"FUN_002690","ME7",NA,NA,NA,NA,NA,NA
"FUN_002691","ME2",NA,NA,NA,NA,NA,NA
"FUN_002692","ME2",NA,NA,NA,NA,NA,NA
"FUN_002694","ME2",NA,NA,NA,NA,NA,NA
"FUN_002695","ME6",NA,NA,NA,NA,NA,NA
"FUN_002668","ME6",NA,NA,NA,NA,NA,NA
"FUN_002669","ME2",NA,NA,NA,NA,NA,NA
"FUN_002670","ME7",NA,NA,NA,NA,NA,NA
"FUN_002672","ME8","ntLink_8:5144663-5166881","B3EWZ3","Coadhesin","Acropora millepora (Staghorn coral) (Heteropora millepora)","","GO:0016020"
"FUN_002710","ME19",NA,NA,NA,NA,NA,NA
"FUN_002713","ME8",NA,NA,NA,NA,NA,NA
"FUN_002706","ME8",NA,NA,NA,NA,NA,NA
"FUN_002711","ME8",NA,NA,NA,NA,NA,NA
"FUN_002712","ME8",NA,NA,NA,NA,NA,NA
"FUN_002714","ME15",NA,NA,NA,NA,NA,NA
"FUN_002715","ME7",NA,NA,NA,NA,NA,NA
"FUN_002725","ME2",NA,NA,NA,NA,NA,NA
"FUN_002716","ME1",NA,NA,NA,NA,NA,NA
"FUN_002718","ME2","ntLink_8:5685261-5686486","Q96GS4","BLOC-1-related complex subunit 6 (Lysosome-dispersing protein) (Lyspersin)","Homo sapiens (Human)","lysosome localization [GO:0032418]; organelle transport along microtubule [GO:0072384]; regulation of endosome size [GO:0051036]; regulation of lysosome size [GO:0062196]","GO:0032418; GO:0042802; GO:0051036; GO:0062196; GO:0072384; GO:0098574; GO:0099078"
"FUN_002719","ME8",NA,NA,NA,NA,NA,NA
"FUN_002721","ME2",NA,NA,NA,NA,NA,NA
"FUN_002729","ME8",NA,NA,NA,NA,NA,NA
"FUN_002734","ME1",NA,NA,NA,NA,NA,NA
"FUN_002735","ME7",NA,NA,NA,NA,NA,NA
"FUN_002801","ME8",NA,NA,NA,NA,NA,NA
"FUN_002739","ME1",NA,NA,NA,NA,NA,NA
"FUN_002767","ME8",NA,NA,NA,NA,NA,NA
"FUN_002809","ME1",NA,NA,NA,NA,NA,NA
"FUN_002810","ME7","ntLink_8:6468108-6502316","Q9V5N8","Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)","Drosophila melanogaster (Fruit fly)","axon guidance [GO:0007411]; axonogenesis [GO:0007409]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell surface receptor signaling pathway [GO:0007166]; cell-cell adhesion [GO:0098609]; dendrite development [GO:0016358]; dendrite morphogenesis [GO:0048813]; dendrite self-avoidance [GO:0070593]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; morphogenesis of a polarized epithelium [GO:0001738]; mushroom body development [GO:0016319]; ommatidial rotation [GO:0016318]; positive regulation of axon extension [GO:0045773]; positive regulation of axon guidance [GO:1902669]; R3/R4 development [GO:0048057]; regulation of axonogenesis [GO:0050770]; regulation of synapse assembly [GO:0051963]; regulation of tube length, open tracheal system [GO:0035159]; segment polarity determination [GO:0007367]","GO:0001736; GO:0001737; GO:0001738; GO:0004888; GO:0004930; GO:0005509; GO:0005886; GO:0005911; GO:0007156; GO:0007166; GO:0007367; GO:0007409; GO:0007411; GO:0016020; GO:0016318; GO:0016319; GO:0016324; GO:0016339; GO:0016358; GO:0035159; GO:0042067; GO:0045773; GO:0048057; GO:0048813; GO:0050770; GO:0050839; GO:0051963; GO:0070593; GO:0098609; GO:1902669"
