gene_id,total_importance,apul,peve,ptua,type,protein_name,organism,go_bp,go_cc,go_mf
OG_04737,20.82769539727316,FUN_022613-T1,Peve_00012263,Pocillopora_meandrina_HIv1___RNAseq.g4397.t1,three_way,Reversion-inducing cysteine-rich protein with Kazal motifs,Danio rerio (Zebrafish) (Brachydanio rerio),blood vessel maturation [GO:0001955]; canonical Wnt signaling pathway [GO:0060070]; dorsal root ganglion development [GO:1990791]; extracellular matrix organization [GO:0030198]; negative regulation of metalloendopeptidase activity [GO:1904684]; regulation of angiogenesis [GO:0045765]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell cycle [GO:0051726]; regulation of cell migration involved in sprouting angiogenesis [GO:0090049]; regulation of establishment of blood-brain barrier [GO:0090210]; sprouting angiogenesis [GO:0002040]; vasculature development [GO:0001944]; Wnt signaling pathway [GO:0016055],plasma membrane [GO:0005886]; side of membrane [GO:0098552]; Wnt signalosome [GO:1990909],coreceptor activity [GO:0015026]; endopeptidase inhibitor activity [GO:0004866]; metalloendopeptidase inhibitor activity [GO:0008191]; serine-type endopeptidase inhibitor activity [GO:0004867]
OG_04439,18.23288803069343,FUN_018835-T2,Peve_00035787,Pocillopora_meandrina_HIv1___RNAseq.g9856.t1,three_way,Dynein axonemal heavy chain 6 (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6),Homo sapiens (Human),cilium movement involved in cell motility [GO:0060294],9+2 motile cilium [GO:0097729]; axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]
OG_02599,18.227045055621986,FUN_010720-T1,Peve_00029905,Pocillopora_meandrina_HIv1___RNAseq.g20949.t2,three_way,Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2),Rattus norvegicus (Rat),anterior neuropore closure [GO:0021506]; basement membrane organization [GO:0071711]; bone morphogenesis [GO:0060349]; cell population proliferation [GO:0008283]; cellular response to iron ion [GO:0071281]; cornea development in camera-type eye [GO:0061303]; embryonic body morphogenesis [GO:0010172]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic forelimb morphogenesis [GO:0035115]; embryonic pattern specification [GO:0009880]; epidermal growth factor receptor signaling pathway [GO:0007173]; epidermis morphogenesis [GO:0048730]; eyelid development in camera-type eye [GO:0061029]; face morphogenesis [GO:0060325]; fibroblast migration [GO:0010761]; forebrain neuron development [GO:0021884]; forelimb morphogenesis [GO:0035136]; inner ear morphogenesis [GO:0042472]; keratinocyte development [GO:0003334]; kidney development [GO:0001822]; lens induction in camera-type eye [GO:0060235]; lens morphogenesis in camera-type eye [GO:0002089]; metanephric nephron development [GO:0072210]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; neural crest cell development [GO:0014032]; neural tube closure [GO:0001843]; neuron apoptotic process [GO:0051402]; oculomotor nerve formation [GO:0021623]; optic cup structural organization [GO:0003409]; optic vesicle morphogenesis [GO:0003404]; outflow tract morphogenesis [GO:0003151]; positive regulation of bone mineralization [GO:0030501]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of tooth mineralization [GO:0070172]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of DNA-templated transcription [GO:0006355]; regulation of neuron differentiation [GO:0045664]; regulation of transcription by RNA polymerase II [GO:0006357]; response to lipopolysaccharide [GO:0032496]; retina layer formation [GO:0010842]; roof of mouth development [GO:0060021]; Schwann cell development [GO:0014044]; sensory organ development [GO:0007423]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; skeletal system morphogenesis [GO:0048705]; skin development [GO:0043588]; sympathetic nervous system development [GO:0048485]; transcription by RNA polymerase II [GO:0006366]; trigeminal nerve development [GO:0021559],clathrin-coated pit [GO:0005905]; nucleus [GO:0005634],"chromatin binding [GO:0003682]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]"
OG_04336,17.48260900338127,FUN_017948-T1,Peve_00000381,Pocillopora_meandrina_HIv1___RNAseq.g25232.t1,three_way,,,,,
OG_01437,17.439071273301593,FUN_005873-T1,Peve_00015756,Pocillopora_meandrina_HIv1___RNAseq.g19664.t1,three_way,,,,,
OG_01728,17.260033835052802,FUN_007020-T1,Peve_00037180,Pocillopora_meandrina_HIv1___RNAseq.g20542.t1,three_way,,,,,
OG_07956,17.118184940241903,FUN_035500-T1,Peve_00033958,Pocillopora_meandrina_HIv1___RNAseq.g26993.t1,three_way,,,,,
OG_01261,17.015329191672414,FUN_005023-T1,Peve_00028649,Pocillopora_meandrina_HIv1___RNAseq.g8329.t1,three_way,,,,,
OG_05395,16.97347820700104,FUN_024222-T1,Peve_00031895,Pocillopora_meandrina_HIv1___RNAseq.g18914.t1,three_way,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),Homo sapiens (Human),angiogenesis [GO:0001525]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to peptide [GO:1901653]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816],chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; MRF binding [GO:0043426]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]"
OG_02090,16.75642828725832,FUN_008328-T1,Peve_00040489,Pocillopora_meandrina_HIv1___TS.g24166.t1,three_way,,,,,
