Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR001791:Laminin_G	5	19.230769230769234	2.2483317679574847E-5	Q8TDW7, B8UU78, P97846	26	26	3677	27.19674556213018	0.00258227078783535	0.001306090607148714	0.001203874820502293
INTERPRO	IPR003585:Neurexin-like	4	15.384615384615385	2.2714619254760246E-5	B8UU78, P97846	26	9	3677	62.85470085470086	0.002608802028109869	0.001306090607148714	0.001203874820502293
SMART	SM00294:4.1m	4	15.384615384615385	3.705002711655096E-5	B8UU78, P97846	18	9	2079	51.33333333333333	7.777623691306301E-4	4.308750055817221E-4	4.308750055817221E-4
SMART	SM00282:LamG	5	19.230769230769234	4.1035714817306864E-5	Q8TDW7, B8UU78, P97846	18	26	2079	22.21153846153846	8.613964777736127E-4	4.308750055817221E-4	4.308750055817221E-4
INTERPRO	IPR050372:Neurexin-related_CASP	4	15.384615384615385	7.595877264323376E-5	B8UU78, P97846	26	13	3677	43.514792899408285	0.008697546219439967	0.0029117529513239607	0.0026838766333942598
UP_SEQ_FEATURE	DOMAIN:Laminin G-like 3	4	15.384615384615385	1.0578756035710145E-4	B8UU78, P97846	26	14	3561	39.13186813186813	0.017720161604612206	0.011136310471615056	0.010081985219864517
UP_SEQ_FEATURE	DOMAIN:EGF-like 2	5	19.230769230769234	1.3179065646881722E-4	Q8TDW7, B8UU78, P97846	26	39	3561	17.559171597633135	0.0220278528346175	0.011136310471615056	0.010081985219864517
UP_SEQ_FEATURE	DOMAIN:EGF-like 1	5	19.230769230769234	3.502625213935614E-4	Q8TDW7, B8UU78, P97846	26	50	3561	13.696153846153846	0.057486216459587625	0.018980243521084735	0.017183297388911035
INTERPRO	IPR013320:ConA-like_dom_sf	5	19.230769230769234	3.613506338275437E-4	Q8TDW7, B8UU78, P97846	26	52	3677	13.59837278106509	0.040710941293466085	0.010388830722541882	0.009575791796429908
UP_SEQ_FEATURE	DOMAIN:Laminin G-like 1	4	15.384615384615385	5.615456663042821E-4	B8UU78, P97846	26	24	3561	22.82692307692308	0.0905614730688733	0.018980243521084735	0.017183297388911035
UP_SEQ_FEATURE	DOMAIN:Laminin G-like 2	4	15.384615384615385	5.615456663042821E-4	B8UU78, P97846	26	24	3561	22.82692307692308	0.0905614730688733	0.018980243521084735	0.017183297388911035
INTERPRO	IPR051261:NLR	3	11.538461538461538	0.0015519803224044047	Q5DU56, Q8BHB0, Q7RTR2	26	9	3677	47.14102564102564	0.16357329004300403	0.03569554741530131	0.03290198283497338
INTERPRO	IPR000742:EGF-like_dom	5	19.230769230769234	0.0019438231465875144	Q8TDW7, B8UU78, P97846	26	81	3677	8.729819563152896	0.20049077202926902	0.03725661030959403	0.03434087558971276
UP_SEQ_FEATURE	REPEAT:LRR 8	4	15.384615384615385	0.0033491673838487042	Q658G7, Q5DU56, Q8BHB0, Q7RTR2	26	44	3561	12.451048951048952	0.4327523166983763	0.0810126672649894	0.07334282894404366
INTERPRO	IPR000152:EGF-type_Asp/Asn_hydroxyl_site	4	15.384615384615385	0.003476382862593113	Q8TDW7, B8UU78	26	46	3677	12.297658862876254	0.33000199557913723	0.05523067924338265	0.05090827825911792
UP_KW_DOMAIN	KW-0245~EGF-like domain	5	19.230769230769234	0.00359118435605129	Q8TDW7, B8UU78, P97846	21	82	2480	7.200929152148664	0.04225314357788368	0.04309421227261548	0.04309421227261548
INTERPRO	IPR041075:NOD1/2_WH	3	11.538461538461538	0.003842134208235315	Q5DU56, Q8BHB0, Q7RTR2	26	14	3677	30.30494505494506	0.3576978382809577	0.05523067924338265	0.05090827825911792
UP_SEQ_FEATURE	REPEAT:LRR 7	4	15.384615384615385	0.004293607047340972	Q658G7, Q5DU56, Q8BHB0, Q7RTR2	26	48	3561	11.41346153846154	0.5167309915466347	0.0810126672649894	0.07334282894404366
UP_SEQ_FEATURE	REPEAT:LRR 16	3	11.538461538461538	0.004698842638909263	Q658G7, Q5DU56, Q7RTR2	26	15	3561	27.392307692307696	0.548859273881887	0.0810126672649894	0.07334282894404366
