ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q9BUX1	ChaC glutathione specific gamma-glutamylcyclotransferase 1(CHAC1)	Homo sapiens		GO:0006750~glutathione biosynthetic process,GO:0006751~glutathione catabolic process,GO:0006986~response to unfolded protein,GO:0007219~Notch signaling pathway,GO:0010955~negative regulation of protein processing,GO:0022008~neurogenesis,GO:0045746~negative regulation of Notch signaling pathway,GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,	GO:0005737~cytoplasm,GO:0005802~trans-Golgi network,GO:0005829~cytosol,	GO:0003839~gamma-glutamylcyclotransferase activity,GO:0005112~Notch binding,GO:0005515~protein binding,GO:0061928~glutathione specific gamma-glutamylcyclotransferase activity,	IPR006840:ChaC,IPR013024:GGCT-like,IPR036568:GGCT-like_sf,	hsa00480:Glutathione metabolism,hsa01100:Metabolic pathways,				KW-0053~Apoptosis,KW-0524~Neurogenesis,KW-0834~Unfolded protein response,KW-0914~Notch signaling pathway,	KW-0333~Golgi apparatus,KW-0963~Cytoplasm,				KW-0456~Lyase,		ACT_SITE:Proton acceptor,REGION:Disordered,
Q7RTR2	NLR family CARD domain containing 3(NLRC3)	Homo sapiens		GO:0007249~canonical NF-kappaB signal transduction,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,				SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:NACHT,MOTIF:TRAF6-binding,MUTAGEN:SLQE->AAAA: Strong decrease of TRAF6-binding.,MUTAGEN:SVEE->AAAA: Almost no effect on TRAF6-binding.,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
Q5DU56	NLR family, CARD domain containing 3(Nlrc3)	Mus musculus	Signal transduction mechanisms,	GO:0007249~canonical NF-kappaB signal transduction,GO:0010646~regulation of cell communication,GO:0023051~regulation of signaling,GO:0031396~regulation of protein ubiquitination,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032496~response to lipopolysaccharide,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032691~negative regulation of interleukin-1 beta production,GO:0032695~negative regulation of interleukin-12 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045088~regulation of innate immune response,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,GO:0140678~molecular function inhibitor activity,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,				SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			COMPBIAS:Polar residues,DOMAIN:NACHT,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
P83871	PHD finger protein 5A(Phf5a)	Rattus norvegicus		GO:0000398~mRNA splicing, via spliceosome,GO:0045893~positive regulation of DNA-templated transcription,GO:0048863~stem cell differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005684~U2-type spliceosomal complex,GO:0005686~U2 snRNP,GO:0005689~U12-type spliceosomal complex,GO:0016363~nuclear matrix,GO:0016607~nuclear speck,GO:0071005~U2-type precatalytic spliceosome,GO:0071011~precatalytic spliceosome,GO:0071013~catalytic step 2 spliceosome,	GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0008270~zinc ion binding,	IPR005345:PHF5,	rno03040:Spliceosome,		PIRSF016468:PHF5,		KW-0507~mRNA processing,KW-0508~mRNA splicing,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0747~Spliceosome,			KW-0479~Metal-binding,KW-0862~Zinc,	KW-0238~DNA-binding,KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	REGION:Interaction with SF3B1 and SF3B3,REGION:Interaction with SF3B3,SITE:Interaction with RNA,SITE:Interaction with SF3B3,
Q9JIT3	TLE family member 3, transcriptional corepressor(Tle3)	Rattus norvegicus		GO:0006355~regulation of DNA-templated transcription,GO:0016055~Wnt signaling pathway,GO:0045892~negative regulation of DNA-templated transcription,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0120163~negative regulation of cold-induced thermogenesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription regulator complex,GO:1990907~beta-catenin-TCF complex,	GO:0003714~transcription corepressor activity,GO:0005515~protein binding,	IPR001680:WD40_rpt,IPR005617:Groucho/TLE_N,IPR009146:Groucho_enhance,IPR015943:WD40/YVTN_repeat-like_dom_sf,IPR019775:WD40_repeat_CS,IPR036322:WD40_repeat_dom_sf,	rno04310:Wnt signaling pathway,rno04330:Notch signaling pathway,			SM00320:WD40,	KW-0804~Transcription,KW-0805~Transcription regulation,KW-0879~Wnt signaling pathway,	KW-0539~Nucleus,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0853~WD repeat,		KW-0678~Repressor,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:Groucho/TLE N-terminal Q-rich,MOTIF:Nuclear localization signal,REGION:CcN domain,REGION:Disordered,REGION:GP domain,REGION:Q domain,REGION:SP domain,REPEAT:WD,REPEAT:WD 1,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,REPEAT:WD 6,REPEAT:WD 7,
B8VIU6	Uncharacterized skeletal organic matrix protein 5 (USOM5_ACRMI)	Acropora millepora			GO:0005576~extracellular region,		IPR014716:Fibrinogen_a/b/g_C_1,						KW-0964~Secreted,		KW-0732~Signal,
A0MQH0	dicer 1, ribonuclease III(Dicer1)	Cricetulus griseus		GO:0006309~apoptotic DNA fragmentation,GO:0010804~negative regulation of tumor necrosis factor-mediated signaling pathway,GO:0030422~siRNA processing,GO:0031054~pre-miRNA processing,GO:0032720~negative regulation of tumor necrosis factor production,GO:0070922~RISC complex assembly,GO:0098795~global gene silencing by mRNA cleavage,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016442~RISC complex,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,GO:0070578~RISC-loading complex,	GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0003725~double-stranded RNA binding,GO:0004386~helicase activity,GO:0004525~ribonuclease III activity,GO:0004530~deoxyribonuclease I activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019904~protein domain specific binding,GO:0035197~siRNA binding,GO:0046872~metal ion binding,GO:0070883~pre-miRNA binding,	IPR000999:RNase_III_dom,IPR001650:Helicase_C-like,IPR003100:PAZ_dom,IPR005034:Dicer_dimerisation_dom,IPR006935:Helicase/UvrB_N,IPR014001:Helicase_ATP-bd,IPR014720:dsRBD_dom,IPR027417:P-loop_NTPase,IPR036085:PAZ_dom_sf,IPR036389:RNase_III_sf,IPR038248:Dicer_dimer_sf,IPR044441:DICER_DSRM,IPR048512:Dicer_platform,IPR048513:Dicer_PBD,	cge05206:MicroRNAs in cancer,			SM00358:DSRM,SM00487:DEXDc,SM00490:HELICc,SM00535:RIBOc,SM00949:PAZ,	KW-0943~RNA-mediated gene silencing,	KW-0963~Cytoplasm,		KW-0677~Repeat,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0464~Manganese,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0255~Endonuclease,KW-0347~Helicase,KW-0378~Hydrolase,KW-0540~Nuclease,KW-0694~RNA-binding,	KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,DOMAIN:DRBM,DOMAIN:Dicer dsRNA-binding fold,DOMAIN:Helicase ATP-binding,DOMAIN:Helicase C-terminal,DOMAIN:PAZ,DOMAIN:RNase III,DOMAIN:RNase III 1,DOMAIN:RNase III 2,MOTIF:DECH box,REGION:Disordered,REGION:Required for interaction with PRKRA and TARBP2,SITE:Important for activity,
Q9QZU7	gamma-butyrobetaine hydroxylase 1(Bbox1)	Rattus norvegicus		GO:0045329~carnitine biosynthetic process,	GO:0005739~mitochondrion,GO:0005829~cytosol,	GO:0005506~iron ion binding,GO:0008270~zinc ion binding,GO:0008336~gamma-butyrobetaine dioxygenase activity,GO:0016706~2-oxoglutarate-dependent dioxygenase activity,GO:0042802~identical protein binding,	IPR003819:TauD/TfdA-like,IPR010376:GBBH-like_N,IPR012775:GBBH-like,IPR038492:GBBH-like_N_sf,IPR042098:TauD-like_sf,IPR050411:AlphaKG_dependent_hydroxylases,	rno00310:Lysine degradation,rno01100:Metabolic pathways,				KW-0124~Carnitine biosynthesis,	KW-0963~Cytoplasm,			KW-0408~Iron,KW-0479~Metal-binding,KW-0862~Zinc,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,	KW-0597~Phosphoprotein,	DOMAIN:Gamma-butyrobetaine hydroxylase-like N-terminal,DOMAIN:TauD/TfdA-like,
P22304	iduronate 2-sulfatase(IDS)	Homo sapiens	Inorganic ion transport and metabolism,	GO:0006027~glycosaminoglycan catabolic process,GO:0030200~heparan sulfate proteoglycan catabolic process,GO:0030209~dermatan sulfate catabolic process,	GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0043202~lysosomal lumen,	GO:0004423~iduronate-2-sulfatase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0016787~hydrolase activity,	IPR000917:Sulfatase_N,IPR017850:Alkaline_phosphatase_core_sf,IPR024607:Sulfatase_CS,IPR035874:IDS,	hsa00531:Glycosaminoglycan degradation,hsa01100:Metabolic pathways,hsa04142:Lysosome,	309900~Mucopolysaccharidosis II,				KW-0458~Lysosome,	KW-0225~Disease variant,KW-0510~Mucopolysaccharidosis,	KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	ACT_SITE:Nucleophile,BINDING:via 3-oxoalanine,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Sulfatase N-terminal,REGION:Disordered,
Q9UEW3	macrophage receptor with collagenous structure(MARCO)	Homo sapiens		GO:0001934~positive regulation of protein phosphorylation,GO:0006898~receptor-mediated endocytosis,GO:0006911~phagocytosis, engulfment,GO:0007166~cell surface receptor signaling pathway,GO:0007193~adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0043277~apoptotic cell clearance,GO:0045087~innate immune response,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0097242~amyloid-beta clearance,	GO:0005581~collagen trimer,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030666~endocytic vesicle membrane,GO:0062023~collagen-containing extracellular matrix,	GO:0001540~amyloid-beta binding,GO:0001664~G protein-coupled receptor binding,GO:0004888~transmembrane signaling receptor activity,GO:0038024~cargo receptor activity,GO:0038187~pattern recognition receptor activity,	IPR001190:SRCR,IPR008160:Collagen,IPR017448:SRCR-like_dom,IPR036772:SRCR-like_dom_sf,IPR050149:Collagen_superfamily,	hsa04145:Phagosome,			SM00202:SR,	KW-0391~Immunity,KW-0399~Innate immunity,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0176~Collagen,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0675~Receptor,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Collagen-like,DOMAIN:SRCR,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
