ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q9W1H4	DNA ligase 1(DNAlig1)	Drosophila melanogaster			GO:0006266~DNA ligation,GO:0006273~lagging strand elongation,GO:0006281~DNA repair,GO:0006310~DNA recombination,GO:0051301~cell division,GO:0071897~DNA biosynthetic process,GO:1903461~Okazaki fragment processing involved in mitotic DNA replication,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,	GO:0003677~DNA binding,GO:0003910~DNA ligase (ATP) activity,GO:0005524~ATP binding,	IPR000977:DNA_ligase_ATP-dep,IPR012308:DNA_ligase_ATP-dep_N,IPR012309:DNA_ligase_ATP-dep_C,IPR012310:DNA_ligase_ATP-dep_cent,IPR012340:NA-bd_OB-fold,IPR016059:DNA_ligase_ATP-dep_CS,IPR036599:DNA_ligase_N_sf,IPR050191:ATP-dep_DNA_ligase,					KW-0131~Cell cycle,KW-0132~Cell division,KW-0227~DNA damage,KW-0233~DNA recombination,KW-0234~DNA repair,KW-0235~DNA replication,	KW-0539~Nucleus,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0436~Ligase,	KW-0597~Phosphoprotein,	ACT_SITE:N6-AMP-lysine intermediate,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
Q9NPF5	DNA methyltransferase 1 associated protein 1(DMAP1)	Homo sapiens			GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006281~DNA repair,GO:0006338~chromatin remodeling,GO:0006355~regulation of DNA-templated transcription,GO:0042307~positive regulation of protein import into nucleus,GO:0042981~regulation of apoptotic process,GO:0045471~response to ethanol,GO:0045892~negative regulation of DNA-templated transcription,GO:0045893~positive regulation of DNA-templated transcription,GO:0051726~regulation of cell cycle,GO:1905168~positive regulation of double-strand break repair via homologous recombination,GO:2000779~regulation of double-strand break repair,	GO:0000786~nucleosome,GO:0000812~Swr1 complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005657~replication fork,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0035267~NuA4 histone acetyltransferase complex,	GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0061629~RNA polymerase II-specific DNA-binding transcription factor binding,	IPR008468:DMAP1,IPR027109:Swc4/Dmap1,IPR032563:DAMP1_SANT-like,	hsa03082:ATP-dependent chromatin remodeling,				KW-0341~Growth regulation,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0175~Coiled coil,		KW-0010~Activator,KW-0156~Chromatin regulator,KW-0678~Repressor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:DAMP1 SANT/Myb-like,DOMAIN:DNA methyltransferase 1-associated 1,DOMAIN:SANT,REGION:Disordered,
Q9CYL5	GLI pathogenesis-related 2(Glipr2)	Mus musculus			GO:0010634~positive regulation of epithelial cell migration,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0070374~positive regulation of ERK1 and ERK2 cascade,	GO:0000139~Golgi membrane,GO:0005576~extracellular region,GO:0005615~extracellular space,	GO:0042803~protein homodimerization activity,	IPR001283:CRISP-related,IPR002413:V5_allergen-like,IPR014044:CAP_dom,IPR018244:Allrgn_V5/Tpx1_CS,IPR034113:SCP_GAPR1-like,IPR035940:CAP_sf,				SM00198:SCP,		KW-0333~Golgi apparatus,KW-0472~Membrane,		KW-0175~Coiled coil,			KW-0449~Lipoprotein,KW-0519~Myristate,	DOMAIN:SCP,LIPID:N-myristoyl glycine,REGION:Interaction with CAV1,
P51688	N-sulfoglucosamine sulfohydrolase(SGSH)	Homo sapiens		Inorganic ion transport and metabolism,	GO:0006027~glycosaminoglycan catabolic process,GO:0008340~determination of adult lifespan,GO:0030200~heparan sulfate proteoglycan catabolic process,GO:0061744~motor behavior,	GO:0005764~lysosome,GO:0043202~lysosomal lumen,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0008484~sulfuric ester hydrolase activity,GO:0016250~N-sulfoglucosamine sulfohydrolase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,	IPR000917:Sulfatase_N,IPR017850:Alkaline_phosphatase_core_sf,IPR024607:Sulfatase_CS,IPR032506:SGSH_C,IPR050738:Sulfatase,IPR052701:GAG_Ulvan_Degrading_Sulfatases,	hsa00531:Glycosaminoglycan degradation,hsa01100:Metabolic pathways,hsa04142:Lysosome,	252900~Mucopolysaccharidosis type IIIA (Sanfilippo A),				KW-0458~Lysosome,	KW-0225~Disease variant,KW-0510~Mucopolysaccharidosis,	KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	ACT_SITE:Nucleophile,BINDING:via 3-oxoalanine,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:N-sulphoglucosamine sulphohydrolase C-terminal,DOMAIN:Sulfatase N-terminal,REGION:Disordered,
Q6AYK1	RNA binding protein with serine rich domain 1(Rnps1)	Rattus norvegicus			GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008150~biological_process,GO:0008380~RNA splicing,GO:0043065~positive regulation of apoptotic process,GO:0048025~negative regulation of mRNA splicing, via spliceosome,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016607~nuclear speck,GO:0061574~ASAP complex,	GO:0003723~RNA binding,GO:0003730~mRNA 3'-UTR binding,	IPR000504:RRM_dom,IPR012677:Nucleotide-bd_a/b_plait_sf,IPR034201:RNPS1_RRM,IPR035979:RBD_domain_sf,	rno03013:Nucleocytoplasmic transport,rno03015:mRNA surveillance pathway,			SM00360:RRM,	KW-0507~mRNA processing,KW-0508~mRNA splicing,KW-0866~Nonsense-mediated mRNA decay,	KW-0539~Nucleus,KW-0963~Cytoplasm,				KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:RRM,REGION:Disordered,REGION:Interaction with SAP18 and ACIN1,REGION:Necessary for interaction with PNN and exon-skipping,REGION:Necessary for interaction with SRP54, nuclear localization and exon-skipping,REGION:Necessary for interaction with TRA2B, nuclear localization and exon-skipping,REGION:Necessary for interaction with the cleaved p110 isoform of CDC2L1,REGION:Necessary for interactions with UPF2 and UPF3B and UPF2-dependent NMD,
Q60803	TNF receptor-associated factor 3(Traf3)	Mus musculus	m_cd40Pathway:CD40L Signaling Pathway,m_tall1Pathway:TACI and BCMA stimulation of B cell immune responses.,m_tnfr2Pathway:TNFR2 Signaling Pathway,	Cell division and chromosome partitioning,	GO:0001817~regulation of cytokine production,GO:0002224~toll-like receptor signaling pathway,GO:0006915~apoptotic process,GO:0007166~cell surface receptor signaling pathway,GO:0008063~Toll signaling pathway,GO:0030162~regulation of proteolysis,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032481~positive regulation of type I interferon production,GO:0032648~regulation of interferon-beta production,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0034142~toll-like receptor 4 signaling pathway,GO:0042981~regulation of apoptotic process,GO:0043122~regulation of canonical NF-kappaB signal transduction,GO:0045087~innate immune response,GO:0050688~regulation of defense response to virus,GO:0070534~protein K63-linked ubiquitination,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005768~endosome,GO:0009898~cytoplasmic side of plasma membrane,GO:0010008~endosome membrane,GO:0035631~CD40 receptor complex,GO:0098802~plasma membrane signaling receptor complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005164~tumor necrosis factor receptor binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019901~protein kinase binding,GO:0019903~protein phosphatase binding,GO:0031625~ubiquitin protein ligase binding,GO:0031996~thioesterase binding,GO:0035591~signaling adaptor activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR001293:Znf_TRAF,IPR001841:Znf_RING,IPR002083:MATH/TRAF_dom,IPR008974:TRAF-like,IPR012227:TNF_rcpt-assoc_TRAF_met,IPR013083:Znf_RING/FYVE/PHD,IPR017907:Znf_RING_CS,IPR027128:TRAF3_RING-HC,IPR037304:TRAF3_MATH,IPR049342:TRAF1-6_MATH_dom,IPR049440:TRAF3/5_RING,	mmu04064:NF-kappa B signaling pathway,mmu04620:Toll-like receptor signaling pathway,mmu04621:NOD-like receptor signaling pathway,mmu04622:RIG-I-like receptor signaling pathway,mmu04657:IL-17 signaling pathway,mmu04668:TNF signaling pathway,mmu04936:Alcoholic liver disease,mmu05160:Hepatitis C,mmu05161:Hepatitis B,mmu05162:Measles,mmu05164:Influenza A,mmu05165:Human papillomavirus infection,mmu05167:Kaposi sarcoma-associated herpesvirus infection,mmu05168:Herpes simplex virus 1 infection,mmu05169:Epstein-Barr virus infection,mmu05171:Coronavirus disease - COVID-19,mmu05200:Pathways in cancer,mmu05203:Viral carcinogenesis,mmu05222:Small cell lung cancer,mmu05417:Lipid and atherosclerosis,		PIRSF015614:TRAF,	SM00061:MATH,	KW-0053~Apoptosis,KW-0391~Immunity,KW-0833~Ubl conjugation pathway,	KW-0496~Mitochondrion,KW-0963~Cytoplasm,KW-0967~Endosome,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0808~Transferase,	KW-0832~Ubl conjugation,KW-0882~Thioester bond,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl cysteine thioester (Cys-Gly) (interchain with G-Cter in ubiquitin),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:MATH,DOMAIN:RING-type,DOMAIN:TRAF-type,MUTAGEN:C->A: Abolishes inhibition of NFKB2 processing; when associated with A-52.,MUTAGEN:C->A: Abolishes inhibition of NFKB2 processing; when associated with A-55.,MUTAGEN:C->A: Strongly reduces 'Lys-63'-linked ubiquitination; when associated with A-69. Abolishes inhibition of NFKB2 processing; when associated with A-69.,MUTAGEN:F->Y: Loss of interaction with MAVS.,MUTAGEN:H->A: Strongly reduces 'Lys-63'-linked ubiquitination; when associated with A-69. Abolishes inhibition of NFKB2 processing; when associated with A-67.,MUTAGEN:K->R: Abolished ubiquitination by the SCF(FBXL2) complex.,MUTAGEN:K->R: Reduces 'Lys-48'-linked polyubiquitination; when associated with R-106.,MUTAGEN:K->R: Reduces 'Lys-48'-linked polyubiquitination; when associated with R-155.,MUTAGEN:W->A: Decreased interaction with FBXL2.,MUTAGEN:Y->F: Loss of interaction with MAVS.,REGION:Disordered,ZN_FING:RING-type,ZN_FING:TRAF-type,ZN_FING:TRAF-type 1,ZN_FING:TRAF-type 2,
Q4R333	actin like 6A(ACTL6A)	Macaca fascicularis			GO:0000723~telomere maintenance,GO:0001825~blastocyst formation,GO:0003407~neural retina development,GO:0006275~regulation of DNA replication,GO:0006281~DNA repair,GO:0006310~DNA recombination,GO:0006325~chromatin organization,GO:0006338~chromatin remodeling,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007399~nervous system development,GO:0045893~positive regulation of DNA-templated transcription,GO:0045995~regulation of embryonic development,GO:0051726~regulation of cell cycle,GO:0060382~regulation of DNA strand elongation,GO:1904507~positive regulation of telomere maintenance in response to DNA damage,GO:1905168~positive regulation of double-strand break repair via homologous recombination,	GO:0000786~nucleosome,GO:0005654~nucleoplasm,GO:0005886~plasma membrane,GO:0016514~SWI/SNF complex,GO:0031011~Ino80 complex,GO:0035267~NuA4 histone acetyltransferase complex,GO:0071564~npBAF complex,	GO:0003682~chromatin binding,	IPR004000:Actin,IPR004001:Actin_CS,IPR043129:ATPase_NBD,	mcf03082:ATP-dependent chromatin remodeling,mcf04714:Thermogenesis,mcf05225:Hepatocellular carcinoma,			SM00268:ACTIN,	KW-0227~DNA damage,KW-0233~DNA recombination,KW-0234~DNA repair,KW-0341~Growth regulation,KW-0524~Neurogenesis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0010~Activator,KW-0156~Chromatin regulator,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),REGION:Disordered,
P28039	acyloxyacyl hydrolase(AOAH)	Homo sapiens			GO:0006631~fatty acid metabolic process,GO:0009104~lipopolysaccharide catabolic process,GO:0050728~negative regulation of inflammatory response,	GO:0005576~extracellular region,GO:0031410~cytoplasmic vesicle,	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0050528~acyloxyacyl hydrolase activity,	IPR001087:GDSL,IPR008139:SaposinB_dom,IPR011001:Saposin-like,IPR036514:SGNH_hydro_sf,IPR039676:AOAH,IPR048593:AOAH_Saposin_N,				SM00741:SapB,	KW-0443~Lipid metabolism,	KW-0964~Secreted,KW-0968~Cytoplasmic vesicle,		KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Interchain (between small and large subunit),DOMAIN:Saposin B-type,MUTAGEN:G->M: Loss of enzyme activity with lipopolysaccharide, due to steric hindrance. No effect on activity with small, synthetic substrate.,MUTAGEN:K->E: No effect on enzyme activity.,MUTAGEN:K->E: No effect on enzyme activity; when associated with E-345.,MUTAGEN:P->M: Loss of enzyme activity with lipopolysaccharide, due to steric hindrance. No effect on activity with small, synthetic substrate.,MUTAGEN:R->E: No effect on enzyme activity; when associated with E-379.,MUTAGEN:S->A: Loss of enzyme activity.,MUTAGEN:S->L: Nearly abolishes catalytic activity.,MUTAGEN:T->A: Loss of glycosylation. No effect on enzyme activity or localization to cytoplasmic vesicles.,REGION:Disordered,REGION:Important for enzyme activity, localization to cytoplasmic vesicles, and protein stability,REGION:Lipopolysaccharide binding,SITE:Interacts with lipopolysaccharide,
Q5REI7	adenylate kinase 2(AK2)	Pongo abelii			GO:0006172~ADP biosynthetic process,GO:0046033~AMP metabolic process,GO:0046034~ATP metabolic process,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005758~mitochondrial intermembrane space,GO:0097226~sperm mitochondrial sheath,	GO:0004017~adenylate kinase activity,GO:0004550~nucleoside diphosphate kinase activity,GO:0005524~ATP binding,	IPR000850:Adenylat/UMP-CMP_kin,IPR006259:Adenyl_kin_sub,IPR007862:Adenylate_kinase_lid-dom,IPR027417:P-loop_NTPase,IPR028587:AK2,IPR033690:Adenylat_kinase_CS,	pon00230:Purine metabolism,pon00730:Thiamine metabolism,pon01100:Metabolic pathways,pon01232:Nucleotide metabolism,pon01240:Biosynthesis of cofactors,					KW-0496~Mitochondrion,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	DOMAIN:Adenylate kinase active site lid,REGION:Disordered,REGION:LID,REGION:NMP,REGION:NMPbind,
Q5F3X4	elongation factor Tu GTP binding domain containing 2(EFTUD2)	Gallus gallus		Translation, ribosomal structure and biogenesis,	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005681~spliceosomal complex,GO:0005829~cytosol,GO:0046540~U4/U6 x U5 tri-snRNP complex,GO:0071005~U2-type precatalytic spliceosome,GO:0071007~U2-type catalytic step 2 spliceosome,	GO:0003746~translation elongation factor activity,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0030623~U5 snRNA binding,	IPR000640:EFG_V-like,IPR000795:T_Tr_GTP-bd_dom,IPR004161:EFTu-like_2,IPR005225:Small_GTP-bd_dom,IPR005517:Transl_elong_EFG/EF2_IV,IPR009000:Transl_B-barrel_sf,IPR014721:Ribsml_uS5_D2-typ_fold_subgr,IPR020568:Ribosomal_Su5_D2-typ_SF,IPR027417:P-loop_NTPase,IPR031950:EFTUD2_N,IPR035647:EFG_III/V,IPR035655:U5-116kDa_C,IPR041095:EFG_II,IPR044121:Snu114_GTP-bd,	gga03040:Spliceosome,			SM00838:EFG_C,SM00889:EFG_IV,	KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,KW-0747~Spliceosome,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,			COMPBIAS:Acidic residues,DOMAIN:Elongation factor EFG,DOMAIN:Tr-type G,DOMAIN:Translation elongation factor EFG/EF2,DOMAIN:tr-type G,REGION:Disordered,
