ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
B8UU78	EGF and laminin G domain-containing protein(LOC114949373)	Acropora millepora				GO:0016020~membrane,		IPR000152:EGF-type_Asp/Asn_hydroxyl_site,IPR000742:EGF-like_dom,IPR001791:Laminin_G,IPR003585:Neurexin-like,IPR013320:ConA-like_dom_sf,IPR050372:Neurexin-related_CASP,			SM00181:EGF,SM00282:LamG,SM00294:4.1m,		KW-0472~Membrane,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-1015~Disulfide bond,	COMPBIAS:Basic and acidic residues,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:Laminin G-like 1,DOMAIN:Laminin G-like 2,DOMAIN:Laminin G-like 3,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
B8UU78	EGF and laminin G domain-containing protein-like(LOC114949374)	Acropora millepora				GO:0016020~membrane,		IPR000152:EGF-type_Asp/Asn_hydroxyl_site,IPR000742:EGF-like_dom,IPR001791:Laminin_G,IPR003585:Neurexin-like,IPR013320:ConA-like_dom_sf,IPR050372:Neurexin-related_CASP,			SM00181:EGF,SM00282:LamG,SM00294:4.1m,		KW-0472~Membrane,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-1015~Disulfide bond,	COMPBIAS:Basic and acidic residues,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:Laminin G-like 1,DOMAIN:Laminin G-like 2,DOMAIN:Laminin G-like 3,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
B8UU78	EGF and laminin G domain-containing protein-like(LOC114970779)	Acropora millepora				GO:0016020~membrane,		IPR000152:EGF-type_Asp/Asn_hydroxyl_site,IPR000742:EGF-like_dom,IPR001791:Laminin_G,IPR003585:Neurexin-like,IPR013320:ConA-like_dom_sf,IPR050372:Neurexin-related_CASP,			SM00181:EGF,SM00282:LamG,SM00294:4.1m,		KW-0472~Membrane,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-1015~Disulfide bond,	COMPBIAS:Basic and acidic residues,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:Laminin G-like 1,DOMAIN:Laminin G-like 2,DOMAIN:Laminin G-like 3,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q8TDW7	FAT atypical cadherin 3(FAT3)	Homo sapiens			GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0010842~retina layer formation,GO:0016358~dendrite development,GO:0048667~cell morphogenesis involved in neuron differentiation,GO:0098609~cell-cell adhesion,GO:1904936~interneuron migration,GO:2000171~negative regulation of dendrite development,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030425~dendrite,	GO:0005509~calcium ion binding,	IPR000152:EGF-type_Asp/Asn_hydroxyl_site,IPR000742:EGF-like_dom,IPR001791:Laminin_G,IPR001881:EGF-like_Ca-bd_dom,IPR002126:Cadherin-like_dom,IPR013032:EGF-like_CS,IPR013320:ConA-like_dom_sf,IPR015919:Cadherin-like_sf,IPR018097:EGF_Ca-bd_CS,IPR020894:Cadherin_CS,IPR039808:Cadherin,IPR050906:Notch_signaling,			SM00112:CA,SM00179:EGF_CA,SM00181:EGF,SM00282:LamG,	KW-0130~Cell adhesion,	KW-0472~Membrane,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,	KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0488~Methylation,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Cadherin,DOMAIN:Cadherin 1,DOMAIN:Cadherin 10,DOMAIN:Cadherin 11,DOMAIN:Cadherin 12,DOMAIN:Cadherin 13,DOMAIN:Cadherin 14,DOMAIN:Cadherin 15,DOMAIN:Cadherin 16,DOMAIN:Cadherin 17,DOMAIN:Cadherin 18,DOMAIN:Cadherin 19,DOMAIN:Cadherin 2,DOMAIN:Cadherin 20,DOMAIN:Cadherin 21,DOMAIN:Cadherin 22,DOMAIN:Cadherin 23,DOMAIN:Cadherin 24,DOMAIN:Cadherin 25,DOMAIN:Cadherin 26,DOMAIN:Cadherin 27,DOMAIN:Cadherin 28,DOMAIN:Cadherin 29,DOMAIN:Cadherin 3,DOMAIN:Cadherin 30,DOMAIN:Cadherin 31,DOMAIN:Cadherin 32,DOMAIN:Cadherin 33,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,DOMAIN:Cadherin 7,DOMAIN:Cadherin 8,DOMAIN:Cadherin 9,DOMAIN:EGF-like,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:EGF-like 3,DOMAIN:EGF-like 4; calcium-binding,DOMAIN:Laminin G,DOMAIN:Laminin G-like,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q658G7	LRR receptor-like serine/threonine-protein kinase SIK1(LOC4340000)	Oryza sativa Japonica Group		Function unknown,	GO:0006468~protein phosphorylation,GO:0009553~embryo sac development,GO:0010103~stomatal complex morphogenesis,GO:0048481~plant ovule development,GO:1901002~positive regulation of response to salt stress,GO:1902584~positive regulation of response to water deprivation,GO:2000038~regulation of stomatal complex development,	GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004675~transmembrane receptor protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0033612~receptor serine/threonine kinase binding,GO:0106310~protein serine kinase activity,	IPR000719:Prot_kinase_dom,IPR001611:Leu-rich_rpt,IPR003591:Leu-rich_rpt_typical-subtyp,IPR008271:Ser/Thr_kinase_AS,IPR011009:Kinase-like_dom_sf,IPR013210:LRR_N_plant-typ,IPR017441:Protein_kinase_ATP_BS,IPR032675:LRR_dom_sf,IPR050647:Plant_LRR-RLKs,IPR051420:Ser_Thr_Kinases_DiverseReg,	osa04016:MAPK signaling pathway - plant,		SM00220:S_TKc,SM00369:LRR_TYP,	KW-0346~Stress response,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0675~Receptor,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,	KW-0325~Glycoprotein,	ACT_SITE:Proton acceptor,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Protein kinase,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 17,REPEAT:LRR 18,REPEAT:LRR 19,REPEAT:LRR 2,REPEAT:LRR 20,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q7RTR2	NLR family CARD domain containing 3(NLRC3)	Homo sapiens			GO:0007249~canonical NF-kappaB signal transduction,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,			SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:NACHT,MOTIF:TRAF6-binding,MUTAGEN:SLQE->AAAA: Strong decrease of TRAF6-binding.,MUTAGEN:SVEE->AAAA: Almost no effect on TRAF6-binding.,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
Q5DU56	NLR family, CARD domain containing 3(Nlrc3)	Mus musculus		Signal transduction mechanisms,	GO:0007249~canonical NF-kappaB signal transduction,GO:0010646~regulation of cell communication,GO:0023051~regulation of signaling,GO:0031396~regulation of protein ubiquitination,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032496~response to lipopolysaccharide,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032691~negative regulation of interleukin-1 beta production,GO:0032695~negative regulation of interleukin-12 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045088~regulation of innate immune response,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,GO:0140678~molecular function inhibitor activity,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,			SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			COMPBIAS:Polar residues,DOMAIN:NACHT,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
P21328	RNA-directed DNA polymerase from mobile element jockey(pol)	Drosophila melanogaster			GO:0006313~DNA transposition,GO:0006508~proteolysis,GO:0015074~DNA integration,	GO:0005634~nucleus,GO:0042575~DNA polymerase complex,	GO:0003676~nucleic acid binding,GO:0003964~RNA-directed DNA polymerase activity,GO:0004190~aspartic-type endopeptidase activity,GO:0004519~endonuclease activity,GO:0008233~peptidase activity,GO:0046872~metal ion binding,	IPR000477:RT_dom,IPR001584:Integrase_cat-core,IPR001969:Aspartic_peptidase_AS,IPR005135:Endo/exonuclease/phosphatase,IPR012337:RNaseH-like_sf,IPR013087:Znf_C2H2_type,IPR021109:Peptidase_aspartic_dom_sf,IPR036397:RNaseH_sf,IPR036691:Endo/exonu/phosph_ase_sf,IPR041373:RT_RNaseH,IPR041588:Integrase_H2C2,IPR043128:Rev_trsase/Diguanyl_cyclase,IPR043502:DNA/RNA_pol_sf,IPR050951:Retrovirus_Pol_polyprotein,IPR052560:RdDP_mobile_element,			SM00355:ZnF_C2H2,				KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0064~Aspartyl protease,KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0540~Nuclease,KW-0548~Nucleotidyltransferase,KW-0645~Protease,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		ACT_SITE:For protease activity,DOMAIN:Integrase catalytic,DOMAIN:Reverse transcriptase,REGION:Disordered,ZN_FING:C2H2-type,
Q7TNY1	TNF alpha induced protein 1(Tnfaip1)	Rattus norvegicus			GO:0006955~immune response,GO:0016477~cell migration,GO:0016567~protein ubiquitination,GO:0035024~negative regulation of Rho protein signal transduction,GO:0043149~stress fiber assembly,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0045740~positive regulation of DNA replication,GO:0051260~protein homooligomerization,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005768~endosome,GO:0031463~Cul3-RING ubiquitin ligase complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0030332~cyclin binding,GO:0031267~small GTPase binding,GO:0042802~identical protein binding,	IPR000210:BTB/POZ_dom,IPR003131:T1-type_BTB,IPR008625:GAGE_fam,IPR011333:SKP1/BTB/POZ_sf,IPR031320:GAGE,IPR045068:BACURD1-3,			SM00225:BTB,SM01379:GAGE,	KW-0833~Ubl conjugation pathway,	KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0967~Endosome,					KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:BTB,DOMAIN:GAGE,REGION:Disordered,
P36514	UDP-glucuronosyltransferase(UGT2C1)	Oryctolagus cuniculus			GO:0006629~lipid metabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0008194~UDP-glycosyltransferase activity,GO:0015020~glucuronosyltransferase activity,	IPR002213:UDP_glucos_trans,IPR035595:UDP_glycos_trans_CS,IPR050271:UDP-glycosyltransferase,	ocu00040:Pentose and glucuronate interconversions,ocu00053:Ascorbate and aldarate metabolism,ocu00140:Steroid hormone biosynthesis,ocu00830:Retinol metabolism,ocu00860:Porphyrin metabolism,ocu00980:Metabolism of xenobiotics by cytochrome P450,ocu00982:Drug metabolism - cytochrome P450,ocu00983:Drug metabolism - other enzymes,ocu01100:Metabolic pathways,ocu01240:Biosynthesis of cofactors,ocu04976:Bile secretion,ocu05204:Chemical carcinogenesis - DNA adducts,ocu05207:Chemical carcinogenesis - receptor activation,			KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0328~Glycosyltransferase,KW-0808~Transferase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,TRANSMEM:Helical,
