ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
P41932	14-3-3 domain-containing protein;14-3-3-like protein 1(par-5)	Caenorhabditis elegans			GO:0000132~establishment of mitotic spindle orientation,GO:0001708~cell fate specification,GO:0006611~protein export from nucleus,GO:0007165~signal transduction,GO:0007346~regulation of mitotic cell cycle,GO:0008104~protein localization,GO:0008340~determination of adult lifespan,GO:0009792~embryo development ending in birth or egg hatching,GO:0009949~polarity specification of anterior/posterior axis,GO:0010070~zygote asymmetric cell division,GO:0010286~heat acclimation,GO:0010468~regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0022414~reproductive process,GO:0030590~first cell cycle pseudocleavage,GO:0035046~pronuclear migration,GO:0045167~asymmetric protein localization involved in cell fate determination,GO:0051220~cytoplasmic sequestering of protein,GO:0051321~meiotic cell cycle,GO:0051457~maintenance of protein location in nucleus,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005938~cell cortex,	GO:0005515~protein binding,	IPR000308:14-3-3,IPR023409:14-3-3_CS,IPR023410:14-3-3_domain,IPR036815:14-3-3_dom_sf,	cel04212:Longevity regulating pathway - worm,		PIRSF000868:14-3-3,	SM00101:14_3_3,		KW-0539~Nucleus,KW-0963~Cytoplasm,						DOMAIN:14-3-3,
A7S3J7	40S ribosomal protein S3a(LOC5513560)	Nematostella vectensis			GO:0006412~translation,	GO:0005829~cytosol,GO:0005840~ribosome,GO:0022627~cytosolic small ribosomal subunit,	GO:0003735~structural constituent of ribosome,	IPR001593:Ribosomal_eS1,IPR018281:Ribosomal_eS1_CS,IPR027500:Ribosomal_eS1_euk,	nve03010:Ribosome,			SM01397:Ribosomal_S3Ae,		KW-0963~Cytoplasm,				KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		COMPBIAS:Basic and acidic residues,REGION:Disordered,
B2RX12	ATP-binding cassette, sub-family C member 3(Abcc3)	Mus musculus	m_mrpPathway:Multi-Drug Resistance Factors,m_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,		GO:0006855~xenobiotic transmembrane transport,GO:0015721~bile acid and bile salt transport,GO:0015722~canalicular bile acid transport,GO:0015779~glucuronoside transport,GO:0042908~xenobiotic transport,GO:0055085~transmembrane transport,GO:0071716~leukotriene transport,GO:0098656~monoatomic anion transmembrane transport,	GO:0005886~plasma membrane,GO:0009925~basal plasma membrane,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,	GO:0005524~ATP binding,GO:0008559~ABC-type xenobiotic transporter activity,GO:0015164~glucuronoside transmembrane transporter activity,GO:0015431~ABC-type glutathione S-conjugate transporter activity,GO:0015432~ABC-type bile acid transporter activity,GO:0016887~ATP hydrolysis activity,GO:0042626~ATPase-coupled transmembrane transporter activity,GO:0042910~xenobiotic transmembrane transporter activity,GO:0071714~icosanoid transmembrane transporter activity,	IPR003439:ABC_transporter-like_ATP-bd,IPR003593:AAA+_ATPase,IPR005292:MRP,IPR011527:ABC1_TM_dom,IPR017871:ABC_transporter-like_CS,IPR027417:P-loop_NTPase,IPR036640:ABC1_TM_sf,IPR050173:ABC_transporter_C,	mmu01523:Antifolate resistance,mmu02010:ABC transporters,mmu04976:Bile secretion,mmu04981:Folate transport and metabolism,			SM00382:AAA,	KW-0445~Lipid transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transmembrane type-1 1,DOMAIN:ABC transmembrane type-1 2,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=10,TRANSMEM:Helical; Name=11,TRANSMEM:Helical; Name=12,TRANSMEM:Helical; Name=13,TRANSMEM:Helical; Name=14,TRANSMEM:Helical; Name=15,TRANSMEM:Helical; Name=16,TRANSMEM:Helical; Name=17,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,TRANSMEM:Helical; Name=8,TRANSMEM:Helical; Name=9,
E9Q236	ATP-binding cassette, sub-family C member 4(Abcc4)	Mus musculus		Defense mechanisms,	GO:0006855~xenobiotic transmembrane transport,GO:0015721~bile acid and bile salt transport,GO:0015732~prostaglandin transport,GO:0015747~urate transport,GO:0015850~organic hydroxy compound transport,GO:0032310~prostaglandin secretion,GO:0034775~glutathione transmembrane transport,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0055085~transmembrane transport,GO:0060271~cilium assembly,GO:0070730~cAMP transport,GO:0071716~leukotriene transport,GO:0140115~export across plasma membrane,GO:1901571~fatty acid derivative transport,GO:1903790~guanine nucleotide transmembrane transport,	GO:0005730~nucleolus,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0031088~platelet dense granule membrane,GO:0098591~external side of apical plasma membrane,	GO:0001409~guanine nucleotide transmembrane transporter activity,GO:0005524~ATP binding,GO:0008559~ABC-type xenobiotic transporter activity,GO:0015132~prostaglandin transmembrane transporter activity,GO:0015143~urate transmembrane transporter activity,GO:0015216~purine nucleotide transmembrane transporter activity,GO:0015431~ABC-type glutathione S-conjugate transporter activity,GO:0015432~ABC-type bile acid transporter activity,GO:0015562~efflux transmembrane transporter activity,GO:0015665~alcohol transmembrane transporter activity,GO:0016887~ATP hydrolysis activity,GO:0034634~glutathione transmembrane transporter activity,GO:0042626~ATPase-coupled transmembrane transporter activity,GO:0042910~xenobiotic transmembrane transporter activity,GO:0140359~ABC-type transporter activity,	IPR003439:ABC_transporter-like_ATP-bd,IPR003593:AAA+_ATPase,IPR011527:ABC1_TM_dom,IPR017871:ABC_transporter-like_CS,IPR027417:P-loop_NTPase,IPR030240:ABCC4_TMD1,IPR036640:ABC1_TM_sf,IPR047083:ABCC4_TMD2,IPR050173:ABC_transporter_C,	mmu01523:Antifolate resistance,mmu02010:ABC transporters,mmu04024:cAMP signaling pathway,mmu04976:Bile secretion,mmu04981:Folate transport and metabolism,			SM00382:AAA,	KW-0445~Lipid transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,	KW-0597~Phosphoprotein,	DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transmembrane type-1 1,DOMAIN:ABC transmembrane type-1 2,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,MOTIF:PDZ-binding,REGION:Disordered,TRANSMEM:Helical,
Q8CDM1	ATPase family, AAA domain containing 2(Atad2)	Mus musculus			GO:0006334~nucleosome assembly,GO:0006337~nucleosome disassembly,GO:0006338~chromatin remodeling,GO:0045815~transcription initiation-coupled chromatin remodeling,GO:0045893~positive regulation of DNA-templated transcription,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0140588~chromatin looping,	GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0003682~chromatin binding,GO:0003689~DNA clamp loader activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATP hydrolysis activity,GO:0042393~histone binding,GO:0061775~cohesin loader activity,GO:0140584~chromatin extrusion motor activity,GO:0140665~ATP-dependent H3-H4 histone complex chaperone activity,GO:0140849~ATP-dependent H2AZ histone chaperone activity,	IPR001487:Bromodomain,IPR003593:AAA+_ATPase,IPR003959:ATPase_AAA_core,IPR003960:ATPase_AAA_CS,IPR027417:P-loop_NTPase,IPR036427:Bromodomain-like_sf,IPR041569:AAA_lid_3,IPR045199:ATAD2-like,				SM00297:BROMO,SM00382:AAA,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,		KW-0103~Bromodomain,KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0010~Activator,KW-0378~Hydrolase,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:Bromo,REGION:Disordered,
Q16720	ATPase plasma membrane Ca2+ transporting 3(ATP2B3)	Homo sapiens			GO:0034220~monoatomic ion transmembrane transport,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0099509~regulation of presynaptic cytosolic calcium ion concentration,GO:1903779~regulation of cardiac conduction,GO:1990034~calcium ion export across plasma membrane,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0042734~presynaptic membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0098688~parallel fiber to Purkinje cell synapse,GO:0098978~glutamatergic synapse,GO:0098982~GABA-ergic synapse,GO:1903561~extracellular vesicle,GO:1990032~parallel fiber,	GO:0005388~P-type calcium transporter activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0015085~calcium ion transmembrane transporter activity,GO:0016887~ATP hydrolysis activity,GO:0030165~PDZ domain binding,GO:0046872~metal ion binding,GO:1905056~P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration,	IPR001757:P_typ_ATPase,IPR004014:ATPase_P-typ_cation-transptr_N,IPR006068:ATPase_P-typ_cation-transptr_C,IPR006408:P-type_ATPase_IIB,IPR008250:ATPase_P-typ_transduc_dom_A_sf,IPR018303:ATPase_P-typ_P_site,IPR022141:ATP_Ca_trans_C,IPR023214:HAD_sf,IPR023298:ATPase_P-typ_TM_dom_sf,IPR023299:ATPase_P-typ_cyto_dom_N,IPR036412:HAD-like_sf,IPR044492:P_typ_ATPase_HD_dom,	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04925:Aldosterone synthesis and secretion,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04970:Salivary secretion,hsa04972:Pancreatic secretion,hsa04978:Mineral absorption,	302500~Spinocerebellar ataxia, X-linked 1,		SM00831:Cation_ATPase_N,	KW-0109~Calcium transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0770~Synapse,KW-0966~Cell projection,KW-1003~Cell membrane,	KW-0225~Disease variant,KW-0523~Neurodegeneration,	KW-0175~Coiled coil,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0106~Calcium,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0112~Calmodulin-binding,KW-1278~Translocase,	KW-0597~Phosphoprotein,	ACT_SITE:4-aspartylphosphate intermediate,COMPBIAS:Basic and acidic residues,DOMAIN:Cation-transporting P-type ATPase N-terminal,DOMAIN:Plasma membrane calcium transporting P-type ATPase C-terminal,MUTAGEN:D->A: Impaired ATPase activity.,REGION:Calmodulin-binding subdomain A,REGION:Calmodulin-binding subdomain B,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q9I8E6	COPI coat complex subunit gamma 2(copg2)	Takifugu rubripes			GO:0006886~intracellular protein transport,GO:0006888~endoplasmic reticulum to Golgi vesicle-mediated transport,GO:0006891~intra-Golgi vesicle-mediated transport,GO:0009306~protein secretion,GO:0016192~vesicle-mediated transport,GO:0072384~organelle transport along microtubule,	GO:0000139~Golgi membrane,GO:0005783~endoplasmic reticulum,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0030126~COPI vesicle coat,	GO:0005198~structural molecule activity,	IPR002553:Clathrin/coatomer_adapt-like_N,IPR009028:Coatomer/calthrin_app_sub_C,IPR011989:ARM-like,IPR012295:TBP_dom_sf,IPR013040:Coatomer_gsu_app_Ig-like_dom,IPR013041:Clathrin_app_Ig-like_sf,IPR016024:ARM-type_fold,IPR017106:Coatomer_gsu,IPR032154:Coatomer_g_Cpla,IPR037067:Coatomer_gsu_app_sf,			PIRSF037093:Coatomer_gamma_subunit,		KW-0653~Protein transport,KW-0813~Transport,KW-0931~ER-Golgi transport,	KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0968~Cytoplasmic vesicle,		KW-0677~Repeat,				DOMAIN:Clathrin/coatomer adaptor adaptin-like N-terminal,DOMAIN:Coatomer gamma subunit appendage Ig-like subdomain,DOMAIN:Coatomer subunit gamma C-terminal,REGION:Disordered,REPEAT:HEAT 1,REPEAT:HEAT 2,REPEAT:HEAT 3,REPEAT:HEAT 4,REPEAT:HEAT 5,REPEAT:HEAT 6,
Q80TR8	DDB1 and CUL4 associated factor 1(Dcaf1)	Mus musculus			GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006338~chromatin remodeling,GO:0016567~protein ubiquitination,GO:0030183~B cell differentiation,GO:0033151~V(D)J recombination,GO:0035212~cell competition in a multicellular organism,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043687~post-translational protein modification,GO:0045732~positive regulation of protein catabolic process,	GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0008180~COP9 signalosome,GO:0080008~Cul4-RING E3 ubiquitin ligase complex,	GO:0004676~3-phosphoinositide-dependent protein kinase activity,GO:0004677~DNA-dependent protein kinase activity,GO:0004679~AMP-activated protein kinase activity,GO:0004694~eukaryotic translation initiation factor 2alpha kinase activity,GO:0004711~ribosomal protein S6 kinase activity,GO:0005524~ATP binding,GO:0030331~nuclear estrogen receptor binding,GO:0035175~histone H3S10 kinase activity,GO:0035402~histone H3T11 kinase activity,GO:0035403~histone H3T6 kinase activity,GO:0035979~histone H2AXS139 kinase activity,GO:0044022~histone H3S28 kinase activity,GO:0044023~histone H4S1 kinase activity,GO:0044024~histone H2AS1 kinase activity,GO:0044025~histone H2BS14 kinase activity,GO:0072354~histone H3T3 kinase activity,GO:0072371~histone H2AS121 kinase activity,GO:0072518~Rho-dependent protein serine/threonine kinase activity,GO:0106310~protein serine kinase activity,GO:0140823~histone H2BS36 kinase activity,GO:0140855~histone H3S57 kinase activity,GO:0140857~histone H3T45 kinase activity,GO:1990244~histone H2AT120 kinase activity,GO:1990756~ubiquitin-like ligase-substrate adaptor activity,	IPR006594:LisH,IPR011989:ARM-like,IPR015943:WD40/YVTN_repeat-like_dom_sf,IPR016024:ARM-type_fold,IPR033270:VPRBP/DCAF1,IPR036322:WD40_repeat_dom_sf,	mmu05170:Human immunodeficiency virus 1 infection,			SM00667:LisH,	KW-0804~Transcription,KW-0805~Transcription regulation,KW-0833~Ubl conjugation pathway,KW-0945~Host-virus interaction,	KW-0206~Cytoskeleton,KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,KW-0853~WD repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0156~Chromatin regulator,KW-0418~Kinase,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Pro residues,DOMAIN:Chromo,DOMAIN:LisH,MOTIF:DWD box 1,MOTIF:DWD box 2,MUTAGEN:R->A: Loss of interaction with DDB1 and strong decrease in TET2 monoubiquitination; when associated with A-1246.,MUTAGEN:R->A: Loss of interaction with DDB1 and strong decrease in TET2 monoubiquitination; when associated with A-1282.,REGION:Disordered,REGION:Interaction with NF2,REGION:Protein kinase-like,REGION:WD repeat-like region,REPEAT:WD 1,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,
P81999	DnaJ heat shock protein family (Hsp40) member B11(DNAJB11)	Canis lupus familiaris		Posttranslational modification, protein turnover, chaperones,	GO:0006457~protein folding,GO:0016556~mRNA modification,GO:0050768~negative regulation of neurogenesis,GO:0051604~protein maturation,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0101031~protein folding chaperone complex,	GO:0005102~signaling receptor binding,GO:0051082~unfolded protein binding,GO:0051787~misfolded protein binding,	IPR001623:DnaJ_domain,IPR002939:DnaJ_C,IPR008971:HSP40/DnaJ_pept-bd,IPR018253:DnaJ_domain_CS,IPR036869:J_dom_sf,IPR051736:DnaJ-B11-like,	cfa04141:Protein processing in endoplasmic reticulum,			SM00271:DnaJ,		KW-0256~Endoplasmic reticulum,		KW-0732~Signal,		KW-0143~Chaperone,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:J,
P81999	DnaJ heat shock protein family (Hsp40) member B11(DNAJB11)	Canis lupus dingo			GO:0006457~protein folding,GO:0016556~mRNA modification,GO:0050768~negative regulation of neurogenesis,GO:0051604~protein maturation,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0101031~protein folding chaperone complex,	GO:0005102~signaling receptor binding,GO:0051082~unfolded protein binding,GO:0051787~misfolded protein binding,	IPR001623:DnaJ_domain,IPR002939:DnaJ_C,IPR008971:HSP40/DnaJ_pept-bd,IPR018253:DnaJ_domain_CS,IPR036869:J_dom_sf,IPR051736:DnaJ-B11-like,	clud04141:Protein processing in endoplasmic reticulum,			SM00271:DnaJ,		KW-0256~Endoplasmic reticulum,		KW-0732~Signal,		KW-0143~Chaperone,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:J,
