ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q9CWK3	CD2 cytoplasmic tail binding protein 2(Cd2bp2)	Mus musculus		GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005682~U5 snRNP,GO:0005829~cytosol,GO:0016607~nuclear speck,	GO:0043021~ribonucleoprotein complex binding,	IPR003169:GYF,IPR035445:GYF-like_dom_sf,IPR039905:CD2BP2/Lin1,				SM00444:GYF,	KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,KW-0963~Cytoplasm,					KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:GYF,REGION:Disordered,
A7S2N8	E3 UFM1-protein ligase 1 homolog(LOC5513886)	Nematostella vectensis		GO:0032434~regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0034976~response to endoplasmic reticulum stress,GO:1990592~protein K69-linked ufmylation,	GO:0005789~endoplasmic reticulum membrane,	GO:0061666~UFM1 ligase activity,GO:0071568~UFM1 transferase activity,	IPR018611:Ufl1,					KW-0833~Ubl conjugation pathway,					KW-0808~Transferase,		COMPBIAS:Basic and acidic residues,REGION:Disordered,
Q7RTR2	NLR family CARD domain containing 3(NLRC3)	Homo sapiens		GO:0007249~canonical NF-kappaB signal transduction,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,				SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:NACHT,MOTIF:TRAF6-binding,MUTAGEN:SLQE->AAAA: Strong decrease of TRAF6-binding.,MUTAGEN:SVEE->AAAA: Almost no effect on TRAF6-binding.,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
P59046	NLR family pyrin domain containing 12(NLRP12)	Homo sapiens		GO:0001818~negative regulation of cytokine production,GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0009968~negative regulation of signal transduction,GO:0031953~negative regulation of protein autophosphorylation,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032661~regulation of interleukin-18 production,GO:0032692~negative regulation of interleukin-1 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0036336~dendritic cell migration,GO:0043122~regulation of canonical NF-kappaB signal transduction,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045345~positive regulation of MHC class I biosynthetic process,GO:0045751~negative regulation of Toll signaling pathway,GO:0050727~regulation of inflammatory response,GO:0050728~negative regulation of inflammatory response,GO:0050729~positive regulation of inflammatory response,GO:0070371~ERK1 and ERK2 cascade,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0071345~cellular response to cytokine stimulus,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,GO:1901224~positive regulation of non-canonical NF-kappaB signal transduction,GO:2000116~regulation of cysteine-type endopeptidase activity,GO:2001056~positive regulation of cysteine-type endopeptidase activity,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008656~cysteine-type endopeptidase activator activity involved in apoptotic process,GO:0030674~protein-macromolecule adaptor activity,	IPR001611:Leu-rich_rpt,IPR004020:DAPIN,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR027417:P-loop_NTPase,IPR029495:NACHT-assoc,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR050637:NLRP_innate_immun_reg,	hsa04621:NOD-like receptor signaling pathway,	611762~Familial cold autoinflammatory syndrome 2,		SM00368:LRR_RI,SM01288:FISNA,SM01289:PYRIN,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:FISNA,DOMAIN:NACHT,DOMAIN:Pyrin,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,
Q86W24	NLR family pyrin domain containing 14(NLRP14)	Homo sapiens		GO:0007283~spermatogenesis,GO:0030154~cell differentiation,GO:0050727~regulation of inflammatory response,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,	IPR001611:Leu-rich_rpt,IPR004020:DAPIN,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR050637:NLRP_innate_immun_reg,				SM00368:LRR_RI,SM01289:PYRIN,	KW-0221~Differentiation,KW-0744~Spermatogenesis,	KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0217~Developmental protein,KW-9996~Developmental protein,		DOMAIN:NACHT,DOMAIN:Pyrin,MUTAGEN:L->R: Increased thermal stability of the Pyrin domain.,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
A6QLE5	NLR family pyrin domain containing 3(NLRP3)	Bos taurus		GO:0002674~negative regulation of acute inflammatory response,GO:0002830~positive regulation of type 2 immune response,GO:0006954~inflammatory response,GO:0009595~detection of biotic stimulus,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032753~positive regulation of interleukin-4 production,GO:0044546~NLRP3 inflammasome complex assembly,GO:0045087~innate immune response,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0050729~positive regulation of inflammatory response,GO:0051260~protein homooligomerization,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,GO:2000553~positive regulation of T-helper 2 cell cytokine production,	GO:0000139~Golgi membrane,GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005815~microtubule organizing center,GO:0016020~membrane,GO:0031021~interphase microtubule organizing center,GO:0072559~NLRP3 inflammasome complex,	GO:0005524~ATP binding,GO:0016887~ATP hydrolysis activity,GO:0035591~signaling adaptor activity,GO:0043531~ADP binding,GO:0043565~sequence-specific DNA binding,GO:0070273~phosphatidylinositol-4-phosphate binding,GO:0140297~DNA-binding transcription factor binding,GO:0140299~molecular sensor activity,GO:1901981~phosphatidylinositol phosphate binding,	IPR001611:Leu-rich_rpt,IPR004020:DAPIN,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR027417:P-loop_NTPase,IPR029495:NACHT-assoc,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR050637:NLRP_innate_immun_reg,	bta04217:Necroptosis,bta04621:NOD-like receptor signaling pathway,bta04623:Cytosolic DNA-sensing pathway,bta04625:C-type lectin receptor signaling pathway,bta05132:Salmonella infection,bta05133:Pertussis,bta05135:Yersinia infection,bta05164:Influenza A,bta05171:Coronavirus disease - COVID-19,bta05417:Lipid and atherosclerosis,			SM00368:LRR_RI,SM01288:FISNA,SM01289:PYRIN,	KW-0391~Immunity,KW-0395~Inflammatory response,KW-0399~Innate immunity,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0206~Cytoskeleton,KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0496~Mitochondrion,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0964~Secreted,KW-1271~Inflammasome,	KW-1008~Amyloidosis,	KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0010~Activator,KW-0378~Hydrolase,	KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:FISNA,DOMAIN:NACHT,DOMAIN:Pyrin,LIPID:S-palmitoyl cysteine,MOTIF:KFERQ-like motif 1,MOTIF:KFERQ-like motif 2,MOTIF:KFERQ-like motif 3,MOTIF:KFERQ-like motif 4,REGION:Required for binding to phosphatidylinositol 4-phosphate (PtdIns4P),REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
C3VPR6	NLR family, CARD domain containing 5(Nlrc5)	Mus musculus		GO:0009617~response to bacterium,GO:0010646~regulation of cell communication,GO:0023051~regulation of signaling,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0035556~intracellular signal transduction,GO:0043549~regulation of kinase activity,GO:0045087~innate immune response,GO:0045088~regulation of innate immune response,GO:0045345~positive regulation of MHC class I biosynthetic process,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0051607~defense response to virus,GO:0060335~positive regulation of type II interferon-mediated signaling pathway,GO:0060339~negative regulation of type I interferon-mediated signaling pathway,GO:0060340~positive regulation of type I interferon-mediated signaling pathway,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0005524~ATP binding,	IPR001611:Leu-rich_rpt,IPR003591:Leu-rich_rpt_typical-subtyp,IPR006553:Leu-rich_rpt_Cys-con_subtyp,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041210:NLRC5_atypical_Card,IPR041267:NLRP_HD2,IPR051261:NLR,				SM00367:LRR_CC,SM00368:LRR_RI,SM00369:LRR_TYP,	KW-0391~Immunity,KW-0399~Innate immunity,	KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:NACHT,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 17,REPEAT:LRR 18,REPEAT:LRR 19,REPEAT:LRR 2,REPEAT:LRR 20,REPEAT:LRR 21,REPEAT:LRR 22,REPEAT:LRR 23,REPEAT:LRR 24,REPEAT:LRR 25,REPEAT:LRR 26,REPEAT:LRR 27,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
Q7Z494	NPHP3-ACAD11 readthrough (NMD candidate)(NPHP3-ACAD11)	Homo sapiens		GO:0001822~kidney development,GO:0001947~heart looping,GO:0003283~atrial septum development,GO:0006629~lipid metabolic process,GO:0007163~establishment or maintenance of cell polarity,GO:0007368~determination of left/right symmetry,GO:0016055~Wnt signaling pathway,GO:0030198~extracellular matrix organization,GO:0030324~lung development,GO:0035469~determination of pancreatic left/right asymmetry,GO:0045494~photoreceptor cell maintenance,GO:0048496~maintenance of animal organ identity,GO:0060026~convergent extension,GO:0060027~convergent extension involved in gastrulation,GO:0060271~cilium assembly,GO:0060287~epithelial cilium movement involved in determination of left/right asymmetry,GO:0060993~kidney morphogenesis,GO:0071908~determination of intestine left/right asymmetry,GO:0071909~determination of stomach left/right asymmetry,GO:0071910~determination of liver left/right asymmetry,GO:0072189~ureter development,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:1905515~non-motile cilium assembly,GO:2000095~regulation of Wnt signaling pathway, planar cell polarity pathway,	GO:0005576~extracellular region,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005871~kinesin complex,GO:0005874~microtubule,GO:0005929~cilium,GO:0097543~ciliary inversin compartment,GO:0097546~ciliary base,		IPR011990:TPR-like_helical_dom_sf,IPR019734:TPR_repeat,IPR027417:P-loop_NTPase,IPR051787:Effector/Ciliary-Dev_Assoc,IPR052752:NACHT-WD_repeat,				SM00028:TPR,	KW-0879~Wnt signaling pathway,	KW-0206~Cytoskeleton,KW-0493~Microtubule,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-0969~Cilium,	KW-0225~Disease variant,KW-0981~Meckel syndrome,KW-0983~Nephronophthisis,KW-1186~Ciliopathy,	KW-0175~Coiled coil,KW-0677~Repeat,KW-0802~TPR repeat,		KW-0505~Motor protein,	KW-0449~Lipoprotein,KW-0519~Myristate,	COMPBIAS:Polar residues,LIPID:N-myristoyl glycine,REGION:Disordered,REPEAT:TPR,REPEAT:TPR 1,REPEAT:TPR 10,REPEAT:TPR 11,REPEAT:TPR 2,REPEAT:TPR 3,REPEAT:TPR 4,REPEAT:TPR 5,REPEAT:TPR 6,REPEAT:TPR 7,REPEAT:TPR 8,REPEAT:TPR 9,
Q5ZID0	NmrA like redox sensor 1(NMRAL1)	Gallus gallus			GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0048471~perinuclear region of cytoplasm,	GO:0042802~identical protein binding,	IPR008030:NmrA-like,IPR036291:NAD(P)-bd_dom_sf,IPR051164:NmrA-like_oxidored,						KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0521~NADP,			DOMAIN:NmrA-like,
Q6ZRS2	Snf2 related CREBBP activator protein(SRCAP)	Homo sapiens		GO:0006338~chromatin remodeling,GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0045893~positive regulation of DNA-templated transcription,	GO:0000786~nucleosome,GO:0000812~Swr1 complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005794~Golgi apparatus,GO:0016604~nuclear body,GO:0032991~protein-containing complex,GO:0048471~perinuclear region of cytoplasm,	GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0004386~helicase activity,GO:0004402~histone acetyltransferase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0016887~ATP hydrolysis activity,GO:0042393~histone binding,GO:0140658~ATP-dependent chromatin remodeler activity,	IPR000330:SNF2_N,IPR001650:Helicase_C-like,IPR014001:Helicase_ATP-bd,IPR014012:HSA_dom,IPR017956:AT_hook_DNA-bd_motif,IPR027417:P-loop_NTPase,IPR038718:SNF2-like_sf,IPR049730:SNF2/RAD54-like_C,IPR050520:INO80/SWR1_helicase,	hsa03082:ATP-dependent chromatin remodeling,	136140~Floating-Harbor syndrome,619595~Developmental delay, hypotonia, musculoskeletal defects, and behavioral abnormalities,		SM00384:AT_hook,SM00487:DEXDc,SM00490:HELICc,SM00573:HSA,	KW-0804~Transcription,KW-0805~Transcription regulation,KW-0945~Host-virus interaction,	KW-0539~Nucleus,	KW-0225~Disease variant,KW-0991~Intellectual disability,	KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0010~Activator,KW-0156~Chromatin regulator,KW-0238~DNA-binding,KW-0347~Helicase,KW-0378~Hydrolase,	KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DNA_BIND:A.T hook 1,DNA_BIND:A.T hook 2,DNA_BIND:A.T hook 3,DOMAIN:HSA,DOMAIN:Helicase ATP-binding,DOMAIN:Helicase C-terminal,REGION:Disordered,
