ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q8IYB1	Mab-21 domain containing 2(MB21D2)	Homo sapiens						GO:0005515~protein binding,GO:0016779~nucleotidyltransferase activity,GO:0044877~protein-containing complex binding,GO:0045296~cadherin binding,	IPR024810:MAB21L/cGLR,IPR046903:Mab-21-like_nuc_Trfase,IPR046906:Mab-21_HhH/H2TH-like,			SM01265:Mab-21,						KW-0548~Nucleotidyltransferase,KW-0808~Transferase,	KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,DOMAIN:Mab-21-like HhH/H2TH-like,DOMAIN:Mab-21-like nucleotidyltransferase,REGION:Disordered,
Q7RTR2	NLR family CARD domain containing 3(NLRC3)	Homo sapiens				GO:0007249~canonical NF-kappaB signal transduction,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,			SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:NACHT,MOTIF:TRAF6-binding,MUTAGEN:SLQE->AAAA: Strong decrease of TRAF6-binding.,MUTAGEN:SVEE->AAAA: Almost no effect on TRAF6-binding.,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
Q5DU56	NLR family, CARD domain containing 3(Nlrc3)	Mus musculus			Signal transduction mechanisms,	GO:0007249~canonical NF-kappaB signal transduction,GO:0010646~regulation of cell communication,GO:0023051~regulation of signaling,GO:0031396~regulation of protein ubiquitination,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032496~response to lipopolysaccharide,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032691~negative regulation of interleukin-1 beta production,GO:0032695~negative regulation of interleukin-12 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045088~regulation of innate immune response,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,GO:0140678~molecular function inhibitor activity,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,			SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			COMPBIAS:Polar residues,DOMAIN:NACHT,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
P10978	Retrovirus-related Pol polyprotein from transposon TNT 1-94 (POLX_TOBAC)	Nicotiana tabacum				GO:0006508~proteolysis,GO:0015074~DNA integration,		GO:0003676~nucleic acid binding,GO:0003964~RNA-directed DNA polymerase activity,GO:0004190~aspartic-type endopeptidase activity,GO:0004519~endonuclease activity,GO:0008270~zinc ion binding,	IPR001584:Integrase_cat-core,IPR001878:Znf_CCHC,IPR012337:RNaseH-like_sf,IPR013103:RVT_2,IPR025724:GAG-pre-integrase_dom,IPR036397:RNaseH_sf,IPR036875:Znf_CCHC_sf,IPR043502:DNA/RNA_pol_sf,			SM00343:ZnF_C2HC,				KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0064~Aspartyl protease,KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0540~Nuclease,KW-0548~Nucleotidyltransferase,KW-0645~Protease,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		ACT_SITE:For protease activity,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Integrase catalytic,REGION:Disordered,ZN_FING:CCHC-type,
P36514	UDP-glucuronosyltransferase(UGT2C1)	Oryctolagus cuniculus				GO:0006629~lipid metabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0008194~UDP-glycosyltransferase activity,GO:0015020~glucuronosyltransferase activity,	IPR002213:UDP_glucos_trans,IPR035595:UDP_glycos_trans_CS,IPR050271:UDP-glycosyltransferase,	ocu00040:Pentose and glucuronate interconversions,ocu00053:Ascorbate and aldarate metabolism,ocu00140:Steroid hormone biosynthesis,ocu00830:Retinol metabolism,ocu00860:Porphyrin metabolism,ocu00980:Metabolism of xenobiotics by cytochrome P450,ocu00982:Drug metabolism - cytochrome P450,ocu00983:Drug metabolism - other enzymes,ocu01100:Metabolic pathways,ocu01240:Biosynthesis of cofactors,ocu04976:Bile secretion,ocu05204:Chemical carcinogenesis - DNA adducts,ocu05207:Chemical carcinogenesis - receptor activation,			KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0328~Glycosyltransferase,KW-0808~Transferase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,TRANSMEM:Helical,
B8VIU6	Uncharacterized skeletal organic matrix protein 5 (USOM5_ACRMI)	Acropora millepora					GO:0005576~extracellular region,		IPR014716:Fibrinogen_a/b/g_C_1,					KW-0964~Secreted,		KW-0732~Signal,
Q5E9U6	Wnt family member 16(WNT16)	Bos taurus				GO:0007275~multicellular organism development,GO:0010628~positive regulation of gene expression,GO:0030182~neuron differentiation,GO:0030216~keratinocyte differentiation,GO:0043616~keratinocyte proliferation,GO:0045165~cell fate commitment,GO:0046330~positive regulation of JNK cascade,GO:0046849~bone remodeling,GO:0051897~positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0060070~canonical Wnt signaling pathway,GO:0060317~cardiac epithelial to mesenchymal transition,GO:0090399~replicative senescence,GO:0090403~oxidative stress-induced premature senescence,GO:2001234~negative regulation of apoptotic signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,	GO:0005109~frizzled binding,GO:0005125~cytokine activity,	IPR005817:Wnt,IPR013304:Wnt16,IPR018161:Wnt_CS,IPR043158:Wnt_C,	bta04150:mTOR signaling pathway,bta04310:Wnt signaling pathway,bta04390:Hippo signaling pathway,bta04550:Signaling pathways regulating pluripotency of stem cells,bta04916:Melanogenesis,bta04934:Cushing syndrome,bta05010:Alzheimer disease,bta05022:Pathways of neurodegeneration - multiple diseases,bta05165:Human papillomavirus infection,bta05200:Pathways in cancer,bta05202:Transcriptional misregulation in cancer,bta05205:Proteoglycans in cancer,bta05217:Basal cell carcinoma,bta05224:Breast cancer,bta05225:Hepatocellular carcinoma,bta05226:Gastric cancer,		SM00097:WNT1,	KW-0879~Wnt signaling pathway,	KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0732~Signal,		KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,LIPID:O-palmitoleoyl serine; by PORCN,
P16157	ankyrin 1(ANK1)	Homo sapiens		h_PDZsPathway:Synaptic Proteins at the Synaptic Junction,	General function prediction only,	GO:0006887~exocytosis,GO:0006888~endoplasmic reticulum to Golgi vesicle-mediated transport,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0010638~positive regulation of organelle organization,GO:0045199~maintenance of epithelial cell apical/basal polarity,GO:0072659~protein localization to plasma membrane,	GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0009898~cytoplasmic side of plasma membrane,GO:0014731~spectrin-associated cytoskeleton,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,GO:0016529~sarcoplasmic reticulum,GO:0030018~Z disc,GO:0030673~axolemma,GO:0031430~M band,GO:0042383~sarcolemma,GO:0043005~neuron projection,GO:0045211~postsynaptic membrane,GO:0170014~ankyrin-1 complex,	GO:0005198~structural molecule activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0008093~cytoskeletal anchor activity,GO:0019899~enzyme binding,GO:0019903~protein phosphatase binding,GO:0030507~spectrin binding,GO:0044325~transmembrane transporter binding,GO:0051117~ATPase binding,	IPR000488:Death_domain,IPR000906:ZU5_dom,IPR002110:Ankyrin_rpt,IPR011029:DEATH-like_dom_sf,IPR036770:Ankyrin_rpt-contain_sf,IPR040745:Ankyrin_UPA,IPR051165:Multifunctional_ANK_Repeat,	hsa05205:Proteoglycans in cancer,	182900~Spherocytosis, type 1,	SM00005:DEATH,SM00218:ZU5,SM00248:ANK,		KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0703~Sarcoplasmic reticulum,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0250~Elliptocytosis,KW-0360~Hereditary hemolytic anemia,	KW-0040~ANK repeat,KW-0677~Repeat,KW-0732~Signal,			KW-0379~Hydroxylation,KW-0449~Lipoprotein,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Death,DOMAIN:ZU5,DOMAIN:ZU5 1,DOMAIN:ZU5 2,MUTAGEN:K->E: Abolishes interaction with OBSCN (in isoform Mu17).,MUTAGEN:R->G: Abolishes interaction with OBSCN (in isoform Mu17).,MUTAGEN:T->P: Abolishes interaction with OBSCN (in isoform Mu17).,REGION:55 kDa regulatory domain,REGION:89 kDa domain,REGION:Disordered,REGION:UPA domain,REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 10,REPEAT:ANK 11,REPEAT:ANK 12,REPEAT:ANK 13,REPEAT:ANK 14,REPEAT:ANK 15,REPEAT:ANK 16,REPEAT:ANK 17,REPEAT:ANK 18,REPEAT:ANK 19,REPEAT:ANK 2,REPEAT:ANK 20,REPEAT:ANK 21,REPEAT:ANK 22,REPEAT:ANK 23,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,REPEAT:ANK 8,REPEAT:ANK 9,
P49961	ectonucleoside triphosphate diphosphohydrolase 1(ENTPD1)	Homo sapiens				GO:0006338~chromatin remodeling,GO:0007155~cell adhesion,GO:0007596~blood coagulation,GO:0009134~nucleoside diphosphate catabolic process,GO:0070527~platelet aggregation,GO:0140588~chromatin looping,	GO:0005886~plasma membrane,GO:0005901~caveola,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0003689~DNA clamp loader activity,GO:0003924~GTPase activity,GO:0004050~apyrase activity,GO:0004382~GDP phosphatase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0016887~ATP hydrolysis activity,GO:0017110~nucleoside diphosphate phosphatase activity,GO:0017111~ribonucleoside triphosphate phosphatase activity,GO:0036384~CDP phosphatase activity,GO:0043262~ADP phosphatase activity,GO:0043273~CTPase activity,GO:0045134~UDP phosphatase activity,GO:0061775~cohesin loader activity,GO:0103023~ITPase activity,GO:0140584~chromatin extrusion motor activity,GO:0140665~ATP-dependent H3-H4 histone complex chaperone activity,GO:0140849~ATP-dependent H2AZ histone chaperone activity,GO:1990003~IDP phosphatase activity,GO:1990606~membrane scission GTPase motor activity,	IPR000407:GDA1_CD39_NTPase,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,hsa05169:Epstein-Barr virus infection,	615683~Spastic paraplegia 64, autosomal recessive,			KW-0472~Membrane,	KW-0225~Disease variant,KW-0523~Neurodegeneration,KW-0890~Hereditary spastic paraplegia,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0106~Calcium,KW-0460~Magnesium,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,CARBOHYD:N-linked (GlcNAc...) asparagine,LIPID:S-palmitoyl cysteine,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
F1QGW6	eukaryotic translation initiation factor 2, subunit 3 gamma(eif2s3)	Danio rerio				GO:0001731~formation of translation preinitiation complex,GO:0002183~cytoplasmic translational initiation,GO:0006412~translation,GO:0006413~translational initiation,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005850~eukaryotic translation initiation factor 2 complex,	GO:0000049~tRNA binding,GO:0000166~nucleotide binding,GO:0003743~translation initiation factor activity,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0016787~hydrolase activity,GO:1990856~methionyl-initiator methionine tRNA binding,	IPR000795:T_Tr_GTP-bd_dom,IPR004161:EFTu-like_2,IPR009000:Transl_B-barrel_sf,IPR009001:Transl_elong_EF1A/Init_IF2_C,IPR015256:eIF2g_C,IPR027417:P-loop_NTPase,IPR044127:eIF2g_dom_2,IPR044128:eIF2g_GTP-bd,IPR050543:eIF2G,				KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,KW-0396~Initiation factor,		DOMAIN:tr-type G,REGION:G1,REGION:G2,REGION:G3,REGION:G4,REGION:G5,REGION:Interacts with cdc123,
