FUN_000185-T1	sp|Q32LQ0|AMPE_BOVIN	41.5	881	1.4e-197	691.4	sp|Q32LQ0|AMPE_BOVIN Glutamyl aminopeptidase OS=Bos taurus OX=9913 GN=ENPEP PE=2 SV=1
FUN_000189-T1	sp|Q9DCT6|BAP18_MOUSE	38.0	171	4.6e-18	92.8	sp|Q9DCT6|BAP18_MOUSE BPTF-associated chromatin complex component 1 OS=Mus musculus OX=10090 GN=Bacc1 PE=1 SV=1
FUN_000191-T1	sp|Q95108|THIOM_BOVIN	44.1	136	3.3e-29	129.4	sp|Q95108|THIOM_BOVIN Thioredoxin, mitochondrial OS=Bos taurus OX=9913 GN=TXN2 PE=1 SV=2
FUN_000192-T1	sp|Q1LWX3|NTAQ1_DANRE	54.3	188	3.5e-53	209.5	sp|Q1LWX3|NTAQ1_DANRE Protein N-terminal glutamine amidohydrolase OS=Danio rerio OX=7955 GN=ntaq1 PE=2 SV=1
FUN_000193-T1	sp|Q5I0K7|ALG13_RAT	53.2	158	3.4e-41	169.5	sp|Q5I0K7|ALG13_RAT UDP-N-acetylglucosamine transferase subunit ALG13 OS=Rattus norvegicus OX=10116 GN=Alg13 PE=1 SV=1
FUN_000194-T1	sp|P70182|PI51A_MOUSE	60.2	447	3.4e-147	523.5	sp|P70182|PI51A_MOUSE Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Mus musculus OX=10090 GN=Pip5k1a PE=1 SV=2
FUN_000195-T1	sp|B8D9S0|FMT_BUCA5	38.5	148	9.0e-19	95.1	sp|B8D9S0|FMT_BUCA5 Methionyl-tRNA formyltransferase OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain 5A) OX=563178 GN=fmt PE=3 SV=1
FUN_000197-T1	sp|Q8TCT7|SPP2B_HUMAN	44.7	488	1.6e-89	331.6	sp|Q8TCT7|SPP2B_HUMAN Signal peptide peptidase-like 2B OS=Homo sapiens OX=9606 GN=SPPL2B PE=1 SV=2
FUN_000200-T1	sp|Q5R733|CPEB1_PONAB	68.9	267	7.1e-113	409.1	sp|Q5R733|CPEB1_PONAB Cytoplasmic polyadenylation element-binding protein 1 OS=Pongo abelii OX=9601 GN=CPEB1 PE=2 SV=1
FUN_000202-T1	sp|Q9TU32|LMAN1_CHLAE	40.9	479	8.4e-93	342.4	sp|Q9TU32|LMAN1_CHLAE Protein ERGIC-53 OS=Chlorocebus aethiops OX=9534 GN=LMAN1 PE=1 SV=1
FUN_000203-T1	sp|Q4V7T8|ROP1L_XENLA	53.5	217	1.0e-61	238.0	sp|Q4V7T8|ROP1L_XENLA Ropporin-1-like protein OS=Xenopus laevis OX=8355 GN=ropn1l PE=2 SV=1
FUN_000208-T1	sp|Q6NXR4|TTI2_HUMAN	42.4	184	9.7e-34	144.8	sp|Q6NXR4|TTI2_HUMAN TELO2-interacting protein 2 OS=Homo sapiens OX=9606 GN=TTI2 PE=1 SV=1
FUN_000210-T1	sp|Q9EQH2|ERAP1_MOUSE	40.9	694	1.1e-145	518.8	sp|Q9EQH2|ERAP1_MOUSE Endoplasmic reticulum aminopeptidase 1 OS=Mus musculus OX=10090 GN=Erap1 PE=1 SV=2
FUN_000212-T1	sp|Q95334|AMPE_PIG	37.8	898	2.5e-173	610.9	sp|Q95334|AMPE_PIG Glutamyl aminopeptidase OS=Sus scrofa OX=9823 GN=ENPEP PE=1 SV=1
FUN_000213-T2	sp|Q8LHH9|SHL2_ORYSJ	38.3	830	2.1e-134	482.6	sp|Q8LHH9|SHL2_ORYSJ Probable RNA-dependent RNA polymerase SHL2 OS=Oryza sativa subsp. japonica OX=39947 GN=SHL2 PE=2 SV=1
FUN_000215-T1	sp|P15541|AMPN_RABIT	34.2	918	1.8e-142	508.4	sp|P15541|AMPN_RABIT Aminopeptidase N OS=Oryctolagus cuniculus OX=9986 GN=ANPEP PE=1 SV=4
FUN_000217-T1	sp|Q6DFB7|POC5_XENLA	28.5	572	8.9e-51	203.0	sp|Q6DFB7|POC5_XENLA Centrosomal protein POC5 OS=Xenopus laevis OX=8355 GN=poc5 PE=2 SV=1
FUN_000220-T1	sp|P12527|LOX5_RAT	27.2	379	2.5e-34	148.7	sp|P12527|LOX5_RAT Polyunsaturated fatty acid 5-lipoxygenase OS=Rattus norvegicus OX=10116 GN=Alox5 PE=1 SV=3
FUN_000223-T1	sp|Q80UY1|CARME_MOUSE	52.0	358	2.1e-107	390.6	sp|Q80UY1|CARME_MOUSE Carnosine N-methyltransferase OS=Mus musculus OX=10090 GN=Carnmt1 PE=1 SV=1
FUN_000226-T1	sp|Q6P4K1|HDGR2_XENTR	55.3	94	2.3e-23	112.1	sp|Q6P4K1|HDGR2_XENTR Hepatoma-derived growth factor-related protein 2 OS=Xenopus tropicalis OX=8364 GN=hdgfl2 PE=2 SV=1
