biomin_hit,gene_id,evalue,score,species_id,species,group_id,type,conservation_level,blasted protein in Stylophora,definition,Ref
JT001945.1,FUN_033818-T1,0,736,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,Skeletal acidic Asp-rich Protein 1 (SAARP 1),"Ramos-Silva et al., 2013"
JR972076.1,FUN_043638-T1,0,694,Apul,Apul,OG_10205,three_way,low,"XP_022781839.1, XP_022781915.1",Acidic skeletal organic matrix protein (Acidic SOMP),"Ramos-Silva et al., 2013"
JR991407.1,FUN_033732-T1,0,726,Apul,Apul,OG_07331,three_way,low,XP_022780690.1,Skeletal acidic Asp-rich Protein 2 (SAARP2),"Ramos-Silva et al., 2013"
JT014391.1,FUN_023697-T1,1.36e-156,432,Apul,Apul,OG_05250,three_way,low,XP_022797021.1,Uncharacterized skeletal organic matrix protein-8 (USOMP-8),"Ramos-Silva et al., 2013"
JT016638.1,FUN_002672-T2,0,3325,Apul,Apul,OG_10523,apul_peve,low,XP_022783430.1,Coadhesin,"Ramos-Silva et al., 2013"
JT011118.1,FUN_037812-T1,0,7798,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDL-receptor domain- containing protein 1,"Ramos-Silva et al., 2013"
JR994474.1,FUN_037812-T1,0,14771,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDL-receptor domain- containing protein 2,"Ramos-Silva et al., 2013"
JR986059.1,FUN_015320-T1,0,829,Apul,Apul,OG_11420,apul_peve,low,XP_022782738.1,Cephalotoxin-like protein,"Ramos-Silva et al., 2013"
JR982706.1,FUN_022534-T1,0,1013,Apul,Apul,OG_11812,apul_peve,low,XP_022808152.1,Uncharacterized skeletal organic matrix protein-2  (USOMP-2),"Ramos-Silva et al., 2013"
JR997000.1,FUN_029069-T1,4.559999999999999e-118,343,Apul,Apul,OG_12340,apul_peve,low,"XP_022807628.1, XP_022807627.1, XP_022807629.1, XP_022807631.1",Uncharacterized skeletal organic matrix protein-3  (USOMP-3),"Ramos-Silva et al., 2013"
JR976690.1,FUN_022535-T1,0,529,Apul,NA,NA,NA,NA,"XP_022794122.1, XP_022794121.1",Galaxin 2,"Ramos-Silva et al., 2013"
aug_v2a.24015.t1,FUN_024614-T1,0,2269,Apul,Apul,OG_05514,three_way,medium,XP_022788227.1,Hephaestin-like protein,"Takeuchi et al., 2016"
aug_v2a.02830,FUN_022669-T1,0,4867,Apul,Apul,OG_14623,apul_ptua,low,"XP_022782704.1,XP_022782703.1",polycystic kidney disease 1-related (PKD1-related) protein,"Takeuchi et al., 2016"
JN631095.1,FUN_008908-T1,0,723,Apul,Apul,OG_02317,three_way,medium,XP_029195765.1,Acropora millepora clone B26 hypothetical protein p251_4,"Hayward et al., 2011"
