biomin_hit,gene_id,evalue,score,species_id,species,group_id,type,conservation_level,blasted protein in Stylophora,definition,Ref,ACR.139.TP1,ACR.139.TP1.1,ACR.139.TP2,ACR.139.TP2.1,ACR.139.TP3,ACR.139.TP3.1,ACR.139.TP4,ACR.139.TP4.1,ACR.145.TP1,ACR.145.TP1.1,ACR.145.TP2,ACR.145.TP2.1,ACR.145.TP3,ACR.145.TP3.1,ACR.145.TP4,ACR.145.TP4.1,ACR.150.TP1,ACR.150.TP1.1,ACR.150.TP2,ACR.150.TP2.1,ACR.150.TP3,ACR.150.TP3.1,ACR.150.TP4,ACR.150.TP4.1,ACR.173.TP1,ACR.173.TP1.1,ACR.173.TP2,ACR.173.TP2.1,ACR.173.TP3,ACR.173.TP3.1,ACR.173.TP4,ACR.173.TP4.1,ACR.186.TP1,ACR.186.TP1.1,ACR.186.TP2,ACR.186.TP2.1,ACR.186.TP3,ACR.186.TP3.1,ACR.186.TP4,ACR.186.TP4.1,ACR.225.TP1,ACR.225.TP1.1,ACR.225.TP2,ACR.225.TP2.1,ACR.225.TP3,ACR.225.TP3.1,ACR.225.TP4,ACR.225.TP4.1,ACR.229.TP1,ACR.229.TP1.1,ACR.229.TP2,ACR.229.TP2.1,ACR.229.TP3,ACR.229.TP3.1,ACR.229.TP4,ACR.229.TP4.1,ACR.237.TP1,ACR.237.TP1.1,ACR.237.TP2,ACR.237.TP2.1,ACR.237.TP3,ACR.237.TP3.1,ACR.237.TP4,ACR.237.TP4.1,ACR.244.TP1,ACR.244.TP1.1,ACR.244.TP2,ACR.244.TP2.1,ACR.244.TP3,ACR.244.TP3.1,ACR.244.TP4,ACR.244.TP4.1,ACR.265.TP1,ACR.265.TP1.1,ACR.265.TP2,ACR.265.TP2.1,ACR.265.TP3,ACR.265.TP3.1,ACR.265.TP4,ACR.265.TP4.1
JT001945.1,FUN_033818,0,736,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,Skeletal acidic Asp-rich Protein 1 (SAARP 1),"Ramos-Silva et al., 2013",1928,1928,4668,4668,1486,1486,1478,1478,754,754,1582,1582,898,898,478,478,712,712,1476,1476,2238,2238,3716,3716,366,366,2838,2838,3068,3068,2350,2350,0,0,3872,3872,784,784,1626,1626,942,942,1518,1518,900,900,566,566,1694,1694,2206,2206,1526,1526,742,742,2224,2224,1258,1258,2266,2266,1036,1036,1304,1304,1310,1310,3252,3252,812,812,402,402,1828,1828,3136,3136,1402,1402
JR972076.1,FUN_043638,0,694,Apul,Apul,OG_10205,three_way,low,"XP_022781839.1, XP_022781915.1",Acidic skeletal organic matrix protein (Acidic SOMP),"Ramos-Silva et al., 2013",1866,1866,4990,4990,1780,1780,1834,1834,1440,1440,3136,3136,1088,1088,774,774,1652,1652,5748,5748,2952,2952,3588,3588,398,398,3108,3108,3736,3736,3538,3538,286,286,2820,2820,814,814,2300,2300,740,740,1644,1644,4864,4864,2254,2254,6820,6820,3294,3294,3388,3388,446,446,1414,1414,2520,2520,3952,3952,1806,1806,1552,1552,4152,4152,3864,3864,1014,1014,488,488,948,948,722,722,2492,2492
JR991407.1,FUN_033732,0,726,Apul,Apul,OG_07331,three_way,low,XP_022780690.1,Skeletal acidic Asp-rich Protein 2 (SAARP2),"Ramos-Silva et al., 2013",180,180,310,310,924,924,1058,1058,236,236,132,132,62,62,36,36,324,324,164,164,332,332,514,514,190,190,380,380,362,362,1674,1674,290,290,680,680,364,364,1048,1048,458,458,234,234,334,334,864,864,1170,1170,186,186,454,454,632,632,1534,1534,216,216,318,318,852,852,574,574,240,240,584,584,518,518,396,396,104,104,310,310,944,944
JT014391.1,FUN_023697,1.36e-156,432,Apul,Apul,OG_05250,three_way,low,XP_022797021.1,Uncharacterized skeletal organic matrix protein-8 (USOMP-8),"Ramos-Silva et al., 2013",368,368,932,932,1276,1276,842,842,670,670,364,364,1356,1356,680,680,690,690,496,496,230,230,780,780,338,338,718,718,1512,1512,1664,1664,116,116,288,288,608,608,746,746,130,130,112,112,292,292,162,162,486,486,228,228,170,170,278,278,1536,1536,326,326,472,472,672,672,746,746,330,330,424,424,422,422,462,462,492,492,498,498,1004,1004
JT016638.1,FUN_002672,0,3325,Apul,Apul,OG_10523,apul_peve,low,XP_022783430.1,Coadhesin,"Ramos-Silva et al., 2013",9236,9236,6634,6634,3806,3806,5982,5982,4098,4098,4762,4762,1068,1068,2656,2656,2320,2320,6468,6468,3704,3704,8236,8236,1234,1234,12692,12692,3276,3276,4072,4072,1632,1632,3234,3234,680,680,8070,8070,514,514,3398,3398,3050,3050,1410,1410,4060,4060,2104,2104,1920,1920,350,350,2704,2704,2478,2478,6006,6006,1072,1072,748,748,3556,3556,4966,4966,442,442,1252,1252,2132,2132,2598,2598,1500,1500
JT011118.1,FUN_037812,0,7798,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDL-receptor domain- containing protein 1,"Ramos-Silva et al., 2013",21846,21846,24528,24528,8966,8966,12508,12508,8392,8392,22646,22646,2514,2514,2618,2618,1296,1296,7114,7114,15616,15616,17310,17310,2470,2470,23290,23290,6204,6204,3292,3292,2442,2442,19584,19584,3534,3534,11756,11756,6120,6120,6010,6010,6396,6396,3650,3650,17436,17436,9816,9816,17700,17700,4328,4328,7364,7364,6060,6060,18602,18602,5460,5460,4298,4298,14024,14024,24896,24896,8790,8790,6652,6652,4358,4358,9336,9336,4232,4232
JR994474.1,FUN_037812,0,14771,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDL-receptor domain- containing protein 2,"Ramos-Silva et al., 2013",21846,21846,24528,24528,8966,8966,12508,12508,8392,8392,22646,22646,2514,2514,2618,2618,1296,1296,7114,7114,15616,15616,17310,17310,2470,2470,23290,23290,6204,6204,3292,3292,2442,2442,19584,19584,3534,3534,11756,11756,6120,6120,6010,6010,6396,6396,3650,3650,17436,17436,9816,9816,17700,17700,4328,4328,7364,7364,6060,6060,18602,18602,5460,5460,4298,4298,14024,14024,24896,24896,8790,8790,6652,6652,4358,4358,9336,9336,4232,4232
JR986059.1,FUN_015320,0,829,Apul,Apul,OG_11420,apul_peve,low,XP_022782738.1,Cephalotoxin-like protein,"Ramos-Silva et al., 2013",244,244,356,356,352,352,324,324,412,412,68,68,38,38,148,148,58,58,130,130,54,54,136,136,20,20,172,172,152,152,64,64,194,194,110,110,4,4,162,162,10,10,50,50,84,84,28,28,20,20,32,32,20,20,82,82,184,184,14,14,48,48,0,0,24,24,130,130,130,130,0,0,86,86,398,398,88,88,16,16
JR982706.1,FUN_022534,0,1013,Apul,Apul,OG_11812,apul_peve,low,XP_022808152.1,Uncharacterized skeletal organic matrix protein-2  (USOMP-2),"Ramos-Silva et al., 2013",586,586,1116,1116,494,494,446,446,316,316,380,380,512,512,160,160,240,240,1128,1128,656,656,270,270,50,50,702,702,1950,1950,720,720,72,72,302,302,398,398,270,270,64,64,338,338,1028,1028,192,192,942,942,856,856,614,614,0,0,168,168,530,530,1022,1022,272,272,184,184,490,490,898,898,66,66,50,50,254,254,190,190,746,746
JR997000.1,FUN_029069,4.559999999999999e-118,343,Apul,Apul,OG_12340,apul_peve,low,"XP_022807628.1, XP_022807627.1, XP_022807629.1, XP_022807631.1",Uncharacterized skeletal organic matrix protein-3  (USOMP-3),"Ramos-Silva et al., 2013",128,128,326,326,38,38,68,68,42,42,230,230,0,0,0,0,56,56,112,112,506,506,366,366,0,0,194,194,104,104,138,138,0,0,118,118,50,50,52,52,46,46,44,44,144,144,148,148,356,356,226,226,202,202,0,0,88,88,232,232,468,468,80,80,24,24,168,168,166,166,10,10,0,0,64,64,34,34,46,46
