Geneid	Chr	Start	End	Strand	Length	ACR-139-TP1	ACR-139-TP2	ACR-139-TP3	ACR-139-TP4	ACR-145-TP1	ACR-145-TP2	ACR-145-TP3	ACR-145-TP4	ACR-150-TP1	ACR-150-TP2	ACR-150-TP3	ACR-150-TP4	ACR-173-TP1	ACR-173-TP2	ACR-173-TP3	ACR-173-TP4	ACR-186-TP1	ACR-186-TP2	ACR-186-TP3	ACR-186-TP4	ACR-225-TP1	ACR-225-TP2	ACR-225-TP3	ACR-225-TP4	ACR-229-TP1	ACR-229-TP2	ACR-229-TP3	ACR-229-TP4	ACR-237-TP1	ACR-237-TP2	ACR-237-TP3	ACR-237-TP4	ACR-244-TP1	ACR-244-TP2	ACR-244-TP3	ACR-244-TP4	ACR-265-TP1	ACR-265-TP2	ACR-265-TP3	ACR-265-TP4
lncRNA_015	ntLink_2	327086	329262	+	2177	113	2	2	114	154	20	90	106	268	37	108	26	430	36	16	99	32	7	29	37	15	267	43	8	4	45	107	66	22	58	29	104	6	32	181	38	5	76	254	43
lncRNA_076	ntLink_6	48577	50741	+	2165	48	19	23	10	50	11	49	72	33	44	19	0	13	38	24	6	54	122	40	69	66	47	26	5	59	68	96	178	42	60	23	4	116	109	58	67	147	106	109	28
lncRNA_077	ntLink_6	191068	194203	+	3136	648.25	694.75	958.50	764.75	846.25	488.75	1035.25	585	719.50	590.75	671.25	839.75	622.75	417.75	1084	848.50	625	932.08	1325.50	888.50	870.75	711.50	947.75	782.50	929.25	914.50	837.25	786	1060.75	680.20	672.75	1327.50	697.50	834.50	823	1132.75	1188.50	812.25	735	982.25
lncRNA_078	ntLink_6	191227	194203	+	2977	648.25	694.75	958.50	764.75	846.25	488.75	1035.25	585	719.50	590.75	671.25	839.75	622.75	417.75	1084	848.50	625	931.08	1325.50	888.50	870.75	711.50	947.75	782.50	929.25	914.50	837.25	786	1060.75	680.20	672.75	1327.50	697.50	834.50	823	1132.75	1188.50	812.25	735	982.25
lncRNA_080	ntLink_6	191233	194203	+	2971	648.25	694.75	958.50	764.75	846.25	488.75	1035.25	585	719.50	590.75	671.25	839.75	622.75	417.75	1084	848.50	625	931.08	1325.50	888.50	870.75	711.50	947.75	782.50	929.25	914.50	837.25	786	1060.75	680.20	672.75	1327.50	697.50	834.50	823	1132.75	1188.50	812.25	735	982.25
lncRNA_081	ntLink_6	191352	194203	+	2852	648.25	694.75	958.50	764.75	846.25	488.75	1035.25	585	719.50	590.75	671.25	839.75	622.75	417.75	1084	848.50	625	930.75	1325.50	888.50	870.75	711.50	947.75	782.50	929.25	914.50	837.25	786	1060.75	680.20	672.75	1327.50	697.50	834.50	823	1132.75	1188.50	812.25	735	982.25
lncRNA_083	ntLink_6	253957	256027	+	2071	52.50	13	19	71	23	12	19.50	24	8	20.50	16	37	36.50	15.50	2.50	19	12	22	45	50.50	3.50	40	15.50	5	28	49	44.50	0	1.50	15	34.50	0	1	27.50	46.50	9.50	25	40.50	33	14
lncRNA_084	ntLink_6	254264	256027	+	1764	36.50	8	13	34	15	8	3.50	15	8	9.50	10	19	35.50	3.50	2.50	7	12	13	15	28.50	3.50	28	10.50	3	21	28	21.50	0	0.50	11	23.50	0	0	22.50	38.50	3.50	10	30.50	27	14
lncRNA_085	ntLink_6	277449	278548	+	1100	0	3.50	4.50	2.50	53.50	19	53	63.50	0.50	35.50	31	17	5	15	27	14.50	16	21	40	23	15	15.50	18.50	12	35.50	71.50	28	29	15	22.50	14	18	28.50	78.50	26	37	54	113.50	49	71.50
lncRNA_086	ntLink_6	318920	320775	+	1856	4	6	25	39.00	26	3	6	23	12	1	5	17.50	22	23.00	11.50	1	10.50	10.50	17.50	12.17	3	14.50	15	0	38.67	10.33	22.50	8	33.50	16	6.50	5	6	8	12	3	28.50	6	2.00	0
