term,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,total
Hemicentin-1 (Fibulin-6) (FIBL-6),0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,10
Homeobox protein Nkx-2.2a (Homeobox protein NK-2 homolog B-A),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Potassium voltage-gated channel protein Shaw (Shaw2),0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4
Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4
Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter),0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
Putative histone-lysine N-methyltransferase PRDM6 (EC 2.1.1.361) (PR domain zinc finger protein 6) (PR domain-containing protein 6) (PR domain-containing protein in smooth muscle),0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71),0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4
"Myosin regulatory light polypeptide 9 (20 kDa myosin light chain) (LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Potassium voltage-gated channel protein Shal (Shaker cognate l) (Shal2),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kinesin-like protein KIF16B (Sorting nexin-23),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fibroblast growth factor 16 (FGF-16),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
H2.0-like homeobox protein (Homeobox protein HLX1),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25) [Cleaved into: Adhesion G-protein coupled receptor D1, N-terminal fragment (ADGRD1 N-terminal fragment); Adhesion G-protein coupled receptor D1, C-terminal fragment (ADGRD1 C-terminal fragment)]",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Octopamine receptor beta-2R (DmOct-beta-12) (DmOct-beta-2R),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Protein lin-7 homolog C (Lin-7C),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) [Cleaved into: Adhesion G-protein coupled receptor D1, N-terminal fragment (ADGRD1 N-terminal fragment); Adhesion G-protein coupled receptor D1, C-terminal fragment (ADGRD1 C-terminal fragment)]",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Peroxisomal sarcosine oxidase (PSO) (EC 1.5.3.1) (EC 1.5.3.7) (L-pipecolate oxidase) (L-pipecolic acid oxidase),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nucleoprotein TPR (NPC-associated intranuclear protein) (Translocated promoter region and nuclear basket protein),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
