module,num_orthologs,num_annotated,annotation_coverage_%,num_go_bp_terms,num_go_cc_terms,num_go_mf_terms,num_goslim_terms,num_unique_proteins,top_go_bp,top_goslim,top_protein
0,760,271,35.7,1367,360,462,120,265,regulation of transcription by RNA polymerase II [GO:0006357],organelle,Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]
1,2649,963,36.4,3273,705,1157,129,941,cell division [GO:0051301],organelle,Hemicentin-1 (Fibulin-6) (FIBL-6)
2,1200,516,43.0,2465,464,749,124,501,positive regulation of transcription by RNA polymerase II [GO:0045944],organelle,Homeobox protein Nkx-2.2a (Homeobox protein NK-2 homolog B-A)
3,1148,397,34.6,1841,423,620,127,386,protein transport [GO:0015031],organelle,Radial spoke head 1 homolog (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin) (Testis-specific gene A2 protein)
4,970,405,41.8,2121,425,651,122,392,positive regulation of transcription by RNA polymerase II [GO:0045944],organelle,Putative histone-lysine N-methyltransferase PRDM6 (EC 2.1.1.361) (PR domain zinc finger protein 6) (PR domain-containing protein 6) (PR domain-containing protein in smooth muscle)
5,891,427,47.9,2431,452,679,121,413,positive regulation of transcription by RNA polymerase II [GO:0045944],organelle,Hemicentin-1 (Fibulin-6) (FIBL-6)
6,878,314,35.8,1474,390,579,120,311,negative regulation of transcription by RNA polymerase II [GO:0000122],organelle,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]
7,706,275,39.0,1591,331,530,114,272,proteolysis [GO:0006508],organelle,Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]
8,256,102,39.8,480,193,176,92,98,"mRNA splicing, via spliceosome [GO:0000398]",organelle,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)
9,84,40,47.6,191,106,98,73,40,signal transduction [GO:0007165],organelle,UV excision repair protein RAD23 homolog A (HR23A) (mHR23A)
10,63,26,41.3,131,74,55,53,26,positive regulation of cell population proliferation [GO:0008284],organelle,Regulation of nuclear pre-mRNA domain-containing protein 2
11,64,19,29.7,124,52,53,54,19,flagellated sperm motility [GO:0030317],organelle,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1 homolog) (LKB1)
12,62,24,38.7,291,60,103,65,24,negative regulation of transcription by RNA polymerase II [GO:0000122],organelle,Fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (MFR) (Proto-oncogene c-Fgr) (CD antigen CD331)
13,50,8,16.0,56,33,19,28,8,proteolysis [GO:0006508],catalytic activity,Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180) (p170)
14,46,14,30.4,144,45,45,39,14,intracellular signal transduction [GO:0035556],organelle,"mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)"
