"ortho_id","module","MM","GS","MM_p","GS_p","accession","id","protein_name","label"
"OG_00685","green",0.469901188106826,0.189161312082389,9.0360647692934e-08,0.0410916496025647,"Q69ZL1",NA,NA,"OG_00685"
"OG_00689","green",0.351070727277379,0.0707634134359127,0.000104063006130415,0.448357364501116,NA,NA,NA,"OG_00689"
"OG_00690","green",0.34642594722262,0.0772850440272197,0.00013018090366507,0.407540347845636,"P35409",NA,NA,"OG_00690"
"OG_00708","green",0.46145404198039,0.165475074752375,1.6375111650941e-07,0.0745891769232696,"Q7TMY8","HUWE1_MOUSE","E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (E3Histone) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)","HUWE1_MOUSE"
"OG_00721","green",0.399080093859926,0.118995806600914,8.31188518378675e-06,0.201297888263306,"Q00709",NA,NA,"OG_00721"
"OG_00737","green",0.781910199022586,0.0312542026662385,2.35846052365805e-25,0.73798875465692,"Q8IWF6",NA,NA,"OG_00737"
"OG_00787","green",0.0214001099398783,0.0578065876506229,0.81885452875852,0.535864640645357,"Q69ZJ7","RIC1_MOUSE","Guanine nucleotide exchange factor subunit RIC1 (Protein RIC1 homolog) (RAB6A-GEF complex partner protein 1)","RIC1_MOUSE"
"OG_00810","green",0.134786902186698,0.131202316531633,0.147362575425483,0.158529029353933,"Q9BYK8",NA,NA,"OG_00810"
"OG_00813","green",0.186952779382066,0.159862990045675,0.0435575714469571,0.085122407548403,"Q12882",NA,NA,"OG_00813"
"OG_00830","green",0.391042423880083,0.155836279165457,1.30514667276835e-05,0.0933869668842996,"Q95LM1",NA,NA,"OG_00830"
"OG_00876","green",0.63454968746201,0.0181924160739972,1.56984912178186e-14,0.84564002320567,"Q8N6S4","AN13C_HUMAN","Ankyrin repeat domain-containing protein 13C","AN13C_HUMAN"
"OG_00877","green",0.0337345335789816,0.309714870969978,0.718039769873732,0.000678646054669932,NA,NA,NA,"OG_00877"
"OG_00884","green",0.245940820730109,0.22995735532599,0.00752031920354193,0.0126247063436518,"D3YTS9","PPAT_MOUSE","Testicular acid phosphatase (EC 3.1.3.2) (Acid phosphatase 4)","PPAT_MOUSE"
"OG_00887","green",0.03203166337009,0.0486076762724066,0.731716250099762,0.602760299822272,"Q91W43","GCSP_MOUSE","Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))","GCSP_MOUSE"
"OG_00892","green",0.582329083527082,0.053644391969674,5.70234623377264e-12,0.56567231533679,"Q28GD4",NA,NA,"OG_00892"
"OG_00919","green",0.467809668710804,0.176577545707891,1.04848049711151e-07,0.0568497059343363,"Q9NTN3",NA,NA,"OG_00919"
"OG_00926","green",0.347839329501035,0.0080650174170345,0.000121650573050207,0.93122692831283,NA,NA,NA,"OG_00926"
"OG_00942","green",0.0260077351906206,0.112004860525953,0.780748796003146,0.229248310770658,"A2A9C3","SZT2_MOUSE","KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR)","SZT2_MOUSE"
"OG_00952","green",0.582440459089348,0.121664571051934,5.63731338650978e-12,0.191302998666353,"Q98864",NA,NA,"OG_00952"
"OG_00953","green",0.0650965841885287,0.296974093376595,0.485610460315348,0.0011481550692469,"Q90693",NA,NA,"OG_00953"
"OG_00965","green",0.389368437228298,0.0143063001722778,1.43163718991883e-05,0.878325199236257,"P17972","KCNAW_DROME","Potassium voltage-gated channel protein Shaw (Shaw2)","KCNAW_DROME"
"OG_01012","green",0.339785968318407,0.237975940068223,0.000178224741463467,0.00977477660270248,"Q9UNH6","SNX7_HUMAN","Sorting nexin-7","SNX7_HUMAN"
"OG_01018","green",0.274298366488098,0.202948866827032,0.00276469176193583,0.0281959139640487,"Q9UPU5","UBP24_HUMAN","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)","UBP24_HUMAN"
"OG_01033","green",0.181085782768661,0.178195495312057,0.05071333799093,0.0545808075320107,"P23727","P85A_BOVIN","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)","P85A_BOVIN"
"OG_01034","green",0.198133428659927,0.158839473296157,0.0322411593327718,0.0871656357863195,"P14211","CALR_MOUSE","Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)","CALR_MOUSE"
"OG_01078","green",0.471995918671889,0.176770433930254,7.7779632027359e-08,0.0565752123615447,"P16393",NA,NA,"OG_01078"
"OG_01088","green",0.0566508489150342,0.0866004913511234,0.544062624390979,0.353191857755714,"Q9D0R2","SYTC_MOUSE","Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)","SYTC_MOUSE"
"OG_01089","green",0.566001315874907,0.102482090971972,2.92690311805398e-11,0.271545931825484,NA,NA,NA,"OG_01089"
"OG_01105","green",0.267950139970233,0.229397429793354,0.00349119280355617,0.0128484162336016,"Q3UHC2","LRRK1_MOUSE","Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1)","LRRK1_MOUSE"
