# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/05-Apul-lncRNA/lncRNAs.gtf" "-o" "../output/05-Apul-lncRNA/counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/1A10.sorted.bam" "../data/1A12.sorted.bam" "../data/1A1.sorted.bam" "../data/1A2.sorted.bam" "../data/1A8.sorted.bam" "../data/1A9.sorted.bam" "../data/1B10.sorted.bam" "../data/1B1.sorted.bam" "../data/1B2.sorted.bam" "../data/1B5.sorted.bam" "../data/1B9.sorted.bam" "../data/1C10.sorted.bam" "../data/1C4.sorted.bam" "../data/1D10.sorted.bam" "../data/1D3.sorted.bam" "../data/1D4.sorted.bam" "../data/1D6.sorted.bam" "../data/1D8.sorted.bam" "../data/1D9.sorted.bam" "../data/1E1.sorted.bam" "../data/1E3.sorted.bam" "../data/1E5.sorted.bam" "../data/1E9.sorted.bam" "../data/1F11.sorted.bam" "../data/1F4.sorted.bam" "../data/1F8.sorted.bam" "../data/1G5.sorted.bam" "../data/1H11.sorted.bam" "../data/1H12.sorted.bam" "../data/1H6.sorted.bam" "../data/1H7.sorted.bam" "../data/1H8.sorted.bam" "../data/2B2.sorted.bam" "../data/2B3.sorted.bam" "../data/2C1.sorted.bam" "../data/2C2.sorted.bam" "../data/2D2.sorted.bam" "../data/2E2.sorted.bam" "../data/2F1.sorted.bam" "../data/2G1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/1A10.sorted.bam	../data/1A12.sorted.bam	../data/1A1.sorted.bam	../data/1A2.sorted.bam	../data/1A8.sorted.bam	../data/1A9.sorted.bam	../data/1B10.sorted.bam	../data/1B1.sorted.bam	../data/1B2.sorted.bam	../data/1B5.sorted.bam	../data/1B9.sorted.bam	../data/1C10.sorted.bam	../data/1C4.sorted.bam	../data/1D10.sorted.bam	../data/1D3.sorted.bam	../data/1D4.sorted.bam	../data/1D6.sorted.bam	../data/1D8.sorted.bam	../data/1D9.sorted.bam	../data/1E1.sorted.bam	../data/1E3.sorted.bam	../data/1E5.sorted.bam	../data/1E9.sorted.bam	../data/1F11.sorted.bam	../data/1F4.sorted.bam	../data/1F8.sorted.bam	../data/1G5.sorted.bam	../data/1H11.sorted.bam	../data/1H12.sorted.bam	../data/1H6.sorted.bam	../data/1H7.sorted.bam	../data/1H8.sorted.bam	../data/2B2.sorted.bam	../data/2B3.sorted.bam	../data/2C1.sorted.bam	../data/2C2.sorted.bam	../data/2D2.sorted.bam	../data/2E2.sorted.bam	../data/2F1.sorted.bam	../data/2G1.sorted.bam
lncRNA_001	ntLink_0	84514	93551	+	9038	1	1	5	0	1	0	0	14	9	2	23	5	5	17	0	0	0	0	1	8	1	0	0	1	0	5	0	1	0	5	5	0	2	0	0	3	1	14	30	0
lncRNA_002	ntLink_0	15627	19151	+	3525	6	0	5	1	0	0	2	0	0	0	1	0	2	5	0	0	0	0	2	2	2	0	1	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	16	0
lncRNA_003	ntLink_0	23443	23874	+	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_004	ntLink_1	7484	9525	+	2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_005	ntLink_1	51265	51766	+	502	0	11	67	0	0	20	0	8	8	0	0	29	50	2	0	0	10	6	0	79	5	0	0	8	42	12	117	11	18	12	8	24	12	6	0	50	33	0	0	0
lncRNA_006	ntLink_2	217051	217761	+	711	19	1	157	11	0	1	7	10	4	4	21	41	3	4	6	14	6	12	99	16	2	0	56	0	10	2	19	1	3	2	16	1	16	0	1	2	81	13	27	3
lncRNA_007	ntLink_2	330551	331392	+	842	59	0	0	0	0	3	2	7	1	1	6	0	0	16	10	9	0	0	0	14	14	0	0	2	2	10	3	0	0	10	0	0	16	0	0	0	10	0	40	0
lncRNA_008	ntLink_3	56721	62176	+	5456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_009	ntLink_3	76352	81676	+	5325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_010	ntLink_3	95705	100623	+	4919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
lncRNA_011	ntLink_3	115611	120137	+	4527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_012	ntLink_3	39723	40230	+	508	0	0	18	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
lncRNA_013	ntLink_3	40767	41120	+	354	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_014	ntLink_4	77170	82052	+	4883	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
lncRNA_015	ntLink_4	78045	82451	+	4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_016	ntLink_4	152869	157343	+	4475	0	0	22	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	38	0	0	0	0	0	1	18	0	0	1	0	0	4	0	0	5	0	0	0	0
