"Gene","N_significant","Top_predictor","Min_padj"
"OG_00171",49,"lncRNA_370",0.000376847707381601
"OG_00297",43,"lncRNA_3019",0.000409441921139582
"OG_00355",25,"lncRNA_375",0.000333266679997334
"OG_00430",62,"lncRNA_3443",0.00088553717827863
"OG_00460",61,"lncRNA_303",0.000938273883684802
"OG_00510",49,"lncRNA_925",0.00108867115465796
"OG_00643",70,"lncRNA_1309",0.000466573351996267
"OG_01023",60,"lncRNA_1135",0.000479904019196161
"OG_01117",54,"lncRNA_264",0.000372339325238401
"OG_01147",47,"lncRNA_3211",0.000939812037592481
"OG_01155",37,"lncRNA_3220",0.000389395805049516
"OG_01277",42,"lncRNA_2910",0.000442016859785938
"OG_01317",49,"lncRNA_4541",0.000264811902484368
"OG_01354",27,"lncRNA_4183",0.000599880023995201
"OG_01452",62,"lncRNA_1354",0.000516563353995867
"OG_01475",57,"lncRNA_282",0.0014247150569886
"OG_01486",32,"lncRNA_451",0.000581701841449892
"OG_01489",36,"lncRNA_2848",0.000479904019196161
"OG_01630",46,"lncRNA_276",0.000383256681996934
"OG_01724",46,"lncRNA_1089",0.000484113703575074
"OG_01727",67,"lncRNA_3192",0.000956951466849487
"OG_01747",37,"lncRNA_1147",0.000369926014797041
"OG_01758",57,"lncRNA_6596",0.000949810037992401
"OG_01981",26,"lncRNA_290",0.000649870025994801
"OG_02012",61,"lncRNA_2528",0.000762347530493901
"OG_02070",64,"lncRNA_5540",0.000673549500626191
"OG_02088",57,"lncRNA_375",0.000438373863688801
"OG_02090",54,"lncRNA_3363",0.000635167084230213
"OG_02102",69,"lncRNA_3197",0.000657011454851887
"OG_02124",57,"lncRNA_188",0.000814122889707773
"OG_02146",52,"lncRNA_182",0.000415916816636673
"OG_02163",82,"lncRNA_117",0.000585597166281029
"OG_02190",56,"lncRNA_4503",0.00101797822253731
"OG_02260",39,"lncRNA_6428",0.00111406290170537
"OG_02317",44,"lncRNA_7686",0.00146637339198827
"OG_02358",30,"lncRNA_4169",0.000374925014997001
"OG_02408",49,"lncRNA_2327",0.000426001756170505
"OG_02666",69,"lncRNA_1272",0.000689862027594481
"OG_03267",58,"lncRNA_1052",0.000724855028994201
"OG_03268",54,"lncRNA_1093",0.0011997600479904
"OG_03269",51,"lncRNA_1053",0.000268367379155748
"OG_03270",53,"lncRNA_899",0.000588771134661956
"OG_03288",39,"lncRNA_10100",0.000458731783055154
"OG_03298",54,"lncRNA_4537",0.000449910017996401
"OG_03330",45,"lncRNA_1259",0.00081801821453891
"OG_03429",41,"lncRNA_3417",0.000546557355195628
"OG_03451",61,"lncRNA_4188",0.000580836213709639
"OG_03484",56,"lncRNA_2768",0.000589355813047917
"OG_03628",47,"lncRNA_3226",0.000854374579629529
"OG_03671",26,"lncRNA_17952",0.00103979204159168
"OG_03673",55,"lncRNA_1231",0.0010997800439912
"OG_03780",59,"lncRNA_116",0.000357504256724413
"OG_04115",65,"lncRNA_853",0.000618923834280763
"OG_04238",56,"lncRNA_3664",0.000559888022395521
"OG_04243",40,"lncRNA_4201",0.000444355573329778
"OG_04247",62,"lncRNA_6990",0.00103312670799173
"OG_04443",49,"lncRNA_952",0.000979804039192162
"OG_04514",47,"lncRNA_220",0.000854374579629529
"OG_04538",52,"lncRNA_865",0.00346597347197227
"OG_04560",56,"lncRNA_1134",0.00186629340798507
"OG_04651",41,"lncRNA_2863",0.000630643102148801
"OG_04694",46,"lncRNA_4104",0.000459908018396321
"OG_04723",57,"lncRNA_6809",0.000876747727377601
"OG_05010",60,"lncRNA_321",0.000499900019996001
"OG_05121",62,"lncRNA_3632",0.00165300273278678
"OG_05210",66,"lncRNA_873",0.00038815766258513
"OG_05228",57,"lncRNA_150",0.000814122889707773
"OG_05250",52,"lncRNA_4343",0.00103979204159168
"OG_05303",37,"lncRNA_1195",0.000369926014797041
"OG_05308",59,"lncRNA_902",0.000737352529494101
"OG_05366",47,"lncRNA_1110",0.000408613929388035
"OG_05514",34,"lncRNA_15397",0.000522972328611201
"OG_05952",56,"lncRNA_464",0.00111977604479104
"OG_06004",44,"lncRNA_296",0.000676787719379201
"OG_06119",63,"lncRNA_1129",0.000572612750177237
"OG_06152",65,"lncRNA_117",0.000866493367993068
"OG_06181",59,"lncRNA_18390",0.0014747050589882
"OG_06198",69,"lncRNA_499",0.000627147297813165
"OG_06279",69,"lncRNA_239",0.000511008909329245
"OG_06592",36,"lncRNA_4364",0.000423444722820142
"OG_06599",53,"lncRNA_4334",0.000504660972567391
"OG_06670",52,"lncRNA_1340",0.0012997400519896
"OG_06754",42,"lncRNA_925",0.000559888022395521
"OG_06875",67,"lncRNA_243",0.000461976570203201
"OG_06922",30,"lncRNA_5514",0.000499900019996001
"OG_06931",59,"lncRNA_499",0.000561792403424077
"OG_06998",72,"lncRNA_3657",0.0011074708135296
"OG_07000",67,"lncRNA_3226",0.000893154702392855
"OG_07042",72,"lncRNA_2457",0.000625961764168905
"OG_07150",33,"lncRNA_3629",0.000314222869711772
"OG_07252",49,"lncRNA_1157",0.0015073908295264
"OG_07330",43,"lncRNA_8407",0.000318454827553008
"OG_07331",43,"lncRNA_2892",0.000614162881709372
"OG_07394",46,"lncRNA_2729",0.000919816036792641
"OG_07404",55,"lncRNA_1354",0.000478165236517914
"OG_07508",75,"lncRNA_323",0.000749850029994001
"OG_07641",31,"lncRNA_243",0.000563523658904583
"OG_07772",64,"lncRNA_1032",0.000710968917327646
"OG_07822",51,"lncRNA_5760",0.00113310671199094
"OG_07892",52,"lncRNA_477",0.00049513906742461
"OG_07958",60,"lncRNA_1986",0.000571314308566858
"OG_08077",68,"lncRNA_293",0.000799840031993601
"OG_08143",62,"lncRNA_372",0.00247950409918016
"OG_08271",59,"lncRNA_321",0.000368676264747051
"OG_08347",60,"lncRNA_1025",0.000352870602350118
"OG_08432",66,"lncRNA_461",0.000549890021995601
"OG_08497",46,"lncRNA_237",0.00022995400919816
"OG_08528",8,"lncRNA_33427",0.000799840031993601
"OG_08545",21,"lncRNA_166",0.000699860027994401
"OG_08622",54,"lncRNA_1062",0.000399920015996801
"OG_08639",48,"lncRNA_580",0.000533226687995734
"OG_08663",64,"lncRNA_118",0.00106645337599147
"OG_08856",38,"lncRNA_457",0.000303939212157568
"OG_08878",57,"lncRNA_117",0.000876747727377601
"OG_08914",53,"lncRNA_1087",0.00151398291770217
"OG_09024",47,"lncRNA_4124",0.000671294312566058
"OG_09106",41,"lncRNA_974",0.000512397520495901
"OG_09174",25,"lncRNA_6460",0.000277722233331112
"OG_09423",34,"lncRNA_339",0.000357823172207664
"OG_09424",54,"lncRNA_918",0.000415301555073601
"OG_09455",80,"lncRNA_375",0.000444355573329778
"OG_09596",61,"lncRNA_099",0.000938273883684802
"OG_09597",67,"lncRNA_4083",0.000788077678581931
"OG_09598",54,"lncRNA_9305",0.000830603110147201
"OG_09657",61,"lncRNA_2857",0.000813170699193495
"OG_09796",61,"lncRNA_2360",0.00135528449865582
"OG_09806",6,"lncRNA_14576",0.00023995200959808
"OG_09896",60,"lncRNA_873",0.000333266679997334
"OG_09942",69,"lncRNA_3441",0.000459908018396321
"OG_09969",56,"lncRNA_3086",0.000447910417916417
"OG_10004",66,"lncRNA_2907",0.000306915361113824
"OG_10007",62,"lncRNA_264",0.000459167425774104
"OG_10008",66,"lncRNA_4217",0.00131973605278944
"OG_10055",46,"lncRNA_9353",0.000836196397084219
"OG_10121",33,"lncRNA_321",0.0002999400119976
"OG_10205",47,"lncRNA_098",0.000939812037592481
"OG_10355",67,"lncRNA_1052",0.000432171630190091
"OG_10450",61,"lncRNA_469",0.00121975604879024
"OG_10475",44,"lncRNA_179",0.000366593347997067
"OG_10480",49,"lncRNA_1052",0.000426001756170505
"OG_10509",41,"lncRNA_2911",0.000356450449040627
"OG_10516",55,"lncRNA_2491",0.000687362527494501
"OG_10523",59,"lncRNA_215",0.000561792403424077
"OG_10818",30,"lncRNA_1147",0.000461446172304001
"OG_11074",40,"lncRNA_6767",0.000444355573329778
"OG_11156",53,"lncRNA_347",0.000378495729425543
"OG_11234",57,"lncRNA_3417",0.000495553063300383
"OG_11307",68,"lncRNA_4540",0.000799840031993601
"OG_11360",38,"lncRNA_116",0.00042213779466329
"OG_11379",14,"lncRNA_18453",0.0013997200559888
"OG_11419",53,"lncRNA_339",0.000365444152548801
"OG_11429",53,"lncRNA_3283",0.000756991458851087
"OG_11794",61,"lncRNA_970",0.000938273883684802
"OG_11812",60,"lncRNA_8796",0.001499700059988
"OG_11813",50,"lncRNA_4494",0.000769076953840001
"OG_11831",75,"lncRNA_3441",0.000441088252937648
"OG_11839",56,"lncRNA_1093",0.000799840031993601
"OG_11852",64,"lncRNA_1052",0.000710968917327646
"OG_11870",67,"lncRNA_1040",0.000478475733424744
"OG_11957",46,"lncRNA_2490",0.000707550797532801
"OG_11964",81,"lncRNA_2772",0.000506148770245951
"OG_11983",23,"lncRNA_371",0.000353775398766401
"OG_11984",35,"lncRNA_6559",0.000437412517496501
"OG_12046",50,"lncRNA_3648",0.000526210547364211
"OG_12050",67,"lncRNA_3667",0.00133973205358928
"OG_12107",66,"lncRNA_4301",0.0010997800439912
"OG_12125",57,"lncRNA_363",0.000569886022795441
"OG_12165",64,"lncRNA_219",0.00150558123669384
"OG_12331",66,"lncRNA_091",0.0010151815790688
"OG_12369",56,"lncRNA_3309",0.000933146703992535
"OG_12371",64,"lncRNA_2983",0.000710968917327646
"OG_12518",42,"lncRNA_8954",0.000646024641225601
"OG_12568",64,"lncRNA_1032",0.000914102893706973
"OG_12611",44,"lncRNA_1288",0.000676787719379201
"OG_12616",39,"lncRNA_1052",0.000866493367993068
"OG_12785",59,"lncRNA_498",0.000693978851288566
"OG_12878",43,"lncRNA_4297",0.000452541070733222
"OG_12880",50,"lncRNA_3270",0.000952190514278097
"OG_12888",51,"lncRNA_621",0.000485617162281829
"OG_12990",25,"lncRNA_188",0.000714142885708573
"OG_13050",70,"lncRNA_179",0.000437412517496501
"OG_13066",64,"lncRNA_301",0.000581701841449892
"OG_13091",58,"lncRNA_105",0.000374118724642168
"OG_13153",38,"lncRNA_3584",0.000474905018996201
"OG_13154",52,"lncRNA_6562",0.000742708601136915
"OG_13191",46,"lncRNA_243",0.000541068256936848
"OG_13197",56,"lncRNA_375",0.000349930013997201
"OG_13201",73,"lncRNA_2331",0.000384133699575874
"OG_13215",32,"lncRNA_1056",0.000710968917327646
"OG_13428",66,"lncRNA_1297",0.000507590789534401
"OG_13465",54,"lncRNA_1223",0.000981621857446692
"OG_13466",47,"lncRNA_3067",0.000469906018796241
"OG_13484",47,"lncRNA_3944",0.000361466168304801
"OG_13792",45,"lncRNA_237",0.000290264527739613
"OG_14037",33,"lncRNA_375",0.000507590789534401
"OG_14038",64,"lncRNA_894",0.000581701841449892
"OG_14066",60,"lncRNA_25959",0.000856971462850287
"OG_14100",55,"lncRNA_4051",0.000549890021995601
"OG_14140",53,"lncRNA_214",0.00117754226932391
"OG_14158",60,"lncRNA_1058",0.000599880023995201
"OG_14276",39,"lncRNA_4126",0.000433246683996534
"OG_14381",40,"lncRNA_194",0.00399920015996801
"OG_14382",59,"lncRNA_1888",0.000536256385086619
"OG_14407",46,"lncRNA_6596",0.000836196397084219
"OG_14500",59,"lncRNA_7208",0.000786509364793708
"OG_14505",44,"lncRNA_1129",0.000251378295769418
"OG_14540",33,"lncRNA_952",0.000507590789534401
"OG_14563",42,"lncRNA_2995",0.000349930013997201
"OG_14588",61,"lncRNA_208",0.000871254320564458
"OG_14615",60,"lncRNA_8796",0.0011997600479904
"OG_14623",74,"lncRNA_3441",0.000462407518496301
"OG_14626",51,"lncRNA_973",0.000318686262747451
"OG_14685",63,"lncRNA_3434",0.000419916016796641
"OG_14710",21,"lncRNA_10708",0.0002999400119976
"OG_14803",45,"lncRNA_4731",0.001124775044991
"OG_14804",54,"lncRNA_364",0.000449910017996401
"OG_15070",52,"lncRNA_296",0.000693194694394454
"OG_15086",47,"lncRNA_171",0.0011747650469906
"OG_15137",65,"lncRNA_3104",0.00144415561332178
"OG_15208",28,"lncRNA_1051",0.000699860027994401
"OG_15303",88,"lncRNA_1054",0.000283814204900955
"OG_15544",57,"lncRNA_7657",0.000670454144465225
