group_id,n_components,n_go_terms,go_terms_sample
OG_04439,5,1,cilium movement involved in cell motility
OG_00887,4,6,cellular response to leukemia inhibitory factor; glycine catabolic process; glycine decarboxylation via glycine cleavage system
OG_01210,4,12,blood circulation; defense response to bacterium; immune system process
OG_01475,4,5,chloride transmembrane transport; chloride transport; oxalate transport
OG_01489,4,18,branching involved in ureteric bud morphogenesis; cerebral cortex development; condensed mesenchymal cell proliferation
OG_02599,4,64,anterior neuropore closure; basement membrane organization; bone morphogenesis
OG_03061,4,3,pore complex assembly; protein localization to plasma membrane; protein maturation
OG_04129,4,3,base-excision repair; DNA repair; response to oxidative stress
OG_04170,4,4,defense response to bacterium; hydrogen peroxide catabolic process; immune response
OG_04335,4,5,axon guidance; modulation of chemical synaptic transmission; negative regulation of fat cell differentiation
OG_04737,4,13,blood vessel maturation; canonical Wnt signaling pathway; dorsal root ganglion development
OG_04999,4,8,camera-type eye development; circadian regulation of gene expression; embryonic retina morphogenesis in camera-type eye
OG_05110,4,11,atrial septum primum morphogenesis; atrial septum secundum morphogenesis; bone development
OG_05208,4,9,cell population proliferation; cholangiocyte proliferation; chromosome segregation
OG_05395,4,15,angiogenesis; cellular response to leukemia inhibitory factor; cellular response to peptide
OG_05400,4,9,bone resorption; epithelial cell differentiation; lysosomal protein catabolic process
OG_06522,4,7,astrocyte development; cell population proliferation; cell surface receptor protein tyrosine kinase signaling pathway
OG_07103,4,1,unsaturated fatty acid biosynthetic process
OG_07519,4,9,actin filament organization; auditory receptor cell stereocilium organization; cilium assembly
OG_07631,4,7,"fatty acid elongation, monounsaturated fatty acid; fatty acid elongation, polyunsaturated fatty acid; fatty acid elongation, saturated fatty acid"
OG_07762,4,27,animal organ regeneration; antral ovarian follicle growth; cell division
OG_07861,4,3,cell development; neuron differentiation; regulation of transcription by RNA polymerase II
OG_08226,4,4,actomyosin contractile ring assembly; mitotic cytokinesis; positive regulation of bleb assembly
OG_01941,3,7,actin cytoskeleton organization; basement membrane organization; cell division
OG_02550,3,1,deoxyribonucleotide biosynthetic process
OG_04075,3,1,blastocyst hatching
OG_04195,3,67,activin receptor signaling pathway; angiogenesis; angiogenesis involved in coronary vascular morphogenesis
OG_05348,3,26,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; aorta development; cAMP-mediated signaling
OG_05445,3,5,cellular response to nitric oxide; cGMP biosynthetic process; cGMP-mediated signaling
OG_05776,3,6,cell division; central nervous system development; mitotic nuclear membrane reassembly
OG_09806,3,28,artery morphogenesis; cellular response to lipoprotein particle stimulus; cholesterol efflux
OG_10087,3,6,branching involved in ureteric bud morphogenesis; extracellular matrix organization; male gamete generation
OG_01366,2,4,cellular response to leukemia inhibitory factor; negative regulation of canonical Wnt signaling pathway; negative regulation of transcription by RNA polymerase II
OG_03332,2,14,autophagosome maturation; cellular response to glucose starvation; early endosome to late endosome transport
OG_03779,2,15,cell migration; establishment or maintenance of cell polarity; Golgi to plasma membrane protein transport
OG_03926,2,3,cell division; nervous system development; regulation of cell cycle
OG_04041,2,16,B cell differentiation; definitive hemopoiesis; embryonic camera-type eye morphogenesis
OG_04538,2,2,antibacterial innate immune response; defense response to Gram-negative bacterium
OG_05765,2,5,DNA replication; DNA replication initiation; double-strand break repair via break-induced replication
OG_07349,2,7,cell-matrix adhesion; cortical microtubule organization; negative regulation of protein localization to plasma membrane
OG_07351,2,8,adenylate cyclase-activating G protein-coupled receptor signaling pathway; cellular response to luteinizing hormone stimulus; hormone-mediated signaling pathway
OG_07441,2,15,adult walking behavior; brain development; cell differentiation
OG_08089,2,14,cilium assembly; cloaca development; cytoskeleton organization
OG_08842,2,1,sensory perception of sound
OG_09650,2,19,anterior/posterior pattern specification; associative learning; cellular response to phorbol 13-acetate 12-myristate
OG_09727,2,4,intracellular signal transduction; negative regulation of Ras protein signal transduction; platelet activation
OG_00145,1,8,embryonic organ development; hippo signaling; positive regulation of cell growth
OG_00281,1,12,cell cycle comprising mitosis without cytokinesis; chorionic trophoblast cell differentiation; fibroblast proliferation
OG_00403,1,8,cerebellum development; glutamate biosynthetic process; glutamate catabolic process
OG_00615,1,2,proteolysis; regulation of inflammatory response
