gene_id,species,group_id,type,conservation_level
FUN_000185-T1,Apul,OG_00001,three_way,medium
Peve_00037402,Peve,OG_00001,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28886.t1,Ptua,OG_00001,three_way,medium
FUN_000189-T1,Apul,OG_00002,three_way,medium
Peve_00038462,Peve,OG_00002,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28888.t3,Ptua,OG_00002,three_way,medium
FUN_000190-T1,Apul,OG_00003,three_way,low
Peve_00038463,Peve,OG_00003,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g28889.t1,Ptua,OG_00003,three_way,low
FUN_000191-T1,Apul,OG_00004,three_way,medium
Peve_00038464,Peve,OG_00004,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28890.t1,Ptua,OG_00004,three_way,medium
FUN_000192-T1,Apul,OG_00005,three_way,high
Peve_00038466,Peve,OG_00005,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28893.t1,Ptua,OG_00005,three_way,high
FUN_000193-T1,Apul,OG_00006,three_way,medium
Peve_00038467,Peve,OG_00006,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28894.t1,Ptua,OG_00006,three_way,medium
FUN_000194-T1,Apul,OG_00007,three_way,medium
Peve_00038470,Peve,OG_00007,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28898.t1,Ptua,OG_00007,three_way,medium
FUN_000195-T1,Apul,OG_00008,three_way,medium
Peve_00038471,Peve,OG_00008,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28899.t1,Ptua,OG_00008,three_way,medium
FUN_000197-T1,Apul,OG_00009,three_way,low
Peve_00027182,Peve,OG_00009,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g28901.t1,Ptua,OG_00009,three_way,low
FUN_000198-T1,Apul,OG_00010,three_way,low
Peve_00027181,Peve,OG_00010,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g28902.t1,Ptua,OG_00010,three_way,low
FUN_000200-T1,Apul,OG_00011,three_way,high
Peve_00027179,Peve,OG_00011,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28904.t1,Ptua,OG_00011,three_way,high
