"","mirna","X4","interaction","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","Source","Significance","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"38","Cluster_10452","FUN_001034","Cluster_10452 _ FUN_001034",147115,"Cluster_10452","FUN_001034",0.593082167884125,5.5086234784058e-05,0.0139147502681309,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"46","Cluster_10452","FUN_003854","Cluster_10452 _ FUN_003854",37414,"Cluster_10452","FUN_003854",-0.512303067919774,0.000726225997574697,0.0576411699706087,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"218","Cluster_10452","FUN_011999","Cluster_10452 _ FUN_011999",407266,"Cluster_10452","FUN_011999",0.500523016512321,0.00100481517978778,0.0685780998331204,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"227","Cluster_10452","FUN_012427","Cluster_10452 _ FUN_012427",426544,"Cluster_10452","FUN_012427",0.529159701806931,0.000446930363158883,0.0443375373145934,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"255","Cluster_10452","FUN_016008","Cluster_10452 _ FUN_016008",536551,"Cluster_10452","FUN_016008",0.525376158495412,0.000499480666878474,0.0470249006650154,"mRNA","p < 0.05","ptg000010l:477966-508678","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)","Drosophila melanogaster (Fruit fly)","","GO:0003964"
"274","Cluster_10452","FUN_018764","Cluster_10452 _ FUN_018764",625903,"Cluster_10452","FUN_018764",0.516501508777675,0.000645025177825499,0.0540285692055777,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"288","Cluster_10452","FUN_017790","Cluster_10452 _ FUN_017790",589540,"Cluster_10452","FUN_017790",0.504093312254791,0.000911758558434344,0.0650684257850684,"mRNA","p < 0.05","ptg000012l:492629-504317","P07207","Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]","Drosophila melanogaster (Fruit fly)","actin filament organization [GO:0007015]; asymmetric cell division [GO:0008356]; axon guidance [GO:0007411]; border follicle cell migration [GO:0007298]; cell dedifferentiation [GO:0043697]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; chaeta development [GO:0022416]; chaeta morphogenesis [GO:0008407]; compartment boundary maintenance [GO:0060289]; compound eye development [GO:0048749]; compound eye morphogenesis [GO:0001745]; compound eye retinal cell programmed cell death [GO:0046667]; crystal cell differentiation [GO:0042688]; defense response to insect [GO:0002213]; determination of adult lifespan [GO:0008340]; dorsal appendage formation [GO:0046843]; dorsal closure [GO:0007391]; dorsal/ventral axis specification [GO:0009950]; embryonic hemopoiesis [GO:0035162]; epithelial cell proliferation involved in Malpighian tubule morphogenesis [GO:0061331]; epithelial cell type specification, open tracheal system [GO:0035153]; eye-antennal disc development [GO:0035214]; eye-antennal disc morphogenesis [GO:0007455]; female germ-line stem cell population maintenance [GO:0036099]; follicle cell of egg chamber development [GO:0030707]; follicle cell of egg chamber migration [GO:0007297]; follicle cell of egg chamber stalk formation [GO:0030713]; foregut morphogenesis [GO:0007440]; formation of a compartment boundary [GO:0060288]; germ-line stem cell population maintenance [GO:0030718]; germ-line stem-cell niche homeostasis [GO:0060250]; germarium-derived egg chamber formation [GO:0007293]; glial cell differentiation [GO:0010001]; glial cell fate determination [GO:0007403]; glial cell migration [GO:0008347]; hemocyte proliferation [GO:0035172]; imaginal disc-derived leg joint morphogenesis [GO:0016348]; imaginal disc-derived leg morphogenesis [GO:0007480]; imaginal disc-derived leg segmentation [GO:0036011]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; intestinal stem cell homeostasis [GO:0036335]; lamellocyte differentiation [GO:0035171]; larval lymph gland hemopoiesis [GO:0035167]; lateral inhibition [GO:0046331]; leg disc morphogenesis [GO:0007478]; long-term memory [GO:0007616]; lymph gland development [GO:0048542]; Malpighian tubule tip cell differentiation [GO:0061382]; mesoderm development [GO:0007498]; morphogenesis of an epithelial fold [GO:0060571]; motor neuron axon guidance [GO:0008045]; muscle cell cellular homeostasis [GO:0046716]; muscle cell fate determination [GO:0007521]; myoblast development [GO:0048627]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of compound eye photoreceptor development [GO:0045316]; negative regulation of gene expression [GO:0010629]; negative regulation of lamellocyte differentiation [GO:0035204]; negative regulation of neurogenesis [GO:0050768]; nervous system process [GO:0050877]; neuroblast development [GO:0014019]; neuroblast fate determination [GO:0007400]; neuroblast fate specification [GO:0014018]; neuroblast proliferation [GO:0007405]; neuron fate determination [GO:0048664]; neuron fate specification [GO:0048665]; neuronal stem cell population maintenance [GO:0097150]; Notch signaling pathway [GO:0007219]; oocyte localization involved in germarium-derived egg chamber formation [GO:0030720]; oogenesis [GO:0048477]; peripheral nervous system development [GO:0007422]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of crystal cell differentiation [GO:0042691]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription by RNA polymerase II [GO:0045944]; R1/R6 cell differentiation [GO:0048052]; R3/R4 cell differentiation [GO:0048056]; R7 cell differentiation [GO:0045466]; regulation of cardioblast cell fate specification [GO:0042686]; regulation of cell differentiation [GO:0045595]; regulation of filopodium assembly [GO:0051489]; regulation of glycolytic process [GO:0006110]; regulation of growth [GO:0040008]; regulation of mitotic cell cycle [GO:0007346]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of stem cell division [GO:2000035]; response to symbiont [GO:0009608]; retinal cell programmed cell death [GO:0046666]; second mitotic wave involved in compound eye morphogenesis [GO:0016330]; sensory organ development [GO:0007423]; sensory organ precursor cell fate determination [GO:0016360]; stem cell differentiation [GO:0048863]; wing disc dorsal/ventral pattern formation [GO:0048190]; wing disc pattern formation [GO:0035222]","GO:0001745; GO:0002052; GO:0002213; GO:0003682; GO:0003713; GO:0004888; GO:0005509; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005769; GO:0005770; GO:0005783; GO:0005788; GO:0005796; GO:0005829; GO:0005886; GO:0005912; GO:0006110; GO:0007015; GO:0007219; GO:0007293; GO:0007297; GO:0007298; GO:0007346; GO:0007391; GO:0007400; GO:0007403; GO:0007405; GO:0007411; GO:0007422; GO:0007423; GO:0007440; GO:0007455; GO:0007474; GO:0007476; GO:0007478; GO:0007480; GO:0007498; GO:0007521; GO:0007616; GO:0008045; GO:0008284; GO:0008340; GO:0008347; GO:0008356; GO:0008407; GO:0008587; GO:0009608; GO:0009950; GO:0009986; GO:0010001; GO:0010628; GO:0010629; GO:0014018; GO:0014019; GO:0016020; GO:0016324; GO:0016330; GO:0016348; GO:0016360; GO:0022416; GO:0030139; GO:0030154; GO:0030707; GO:0030713; GO:0030718; GO:0030720; GO:0032991; GO:0035035; GO:0035153; GO:0035162; GO:0035167; GO:0035171; GO:0035172; GO:0035204; GO:0035214; GO:0035222; GO:0036011; GO:0036099; GO:0036335; GO:0040008; GO:0042686; GO:0042688; GO:0042691; GO:0043525; GO:0043697; GO:0045165; GO:0045316; GO:0045466; GO:0045595; GO:0045893; GO:0045944; GO:0046331; GO:0046666; GO:0046667; GO:0046716; GO:0046843; GO:0048052; GO:0048056; GO:0048190; GO:0048477; GO:0048542; GO:0048627; GO:0048664; GO:0048665; GO:0048749; GO:0048803; GO:0048863; GO:0050699; GO:0050767; GO:0050768; GO:0050877; GO:0051489; GO:0060250; GO:0060288; GO:0060289; GO:0060571; GO:0061331; GO:0061382; GO:0097150; GO:1900087; GO:1902692; GO:1990433; GO:2000035; GO:2000048"
"301","Cluster_10452","FUN_019689","Cluster_10452 _ FUN_019689",646762,"Cluster_10452","FUN_019689",0.56962280686046,0.000124890003706671,0.0220221080364172,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"357","Cluster_10452","FUN_025430","Cluster_10452 _ FUN_025430",800935,"Cluster_10452","FUN_025430",0.554752959819958,0.000203368559013676,0.0287571557416421,"mRNA","p < 0.05","ptg000019l:2504704-2608286","Q3ZBV2","ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DEAD box protein 19A)","Bos taurus (Bovine)","poly(A)+ mRNA export from nucleus [GO:0016973]","GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0010494; GO:0016887; GO:0016973"
"388","Cluster_10452","FUN_026475","Cluster_10452 _ FUN_026475",841939,"Cluster_10452","FUN_026475",0.527586225248995,0.000468151429972268,0.0454009860869996,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
