gene_id,total_importance,apul,peve,ptua,type,protein_name,organism,go_bp,go_cc,go_mf
OG_04737,39.91150526435491,FUN_022613-T1,Peve_00012263,Pocillopora_meandrina_HIv1___RNAseq.g4397.t1,three_way,Reversion-inducing cysteine-rich protein with Kazal motifs,Danio rerio (Zebrafish) (Brachydanio rerio),blood vessel maturation [GO:0001955]; canonical Wnt signaling pathway [GO:0060070]; dorsal root ganglion development [GO:1990791]; extracellular matrix organization [GO:0030198]; negative regulation of metalloendopeptidase activity [GO:1904684]; regulation of angiogenesis [GO:0045765]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell cycle [GO:0051726]; regulation of cell migration involved in sprouting angiogenesis [GO:0090049]; regulation of establishment of blood-brain barrier [GO:0090210]; sprouting angiogenesis [GO:0002040]; vasculature development [GO:0001944]; Wnt signaling pathway [GO:0016055],plasma membrane [GO:0005886]; side of membrane [GO:0098552]; Wnt signalosome [GO:1990909],coreceptor activity [GO:0015026]; endopeptidase inhibitor activity [GO:0004866]; metalloendopeptidase inhibitor activity [GO:0008191]; serine-type endopeptidase inhibitor activity [GO:0004867]
OG_01261,36.76512715687289,FUN_005023-T1,Peve_00028649,Pocillopora_meandrina_HIv1___RNAseq.g8329.t1,three_way,,,,,
OG_07103,34.338898162686604,FUN_032365-T1,Peve_00020147,Pocillopora_meandrina_HIv1___RNAseq.g29821.t1,three_way,Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase),Bos taurus (Bovine),unsaturated fatty acid biosynthetic process [GO:0006636],endoplasmic reticulum membrane [GO:0005789],iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; stearoyl-CoA 9-desaturase activity [GO:0004768]
OG_07956,33.13971629382782,FUN_035500-T1,Peve_00033958,Pocillopora_meandrina_HIv1___RNAseq.g26993.t1,three_way,,,,,
OG_05395,32.896439083416915,FUN_024222-T1,Peve_00031895,Pocillopora_meandrina_HIv1___RNAseq.g18914.t1,three_way,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),Homo sapiens (Human),angiogenesis [GO:0001525]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to peptide [GO:1901653]; intestinal epithelial cell development [GO:0060576]; microvillus assembly [GO:0030033]; myotube differentiation involved in skeletal muscle regeneration [GO:0014908]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by transcription factor localization [GO:0061586]; regulation of microvillus assembly [GO:0032534]; regulation of transcription by RNA polymerase II [GO:0006357]; satellite cell activation involved in skeletal muscle regeneration [GO:0014901]; skeletal muscle satellite cell differentiation [GO:0014816],chromatin [GO:0000785]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; transcription regulator complex [GO:0005667],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; MRF binding [GO:0043426]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]"
OG_01437,32.680866413847376,FUN_005873-T1,Peve_00015756,Pocillopora_meandrina_HIv1___RNAseq.g19664.t1,three_way,,,,,
OG_01330,32.471254827783795,FUN_005220-T1,Peve_00035492,Pocillopora_meandrina_HIv1___TS.g19865.t1,three_way,,,,,
OG_07762,32.39369399870287,FUN_034956-T1,Peve_00036680,Pocillopora_meandrina_HIv1___RNAseq.g27836.t1,three_way,G1/S-specific cyclin-E1,Rattus norvegicus (Rat),animal organ regeneration [GO:0031100]; antral ovarian follicle growth [GO:0001547]; cell division [GO:0051301]; cellular response to nutrient [GO:0031670]; chromosome organization involved in meiotic cell cycle [GO:0070192]; DNA replication initiation [GO:0006270]; G1/S transition of mitotic cell cycle [GO:0000082]; homologous chromosome pairing at meiosis [GO:0007129]; liver development [GO:0001889]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell differentiation [GO:0045597]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; regulation of cell cycle [GO:0051726]; regulation of protein localization [GO:0032880]; response to corticosterone [GO:0051412]; response to cytokine [GO:0034097]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to methylmercury [GO:0051597]; response to progesterone [GO:0032570]; response to purine-containing compound [GO:0014074]; response to steroid hormone [GO:0048545]; response to vitamin E [GO:0033197]; response to xenobiotic stimulus [GO:0009410]; telomere maintenance [GO:0000723]; Wnt signaling pathway [GO:0016055],centrosome [GO:0005813]; cyclin E1-CDK2 complex [GO:0097134]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634],cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; kinase activity [GO:0016301]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]
OG_01656,32.03931281863237,FUN_006826-T1,Peve_00023770,Pocillopora_meandrina_HIv1___RNAseq.g20475.t1,three_way,,,,,
OG_01210,31.873162457336345,FUN_004887-T1,Peve_00005850,Pocillopora_meandrina_HIv1___RNAseq.g10661.t1,three_way,E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha),Danio rerio (Zebrafish) (Brachydanio rerio),blood circulation [GO:0008015]; defense response to bacterium [GO:0042742]; immune system process [GO:0002376]; lipid droplet formation [GO:0140042]; lipid ubiquitination [GO:0120323]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; protein K63-linked ubiquitination [GO:0070534]; regulation of angiogenesis [GO:0045765]; regulation of lipid metabolic process [GO:0019216]; sprouting angiogenesis [GO:0002040]; ubiquitin-dependent protein catabolic process [GO:0006511]; xenophagy [GO:0098792],cytosol [GO:0005829]; lipid droplet [GO:0005811]; nucleolus [GO:0005730],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
